qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21
311,Industrial Espionage ,0.4382,3,rm3.topn10.10.0.5.bm25,0.6309,vw samsung gm lopez secret car espionag intellig bnd industri opel ,bertqe.topn10.bm25,0.5608,"{'Industrial Espionage': 1.5, 'espionage  industrial espionage': 1.0, 'industrial espionage': 0.8333333333333334, 'form industrial espionage': 0.6666666666666666, 'industrial espionage mr jose': 0.5, 'industrial espionage united': 0.5} ",relevancefeedback.topn10.bm25,0.489,industrial espionage compani bnd mr foreign intellig samsung vw mossad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics ,0.8626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation Maglev ,0.7595,3,termluster.topn5.3.bm25,0.8182,magnetic levitation maglev train ,relevancefeedback.topn10.bm25,0.8024,magnetic levitation maglev magnet railwai la would project car train said ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.7997,"{'levitation-maglev': 2, 'track': 2.0, 'magnet': 2, 'maglev': 1.667, 'levit': 1.583, 'train': 1.427, 'vehicl': 1.333, 'inductrack': 1.26, 'array': 1.219, 'nasa': 1.188, 'acceler': 1.188, 'halbach': 1.177} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation ,0.0028,6,tagmee.topn3,0.0469,marine vegetation Ocean Vegetation ,wiki.topn3,0.0379,marine vegetation ocean current seabed continental shelf Ocean ecosystem biome biomes Vegetation ,conceptluster.topn5.3.bm25,0.036000000000000004,marine vegetation ocean ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.0169,"{'veget': 2, 'marin': 2, 'ocean': 2.0, 'atmospher': 1.796, 'biospher': 1.438, 'soil': 1.34, 'surfac': 1.325, 'solar': 1.249, 'hydrospher': 1.212, 'dimens': 1.148, 'snowic': 1.148, 'cryospher': 1.121} ",bertqe.topn10.bm25,0.0123,"{'Marine Vegetation': 1.5, 'variety sea animals ': 1.0, 'including whales  dolphins turtles ': 0.90432864626413, 'vegetation trees native': 0.478908188585608, 'enter marine environment': 0.2599944858009373, 'green seaweed  p   p  heat': 0.19216983733112744} ",conceptnet.topn3,0.0074,marine vegetation suboceanic plant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Unexplained Highway Accidents ,0.0298,3,relevancefeedback.topn10.bm25,0.0326,unexplained highway accidents accid feder pch car mainland highwai said ,sensedisambiguation,0.0319,Unexplained Highway Accidents accident ,termluster.topn5.3.bm25,0.0304,unexplained highway accidents year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny ,0.5865,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Unsolicited Faxes ,0.5142,4,rm3.topn10.10.0.5.bm25,0.6518,san machin fax directori unsolicit legisl rowland phone junk bill ,onfields.topn3.10.2.25.1.bm25,0.5993,"{'unsolicit': 2, 'fax': 2, 'machin': 1.41, 'phone': 1.344, 'junk': 1.344, 'hous': 1.18, 'telemarket': 1.164, 'dont': 1.131, 'advertis': 1.115, 'subcommitte': 1.066, 'computerdriven': 1.049} ",sensedisambiguation,0.5799,Unsolicited unasked Faxes facsimile ,termluster.topn5.3.bm25,0.5158,unsolicited faxes machin said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country ,0.0079,1,glove.topn3,0.0087,best retirement country well better nation already ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources ,0.0932,7,rm3.topn10.10.0.5.bm25,0.2459,energi cell new sourc nuclear sup silic oil plutonium fuel plant ,onfields.topn3.10.2.25.1.bm25,0.2266,"{'new': 2, 'sourc': 2, 'nuclear': 2.0, 'fuel': 2, 'plutonium': 1.783, 'spent': 1.609, 'reactor': 1.348, '2010': 1.261, 'rokkasho': 1.261, 'longterm': 1.261, '2030': 1.217, 'fastbreed': 1.13} ",relevancefeedback.topn10.bm25,0.1703,new fuel sources nuclear said oil   cell ,docluster.topn10.3.bm25,0.1564,new fuel sources said cell ,anchor.topn3,0.1295,new fuel sources bibalayeva forms new yappin  fuel inject mixed oxid gas motor ,anchor.topn3.replace,0.1035,bibalayeva forms new yappin  fuel inject mixed oxid gas motor sources ,termluster.topn5.3.bm25,0.0996,new fuel sources sourc polici polici fuel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable ,0.0333,13,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.0848,"{'undersea': 2, 'optic': 2, 'fiber': 2, 'valu': 2.0, 'cabl': 2, 'market': 1.772, 'transact': 1.386, 'permit': 1.345, 'rightofway': 1.297, 'fiberopt': 1.283, 'apprais': 1.2, 'sanctuari': 1.145} ",thesaurus.topn3.replace,0.0798,undersea  grain thread  ocular optical  cord link ,anchor.topn3,0.0754,undersea fiber optic cable uuv  samayamaayi adventure queu fibr       cable   nowiki  disappearing fila itmo   spbsu ,wordnet.topn3.replace,0.0725,submarine fibre vulcanized fiber roughage opthalmic oculus overseas telegram cable system cablegram ,word2vec.topn3,0.0644,undersea fiber optic cable deep sea underwater fibre cable TV ,termluster.topn5.3.bm25,0.0595,undersea fiber optic cable cabl system telecommun telecommun system optic ,anchor.topn3.replace,0.0576,uuv  samayamaayi adventure queu fibr       cable   nowiki  disappearing fila itmo   spbsu cable ,thesaurus.topn3,0.0484,undersea fiber optic cable   grain thread  ocular optical  cord link ,sensedisambiguation,0.0483,Undersea submarine Fiber roughage Optic eye Cable cable television ,onfields.topn3.10.2.25.1.bm25,0.0459,"{'undersea': 2, 'optic': 2, 'cabl': 2, 'fiber': 2, 'brazil': 1.629, 'telecommun': 1.543, 'sprint': 1.371, 'sao': 1.257, 'opticalfib': 1.229, 'embratel': 1.143, 'governmentown': 1.114} ",relevancefeedback.topn10.bm25,0.0429,undersea fiber optic cable system sprint cabl data ,tagmee.topn3,0.0356,undersea fiber optic cable Submarine communications cable Optical fiber ,conceptluster.topn5.3.bm25,0.0356,undersea fiber optic cable submarine communications cable optical fiber ,,,,,,,,,,,,,,,,,,,,,,,,
321,Women in Parliaments ,0.2835,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime ,0.0022,5,word2vec.topn3,0.0195,international art crime national global domestic artwork artworks criminality ,word2vec.topn3.replace,0.0165,national global domestic artwork artworks criminality ,sensedisambiguation,0.0123,International Art artwork Crime ,sensedisambiguation.replace,0.006999999999999999,international artwork crime ,conceptnet.topn3,0.0053,international art crime supranational painting paint paintings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary Journalistic Plagiarism ,0.1988,2,stem.lovins,0.3369,liter   journ plagiar ,tagmee.topn3,0.2921,literary journalistic plagiarism Literature Journalism Plagiarism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine British Relations ,0.4664,2,rm3.topn10.10.0.5.bm25,0.551,relat tella british war argentin falkland ministri clarin island di argentina ,stem.krovetz,0.478,argentina   britain relations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles ,0.0749,8,wordnet.topn3,0.1824,cult lifestyles craze rage religious cult modus vivendi life style ,bertqe.topn10.bm25,0.13699999999999998,"{'Cult Lifestyles': 1.5, 'cult members hunger': 1.0, 'cult followers jails  throw': 0.9636038186157518, 'cults  seem': 0.7732696897374699, 'cults use recruit  even': 0.6121718377088305, 'information specific cult groups': 0.5173031026252984} ",anchor.topn3,0.1128,cult lifestyles genestealer reproduct   cult   tsumbubura ,stem.trunc4,0.1025,cult life ,stem.trunc5,0.1025,cult lifes ,glove.topn3,0.1009,cult lifestyles followers sect sedentary ,wiki.topn3,0.0893,cult lifestyles cults anti cult terms and concepts occult Cult lifestyle lifestylmagazine travel Lifestyle  sociology ,wiki.topn3.replace,0.0858,cults anti cult terms and concepts occult Cult lifestyle lifestylmagazine travel Lifestyle  sociology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings ,0.6135,2,relevancefeedback.topn10.bm25,0.6765,ferry sinkings estonia ship ferri safeti said ,docluster.topn10.3.bm25,0.6765,ferry sinkings estonia said ship ferri safeti ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery ,0.1216,7,wordnet.topn3,0.3518,modern slavery New Bodoni thrall bondage slaveholding ,thesaurus.topn3,0.3425,modern slavery  contemporary current  bondage captivity ,anchor.topn3.replace,0.2868,burdah jardot  originalité  slavery ,bertqe.topn10.bm25,0.2294,"{'Modern Slavery': 1.5, 'properly called slavery ': 1.0, 'slavery throughout america': 0.9529001308329699, 'slavery history  thousands': 0.845617095508068, 'slavery': 0.6877453118185783, 'conventional wisdom american slavery': 0.623637156563454} ",conceptnet.topn3.replace,0.2285,new slavery ,tagmee.topn3,0.1797,modern slavery Slavery Slavery in the United States ,conceptluster.topn5.3.bm25,0.1542,modern slavery slavery united states ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications ,0.6552,1,sensedisambiguation,0.6788,Pope Beatifications beatification ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution ,0.268,2,stem.krovetz,0.3455,mexico air pollution ,relevancefeedback.topn10.bm25,0.305,mexican air pollution citi mexico border ventil economist mr fight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Iran Iraq Cooperation ,0.0956,7,onfields.topn3.10.2.25.1.bm25,0.1831,"{'iran-iraq': 2, 'cooper': 2, 'iraq': 2.0, 'iran': 1.833, 'turkey': 1.512, 'iraqi': 1.345, 'shihab': 1.31, 'zarif': 1.31, 'iranian': 1.298, 'tehran': 1.19, 'ankara': 1.19, 'pow': 1.119} ",stem.trunc4,0.17600000000000002,iran   iraq coop ,stem.trunc5,0.17600000000000002,iran   iraq coope ,rm3.topn10.10.0.5.bm25,0.1532,iraq tehran iranian turkei prc iran shihab iraqi cooper contain ,anchor.topn3,0.1455,iran iraq cooperation iran iraq iran iraq  eritrean ethiopian ,anchor.topn3.replace,0.12,iran iraq iran iraq  eritrean ethiopian cooperation ,docluster.topn10.3.bm25,0.115,iran iraq cooperation we iran iraq ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism ,0.2462,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion ,0.1219,4,wiki.topn3,0.2056,income tax evasion bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,tagmee.topn3.replace,0.1386,Tax evasion Tax evasion ,tagmee.topn3,0.1375,income tax evasion Tax evasion Tax evasion ,conceptluster.topn5.3.bm25,0.1342,income tax evasion tax evasion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease ,0.2798,13,rm3.topn10.10.0.5.bm25,0.3338,bacteria pneumonia infect strep diseas plagu antibiot resist india caus ,sensedisambiguation,0.3303,Antibiotics antibiotic Bacteria Disease ,relevancefeedback.topn10.bm25,0.313,antibiotics bacteria disease antibiot pneumonia strep plagu diseas syndrom tb tick infect ,docluster.topn10.3.bm25,0.3122,antibiotics bacteria disease plagu tb diseas ,tagmee.topn3,0.3083,antibiotics bacteria disease Antibiotics Bacteria Infection ,wiki.topn3,0.3065,antibiotics bacteria disease bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,tagmee.topn3.replace,0.3028,Antibiotics Bacteria Infection ,wiki.topn3.replace,0.2979,bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,stem.porter,0.2921,antibiot bacteria diseas ,stem.porter2,0.2921,antibiot bacteria diseas ,wordnet.topn3,0.2866,antibiotics bacteria disease antibiotic drug bacterium ,termluster.topn5.3.bm25,0.2814,antibiotics bacteria disease year infect diseas antibiot diseas infect year infect bacteria ,conceptluster.topn5.3.bm25,0.2802,antibiotics bacteria disease infection ,,,,,,,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography ,0.1111,8,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.5454,"{'control': 2, 'export': 2, 'cryptographi': 2, 'encrypt': 2.0, 'secur': 1.75, 'key': 1.619, 'product': 1.556, 'inform': 1.481, 'technolog': 1.406, 'access': 1.381, 'internet': 1.35, 'plaintext': 1.2} ",onfields.topn3.10.2.25.1.bm25,0.4148,"{'control': 2, 'export': 2, 'china': 2.0, 'cryptographi': 2, 'code': 1.737, 'pla': 1.632, 'encrypt': 1.526, 'internet': 1.474, 'caic': 1.263, 'pgp': 1.211, 'organis': 1.158, 'motoko': 1.105, 'internetbas': 1.105} ",word2vec.topn3,0.3398,export controls cryptography import encryption cryptographic cryptology ,word2vec.topn3.replace,0.2931,import controls encryption cryptographic cryptology ,rm3.topn10.10.0.5.bm25,0.2252,control cryptographi ture ii card export encrypt technolog special softwar code china ,glove.topn3,0.1333,export controls cryptography import cryptographic public key ,wiki.topn3,0.1163,export controls cryptography outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,wiki.topn3.replace,0.1119,outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents ,0.3128,9,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.4875,"{'biolog': 2, 'parent': 2, 'adopt': 2, 'child': 2.0, 'act': 1.423, 'shall': 1.3, 'court': 1.273, 'section': 1.251, 'consent': 1.174, 'birth': 1.147, 'lrb9000720lddv': 1.106, 'ilc': 1.087} ",rm3.topn10.10.0.5.bm25,0.461,birth sabol parent her babi biolog she children child mother adopt ,onfields.topn3.10.2.25.1.bm25,0.4351,"{'biolog': 2, 'parent': 2, 'adopt': 2, 'child': 1.744, 'children': 1.419, 'mother': 1.372, 'birth': 1.349, 'judi': 1.279, 'agre': 1.07, 'love': 1.07, 'soulsearch': 1.047} ",relevancefeedback.topn10.bm25,0.4243,adoptive biological parents her adopt child sabol she said ,bertqe.topn10.bm25,0.4094,"{'Adoptive Biological Parents': 1.5, 'birth parents   p   p ': 1.0, 'natural parents  otherwise ': 0.961459050240881, 'parents adopted': 0.9132828630419819, 'open adoptive parents  biological': 0.6145905024088097, 'adoptive father told': 0.3055746730901582} ",docluster.topn10.3.bm25,0.3963,adoptive biological parents adopt her she ,sensedisambiguation,0.3844,Adoptive Biological Parents parent ,tagmee.topn3,0.3695,adoptive biological parents Adoption Biology Parent ,conceptnet.topn3,0.3221,adoptive biological parents natural name children name their babies family ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks ,0.0459,6,conceptnet.topn3,0.0867,black bear attacks oil coal color animal grizzly polar narcolepsy ,tagmee.topn3,0.0495,black bear attacks American black bear Bear attack ,conceptluster.topn5.3.bm25,0.0495,black bear attacks american black bear bear attack ,tagmee.topn3.replace,0.0493,American black bear Bear attack ,wiki.topn3,0.0481,black bear attacks bobcat grizzly bear american bison American black bear kashmir stag mount abu wildlifsanctuary free ranging dog Bear attack ,onfields.topn3.10.2.25.1.bm25,0.0464,"{'attack': 2, 'black': 2, 'bear': 2, 'coverston': 1.577, 'anim': 1.5, 'coyot': 1.423, 'brigad': 1.308, 'divis': 1.192, 'bobcat': 1.192, 'theyr': 1.192, 'jenk': 1.154, 'debusscher': 1.115, 'grizzli': 1.077} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis ,0.2965,4,relevancefeedback.topn10.bm25,0.3708,viral hepatitis hepat health caus diseas region omit percent liver vaccinia ,word2vec.topn3,0.3497,viral hepatitis bacterial phylodynamics HCV anti hepatitis ,thesaurus.topn3.replace,0.3299,aggressive energetic hepatitis ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.3102,"{'c': 2.0, 'viral': 2, 'hepat': 2, 'b': 1.263, 'program': 1.06, 'health': 1.039, 'colorado': 1.031, 'cdphe': 1.024, 'immun': 1.021, 'diseas': 1.02, 'increas': 1.013} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin ,0.4212,4,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.5061,"{'of': 2, 'risk': 2, 'aspirin': 2, 'trial': 1.644, 'prevent': 1.464, 'patient': 1.419, 'stroke': 1.358, 'bleed': 1.214, 'diseas': 1.205, 'gastrointestin': 1.194, 'hemorrhag': 1.187, 'chd': 1.169} ",rm3.topn10.10.0.5.bm25,0.5008,drug heart studi attack aspirin prevent research warn stroke risk ,relevancefeedback.topn10.bm25,0.5,risk of aspirin stroke sai kidnei ,termluster.topn5.3.bm25,0.4298,risk aspirin patient ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer s Drug Treatment ,0.2188,4,conceptluster.topn5.3.bm25,0.2746,alzheimer  s drug treatment psychoactive drug addiction alzheimer  s disease ,stem.lovins,0.2732,alzheimer   s drug treatm ,stem.paicehusk,0.2704,alzheim   s drug tre ,relevancefeedback.topn10.bm25,0.2438,alzheimer s drug treatment alzheim dollar diseas group summer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
