qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21
311,Industrial Espionage ,0.3797,3,rm3.topn10.10.0.5.qld,0.6494,german vw samsung gm lopez secret car espionag intellig bnd industri ,relevancefeedback.topn10.qld,0.4768,industrial espionage compani bnd mr samsung intellig foreign he state vw ,termluster.topn5.3.qld,0.4168,industrial espionage espionag compani industri compani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics ,0.8626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation Maglev ,0.7848,5,relevancefeedback.topn10.qld,0.8320000000000001,magnetic levitation maglev magnet railwai la would project train cryocool ,termluster.topn5.3.qld,0.8204,magnetic levitation maglev train ,rm3.topn10.10.0.5.qld,0.8113,railwai project la train magnet maglev speed vega cryocool levit superconduct ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.7997,"{'levitation-maglev': 2, 'track': 2.0, 'magnet': 2, 'maglev': 1.667, 'levit': 1.583, 'train': 1.427, 'vehicl': 1.333, 'inductrack': 1.26, 'array': 1.219, 'nasa': 1.188, 'acceler': 1.188, 'halbach': 1.177} ",onfields.topn3.10.2.25.1.qld,0.7959,"{'levitation-maglev': 2, 'magnet': 2, 'railway': 1.672, 'test': 1.541, 'maglev': 1.459, 'nois': 1.426, 'transrapid': 1.344, 'highspe': 1.344, 'superconduct': 1.328, 'levit': 1.262, 'runway': 1.23, 'decis': 1.164} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation ,0.0035,6,conceptluster.topn5.3.qld,0.0501,marine vegetation ocean ,wiki.topn3,0.0424,marine vegetation ocean current seabed continental shelf Ocean ecosystem biome biomes Vegetation ,tagmee.topn3,0.0292,marine vegetation Ocean Vegetation ,bertqe.topn10.qld,0.0247,"{'Marine Vegetation': 1.5, 'materials floating plants ': 1.0, 'findings marine conservation': 0.4716033871543668, 'center marine': 0.39677339611223295, 'ocean': 0.30565444256111685, 'animals  including whales  dolphins': 0.24611821370757309} ",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.0169,"{'veget': 2, 'marin': 2, 'ocean': 2.0, 'atmospher': 1.796, 'biospher': 1.438, 'soil': 1.34, 'surfac': 1.325, 'solar': 1.249, 'hydrospher': 1.212, 'dimens': 1.148, 'snowic': 1.148, 'cryospher': 1.121} ",conceptnet.topn3,0.0053,marine vegetation suboceanic plant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Unexplained Highway Accidents ,0.0164,6,onfields.topn3.10.2.25.1.qld,0.0272,"{'highway': 2, 'unexplain': 2, 'accid': 2, 'headlight': 1.556, 'road': 1.417, 'canyon': 1.389, 'cyn': 1.389, 'daytim': 1.222, 'silverado': 1.167, 'increas': 1.139, 'decreas': 1.139, 'twoyear': 1.139, 'swatzel': 1.111} ",sensedisambiguation,0.0215,Unexplained Highway Accidents accident ,conceptluster.topn5.3.qld,0.0213,unexplained highway accidents traffic collision ,tagmee.topn3,0.0201,unexplained highway accidents Highway Traffic collision ,relevancefeedback.topn10.qld,0.0188,unexplained highway accidents accid mainland feder pch car highwai call bird exxon ,glove.topn3,0.0167,unexplained highway accidents inexplicable road fatalities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny ,0.579,3,bertqe.topn10.qld,0.647,"{'Polygamy Polyandry Polygyny': 1.5, 'polygyny  multiple matings': 1.0, 'practice polygamy ': 0.6647314205987562, 'homosexual liaisons polygamy': 0.5889448295311178, 'polygamy  showing obscurantist exegetes': 0.5684363172190641, 'taso report polygamy': 0.4245185756905585} ",docluster.topn10.3.qld,0.6055,polygamy polyandry polygyny aid ,word2vec.topn3,0.5819,polygamy polyandry polygyny polygyny polygamous polygyny polyandrous polygamy polyandry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Unsolicited Faxes ,0.5054,3,rm3.topn10.10.0.5.qld,0.6046,san machin fax directori unsolicit legisl rowland phone junk bill ,onfields.topn3.10.2.25.1.qld,0.5993,"{'unsolicit': 2, 'fax': 2, 'machin': 1.41, 'phone': 1.344, 'junk': 1.344, 'hous': 1.18, 'telemarket': 1.164, 'dont': 1.131, 'advertis': 1.115, 'subcommitte': 1.066, 'computerdriven': 1.049} ",sensedisambiguation,0.5588,Unsolicited unasked Faxes facsimile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country ,0.0075,2,sensedisambiguation,0.0143,Best Retirement Country state ,glove.topn3,0.0079,best retirement country well better nation already ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources ,0.1185,5,rm3.topn10.10.0.5.qld,0.3125,energi cell new sourc electr nuclear sup japan plutonium fuel releas ,relevancefeedback.topn10.qld,0.1585,new fuel sources sup nuclear power energi said n o cell ,anchor.topn3,0.1462,new fuel sources bibalayeva forms new yappin  fuel inject mixed oxid gas motor ,docluster.topn10.3.qld,0.1404,new fuel sources nuclear said ,termluster.topn5.3.qld,0.125,new fuel sources sourc system system fuel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable ,0.0509,8,anchor.topn3,0.0924,undersea fiber optic cable uuv  samayamaayi adventure queu fibr       cable   nowiki  disappearing fila itmo   spbsu ,word2vec.topn3,0.0692,undersea fiber optic cable deep sea underwater fibre cable TV ,termluster.topn5.3.qld,0.0674,undersea fiber optic cable cabl system telecommun telecommun system optic ,wordnet.topn3.replace,0.0613,submarine fibre vulcanized fiber roughage opthalmic oculus overseas telegram cable system cablegram ,thesaurus.topn3,0.059000000000000004,undersea fiber optic cable   grain thread  ocular optical  cord link ,thesaurus.topn3.replace,0.0531,undersea  grain thread  ocular optical  cord link ,docluster.topn10.3.qld,0.052000000000000005,undersea fiber optic cable sprint soviet ,sensedisambiguation,0.0511,Undersea submarine Fiber roughage Optic eye Cable cable television ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Women in Parliaments ,0.2545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime ,0.0009,11,word2vec.topn3,0.0147,international art crime national global domestic artwork artworks criminality ,word2vec.topn3.replace,0.0145,national global domestic artwork artworks criminality ,sensedisambiguation,0.0086,International Art artwork Crime ,sensedisambiguation.replace,0.0076,international artwork crime ,conceptnet.topn3,0.003,international art crime supranational painting paint paintings ,tagmee.topn3.replace,0.002,Art and Crime ,conceptnet.topn3.replace,0.0018,supranational painting paint paintings crime ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.0016,"{'crime': 2, 'art': 2, 'intern': 2, 'e': 2.0, 'n': 1.628, 'th': 1.204, 'court': 1.018, 'law': 1.013, 'fee': 1.009, 'statut': 1.009, 'icc': 1.009, 'jurisdict': 1.008, 'complementar': 1.006} ",tagmee.topn3,0.0015,international art crime Art and Crime ,conceptluster.topn5.3.qld,0.0015,international art crime art crime ,wiki.topn3,0.001,international art crime lsuicidé maya with doll les raboteurs dparquet Art and Crime ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary Journalistic Plagiarism ,0.2525,2,stem.lovins,0.344,liter   journ plagiar ,tagmee.topn3,0.3148,literary journalistic plagiarism Literature Journalism Plagiarism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine British Relations ,0.4124,1,stem.krovetz,0.4142,argentina   britain relations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles ,0.0718,6,bertqe.topn10.qld,0.1148,"{'Cult Lifestyles': 1.5, 'glamour lifestyles   observes': 1.0, 'might surround cult': 0.6267352679367688, 'rituals organized activities ': 0.5801368467847983, 'cult long ceased pestering': 0.5475154603063137, 'satanic cults  involve': 0.5422003084274788} ",stem.trunc4,0.1073,cult life ,stem.trunc5,0.1073,cult lifes ,anchor.topn3,0.0987,cult lifestyles genestealer reproduct   cult   tsumbubura ,wordnet.topn3,0.0982,cult lifestyles craze rage religious cult modus vivendi life style ,glove.topn3,0.0818,cult lifestyles followers sect sedentary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings ,0.6287,3,relevancefeedback.topn10.qld,0.6915,ferry sinkings ship estonia ferri safeti said bow ,docluster.topn10.3.qld,0.6912,ferry sinkings ship ferri estonia said safeti ,termluster.topn5.3.qld,0.6543,ferry sinkings ship door water estonia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery ,0.0795,9,thesaurus.topn3,0.4404,modern slavery  contemporary current  bondage captivity ,wordnet.topn3,0.2319,modern slavery New Bodoni thrall bondage slaveholding ,conceptnet.topn3.replace,0.2145,new slavery ,anchor.topn3.replace,0.1607,burdah jardot  originalité  slavery ,tagmee.topn3,0.1523,modern slavery Slavery Slavery in the United States ,word2vec.topn3,0.1167,modern slavery contemporary modern day ancient slaves enslavement ,conceptluster.topn5.3.qld,0.10800000000000001,modern slavery slavery united states ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.0933,"{'modern': 2, 'slave': 2.0, 'slaveri': 2, 'world': 1.247, 'know': 1.247, 'thank': 1.215, 'human': 1.161, 'traffick': 1.161, 'wilberforc': 1.086, 'swearingin': 1.043, 'mani': 1.022} ",wiki.topn3,0.0796,modern slavery slave trade slavery civil war Slavery emancipation proclamation frederick douglass jefferson davis Slavery in the United States ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications ,0.6635,2,sensedisambiguation,0.7367,Pope Beatifications beatification ,conceptnet.topn3,0.6739,pope beatifications Alexander Pope ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution ,0.1167,6,docluster.topn10.3.qld,0.2373,mexican air pollution mexico citi pollut ,stem.krovetz,0.20600000000000002,mexico air pollution ,word2vec.topn3,0.1803,mexican air pollution mexico air  water ,bertqe.topn10.qld,0.1594,"{'Mexican Air Pollution': 1.5, 'mexico s antipollution industry': 1.0, 'mexico city s air pollution grabs': 0.9997344231265167, 'pollution mexico city': 0.9989585089081527, 'mexicanbased industries dumped toxic': 0.9988710382800192, 'long  mexico city s air pollution': 0.9986262553601412} ",glove.topn3,0.1563,mexican air pollution mexico force flying environmental ,relevancefeedback.topn10.qld,0.1525,mexican air pollution citi pollut mexico border phalen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Iran Iraq Cooperation ,0.1013,6,anchor.topn3,0.138,iran iraq cooperation iran iraq iran iraq  eritrean ethiopian ,rm3.topn10.10.0.5.qld,0.1349,iraq tehran iranian turkei prc iran shihab iraqi cooper contain ,stem.trunc4,0.1308,iran   iraq coop ,stem.trunc5,0.1308,iran   iraq coope ,onfields.topn3.10.2.25.1.qld,0.1172,"{'cooper': 2, 'iran-iraq': 2, 'iraq': 2.0, 'iran': 1.804, 'turkey': 1.422, 'contain': 1.324, 'iraqi': 1.284, 'shihab': 1.255, 'zarif': 1.255, 'iranian': 1.245, 'tehran': 1.147, 'ankara': 1.147, 'pkk': 1.127} ",anchor.topn3.replace,0.1146,iran iraq iran iraq  eritrean ethiopian cooperation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism ,0.2178,1,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.2214,"{'critic': 2, 'world': 2, 'bank': 2, 'develop': 1.437, 'environment': 1.429, 'nation': 1.404, 'project': 1.265, 'countri': 1.229, 'loan': 1.204, 'fund': 1.18, 'polici': 1.127, 'increas': 1.086} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion ,0.0749,5,wiki.topn3,0.1717,income tax evasion bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,conceptluster.topn5.3.qld,0.0942,income tax evasion tax evasion ,tagmee.topn3,0.0941,income tax evasion Tax evasion Tax evasion ,wiki.topn3.replace,0.0932,bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,tagmee.topn3.replace,0.0917,Tax evasion Tax evasion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease ,0.2845,14,termluster.topn5.3.qld,0.4541,antibiotics bacteria disease year strain peopl antibiot develop diseas year strain peopl ,sensedisambiguation,0.3279,Antibiotics antibiotic Bacteria Disease ,docluster.topn10.3.qld,0.3187,antibiotics bacteria disease tb diseas plagu ,tagmee.topn3,0.3182,antibiotics bacteria disease Antibiotics Bacteria Infection ,tagmee.topn3.replace,0.3178,Antibiotics Bacteria Infection ,rm3.topn10.10.0.5.qld,0.3138,bacteria pneumonia infect drug strep diseas plagu antibiot resist caus ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.3113,"{'ar': 2.0, 'bacteria': 2, 'antibiot': 2, 'diseas': 2, 'infect': 1.196, 'resist': 1.163, 'vaccin': 1.101, 'antimicrobi': 1.101, 'item': 1.083, 'cdc': 1.069, 'caus': 1.067} ",onfields.topn3.10.2.25.1.qld,0.3071,"{'bacteria': 2, 'antibiot': 2, 'diseas': 2, 'pneumonia': 1.864, 'infect': 1.727, 'infecti': 1.705, 'caus': 1.614, 'resist': 1.591, 'lung': 1.386, 'henson': 1.25, 'akil': 1.182} ",wiki.topn3,0.3038,antibiotics bacteria disease bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,stem.porter,0.3029,antibiot bacteria diseas ,stem.porter2,0.3029,antibiot bacteria diseas ,conceptluster.topn5.3.qld,0.3028,antibiotics bacteria disease infection ,relevancefeedback.topn10.qld,0.2984,antibiotics bacteria disease antibiot pneumonia diseas syndrom tb strep tick plagu ,bertqe.topn10.qld,0.2924,"{'Antibiotics Bacteria Disease': 1.5, 'antibiotics attack bacteria rather': 1.0, 'tetracycline  penicillin antibiotics ': 0.6615588116869792, 'penicillin  proved': 0.4955584071401778, 'viral infections  influenza ': 0.31104932732010593, 'lyme bacteria': 0.3053440749638991} ",,,,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography ,0.0556,10,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.4529,"{'cryptographi': 2, 'export': 2, 'control': 2, 'encrypt': 1.598, 'item': 1.362, 'product': 1.326, 'licens': 1.326, 'secur': 1.317, 'bxa': 1.246, 'softwar': 1.232, '2001': 1.188, 'polici': 1.0} ",word2vec.topn3.replace,0.2047,import controls encryption cryptographic cryptology ,word2vec.topn3,0.1726,export controls cryptography import encryption cryptographic cryptology ,glove.topn3,0.1136,export controls cryptography import cryptographic public key ,wiki.topn3,0.1124,export controls cryptography outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,wiki.topn3.replace,0.11199999999999999,outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,relevancefeedback.topn10.qld,0.1119,export controls cryptography ii us china card code arrest he inform intellig state ,tagmee.topn3,0.1111,export controls cryptography Cryptography ,tagmee.topn3.replace,0.1111,Cryptography ,sensedisambiguation.replace,0.1111,export restraint cryptography ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents ,0.3336,7,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.4876,"{'biolog': 2, 'parent': 2, 'adopt': 2, 'child': 2.0, 'act': 1.431, 'shall': 1.315, 'court': 1.289, 'section': 1.221, 'consent': 1.198, 'birth': 1.175, 'lrb9000720lddv': 1.112, 'ilc': 1.091} ",relevancefeedback.topn10.qld,0.4514,adoptive biological parents her adopt child sabol she ,rm3.topn10.10.0.5.qld,0.4502,birth sabol parent her babi biolog she children child mother adopt ,onfields.topn3.10.2.25.1.qld,0.4434,"{'biolog': 2, 'parent': 2, 'adopt': 2, 'birth': 1.231, 'children': 1.222, 'mother': 1.197, 'judi': 1.103, 'burk': 1.103, 'confidenti': 1.085, 'aag': 1.068, 'blonder': 1.043, 'adoptaid': 1.043} ",tagmee.topn3,0.3646,adoptive biological parents Adoption Biology Parent ,sensedisambiguation,0.3592,Adoptive Biological Parents parent ,docluster.topn10.3.qld,0.3526,adoptive biological parents adopt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks ,0.0897,6,tagmee.topn3,0.0956,black bear attacks American black bear Bear attack ,conceptluster.topn5.3.qld,0.0956,black bear attacks american black bear bear attack ,wiki.topn3,0.0955,black bear attacks bobcat grizzly bear american bison American black bear kashmir stag mount abu wildlifsanctuary free ranging dog Bear attack ,relevancefeedback.topn10.qld,0.0944,black bear attacks he said offic mr have ,conceptnet.topn3,0.0911,black bear attacks oil coal color animal grizzly polar narcolepsy ,rm3.topn10.10.0.5.qld,0.0905,vallei coverston black movi grizzli corn bear white coyot attack anim ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis ,0.275,5,word2vec.topn3,0.3577,viral hepatitis bacterial phylodynamics HCV anti hepatitis ,relevancefeedback.topn10.qld,0.3562,viral hepatitis hepat health region diseas worker caus percent omit vaccinia ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.3102,"{'c': 2.0, 'viral': 2, 'hepat': 2, 'b': 1.263, 'program': 1.06, 'health': 1.039, 'colorado': 1.031, 'cdphe': 1.024, 'immun': 1.021, 'diseas': 1.02, 'increas': 1.013} ",thesaurus.topn3.replace,0.294,aggressive energetic hepatitis ,wiki.topn3,0.2868,viral hepatitis opportunistic infection attenuated vaccine rapid plasma reagin Viral hepatitis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin ,0.4212,2,termluster.topn5.3.qld,0.5221,risk aspirin patient ,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.5063,"{'of': 2, 'risk': 2, 'aspirin': 2, 'trial': 1.62, 'prevent': 1.549, 'patient': 1.537, 'stroke': 1.351, 'bleed': 1.241, 'chd': 1.234, 'gastrointestin': 1.195, 'diseas': 1.195, 'hemorrhag': 1.185} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
