qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21
INEX_LD-20120232,guitar origin blues,0.1203,3,onfields.topn3.10.1.1.bm25,0.1794,"{'origin': 2, 'guitar': 2, 'blue': 2, 'delta': 1.327, 'mississippi': 1.194, 'instrument': 1.19, 'style': 1.175, 'orlean': 1.142, 'stylist': 1.104, 'tennesse': 1.033, '0000e1': 1.028, 'stylestexa': 1.024}",relevancefeedback.topn10.bm25,0.1525,guitar origin blues blue,docluster.topn10.3.bm25,0.1525,guitar origin blues blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120311,tango culture movies,0.0983,8,tagmee.topn3.replace,0.2845,Tango Culture Film,bertqe.topn10.bm25,0.2583,"{'tango culture movies': 1.5, 'tango tango films argentine films': 1.0, 'tango 1998 film lucas demare': 0.8749999999999999, 'films tango films argentine films': 0.7499999999999999, 'musical films tango films argentine': 0.6249999999999999, 'tango yorubalanguage film': 0.4999999999999999}",termluster.topn5.3.bm25,0.2023,tango culture movies cultur film tango film,tagmee.topn3,0.184,tango culture movies Tango Culture Film,conceptluster.topn5.3.bm25,0.184,tango culture movies culture tango film,glove.topn3,0.1398,tango culture movies flamenco dancing films,conceptnet.topn3,0.1106,tango culture movies dance Kalashnikov culture,onfields.topn3.10.1.1.bm25,0.1066,"{'movi': 2, 'cultur': 2, 'tango': 2, 'nigerian': 1.721, 'caf': 1.581, 'julio': 1.465, 'irigoyen': 1.442, 'coffe': 1.256, 'ceriani': 1.163, 'alibalogun': 1.163, 'petruy': 1.116, '20032012it': 1.116, 'warli': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120312,tango culture countries,0.1468,9,relevancefeedback.topn10.bm25,0.3188,tango culture countries film uruguai,word2vec.topn3,0.3157,tango culture countries milonga traditions nations countires coutries,wiki.topn3,0.2796,tango culture countries tango bandoneon nuevo tango Tango music sociology of culture society counterculture Culture independence nationality society Nation,wiki.topn3.replace,0.2347,tango bandoneon nuevo tango Tango music sociology of culture society counterculture Culture independence nationality society Nation,tagmee.topn3,0.2227,tango culture countries Tango music Culture Nation,conceptluster.topn5.3.bm25,0.2227,tango culture countries culture nation tango music,tagmee.topn3.replace,0.2177,Tango music Culture Nation,conceptnet.topn3,0.1649,tango culture countries dance Kalashnikov culture continent flag war,bertqe.topn10.bm25,0.1545,"{'tango culture countries': 1.5, 'argentina vicente cosentino culture tango': 1.0, 'tango country spain musical film': 0.962962962962963, 'tango culture': 0.962962962962963, 'parpagnoli tango country spain musical': 0.8518518518518519, 'argentina another tango based': 0.5185185185185185}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120321,tango music  composers,0.3455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120322,tango music instruments,0.2908,5,sensedisambiguation,0.3252,tango music instruments musical instrument,tagmee.topn3.replace,0.294,Tango music Musical instrument,sensedisambiguation.replace,0.294,tango music musical instrument,tagmee.topn3,0.2917,tango music instruments Tango music Musical instrument,conceptluster.topn5.3.bm25,0.2917,tango music instruments musical instrument tango music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120331,tango dance styles,0.5484,3,tagmee.topn3,0.6088,tango dance styles Tango Tango,termluster.topn5.3.bm25,0.594,tango dance styles danc style argentin tango style argentin tango danc argentin,conceptluster.topn5.3.bm25,0.5926,tango dance styles tango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120332,tango dance history,0.2658,4,tagmee.topn3.replace,0.3407,Tango Tango History of dance,tagmee.topn3,0.3189,tango dance history Tango Tango History of dance,stem.trunc5,0.2946,tango dance histo,onfields.topn3.10.1.1.bm25,0.2756,"{'histori': 2, 'danc': 2, 'tango': 2, 'argentin': 1.366, 'argentina': 1.125, 'bandon': 1.084, 'milonga': 1.056, 'tangotango': 1.042, 'dispari': 1.028, 'canyengu': 1.028, 'rioplatens': 1.024, 'tangoc': 1.021}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120411,bicycle sport races,0.278,1,docluster.topn10.3.bm25,0.28,bicycle sport races race cycl bicycl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120412,bicycle sport disciplines,0.2103,1,glove.topn3,0.2517,bicycle sport disciplines bike aforementioned namely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120421,bicycle holiday towns,0.0153,7,word2vec.topn3,0.1241,bicycle holiday towns bike vacation busman cities villages,glove.topn3,0.0702,bicycle holiday towns bike christmas villages cities,wordnet.topn3,0.0566,bicycle holiday towns cycle pedal wheel vacation Ithiel Town townsfolk,tagmee.topn3,0.0241,bicycle holiday towns Bicycle Vacation,conceptluster.topn5.3.bm25,0.0241,bicycle holiday towns bicycle vacation,stem.lovins,0.0227,bicycl holida town,relevancefeedback.topn10.bm25,0.0205,bicycle holiday towns station stepasid bridg wheatlei tour rider twfk event chanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120422,bicycle holiday nature,0.0475,3,onfields.topn3.10.1.1.bm25,0.1225,"{'natur': 2, 'holiday': 2, 'cycl': 2.0, 'bicycl': 2, 'tour': 1.587, 'trail': 1.238, 'danub': 1.221, 'appalachian': 1.18, 'metronorth': 1.157, 'ev6': 1.145, 'eurovelo': 1.128, 'constan': 1.11, 'badenw': 1.035}",wiki.topn3,0.069,bicycle holiday nature bicycles cycle types road cycles Bicycle harvest festival christmas tree new year Holiday nature life biosphere Nature,wiki.topn3.replace,0.061,bicycles cycle types road cycles Bicycle harvest festival christmas tree new year Holiday nature life biosphere Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120431,bicycle benefits health,0.0625,3,wordnet.topn3,0.254,bicycle benefits health cycle pedal wheel gain welfare profit wellness,bertqe.topn10.bm25,0.25,"{'bicycle benefits health': 1.5, 'health benefits cycling helmets': 1.0, 'environmental benefits cycling': 0.8541666666666666, 'benefits cycling': 0.8125, 'cycling improved safety': 0.4583333333333333, 'use bicycle': 0.0}",wiki.topn3,0.0714,bicycle benefits health bicycles cycle types road cycles Bicycle quality of life health promotion nutrition Health quality of life health promotion nutrition Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120432,bicycle benefits environment,0.2825,3,onfields.topn3.10.1.1.bm25,0.3974,"{'environ': 2, 'bicycl': 2, 'benefit': 2, 'cycl': 2.0, 'univers': 1.669, 'sustain': 1.331, 'sustran': 1.244, 'organis': 1.079, 'cycleway': 1.063, 'conclus': 1.055, 'tennesse': 1.047, 'facilitiesstudi': 1.039, 'safeti': 1.0}",glove.topn3,0.3218,bicycle benefits environment bike moreover environmental,termluster.topn5.3.bm25,0.2868,bicycle benefits environment unit environ unit bicycl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120511,female rock singers,0.3604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120512,south korean girl groups,0.6037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120521,electronic music genres,0.218,6,onfields.topn3.10.1.1.bm25,0.3255,"{'genr': 2, 'music': 2, 'electron': 2, 'electro': 1.89, 'hop': 1.231, 'hous': 1.18, 'techno': 1.157, 'tranc': 1.078, 'stylist': 1.063, 'electrohop': 1.063, 'electrorap': 1.027}",word2vec.topn3,0.2411,electronic music genres non electronic electonic music  subgenres sub genres,tagmee.topn3.replace,0.2389,Electronic music Music genre,sensedisambiguation.replace,0.2389,electronic music music genre,tagmee.topn3,0.2297,electronic music genres Electronic music Music genre,conceptluster.topn5.3.bm25,0.2297,electronic music genres electronic music music genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120522,digital music notation formats,0.2696,4,termluster.topn5.3.bm25,0.4437,digital music notation formats notat music format file format notat music format file notat music file,docluster.topn10.3.bm25,0.3655,digital music notation formats dl file,relevancefeedback.topn10.bm25,0.3603,digital music notation formats file capella format dl,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.3429,"{'format': 2, 'notat': 2, 'digit': 2, 'music': 2, 'search': 1.494, 'file': 1.243, 'univers': 1.19, 'variations2': 1.19, 'selfridgefield': 1.113, 'omra': 1.113, 'kcl': 1.101, 'ciir': 1.069, 'databas': 1.057, 'searchqueri': 1.028}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120531,music conferences,0.701,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120532,intellectual property rights lobby,0.0974,4,tagmee.topn3.replace,0.1976,Intellectual property Intellectual property,tagmee.topn3,0.1868,intellectual property rights lobby Intellectual property Intellectual property,conceptluster.topn5.3.bm25,0.1488,intellectual property rights lobby intellectual property,termluster.topn5.3.bm25,0.1151,intellectual property rights lobby right properti right intellectu properti intellectu polit organ group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009022,Szechwan dish food cuisine,0.1251,11,wordnet.topn3,0.294,szechwan dish food cuisine Sichuan Szechuan Szechwan province mantrap serve serve up intellectual nourishment nutrient culinary art,onfields.topn3.10.1.1.bm25,0.2854,"{'food': 2, 'dish': 2, 'szechwan': 2, 'cuisin': 2, 'chines': 1.763, 'sichuan': 1.667, 'veget': 1.421, 'pickl': 1.307, 'cai': 1.237, 'zha': 1.202, 'chili': 1.167, 'szechuan': 1.149, 'jar': 1.14}",bertqe.topn10.bm25,0.2838,"{'Szechwan dish food cuisine': 1.5, 'food szechuan cuisine szechwan sichuan': 1.0, 'szcechuan cuisine sichuan dish cuisine': 1.0, 'cooking sichuan cuisine szechwan cuisine': 1.0, 'sichuan cuisine szechwan cuisine': 1.0, 'szechuan cuisine szechwan sichuan cuisine': 1.0}",tagmee.topn3,0.2743,szechwan dish food cuisine Sichuan Dish  food  Food Cuisine,conceptluster.topn5.3.bm25,0.2743,szechwan dish food cuisine sichuan dish food food cuisine,tagmee.topn3.replace,0.2364,Sichuan Dish  food  Food Cuisine,wordnet.topn3.replace,0.2089,Sichuan Szechuan Szechwan province mantrap serve serve up intellectual nourishment nutrient culinary art,rm3.topn10.10.0.5.bm25,0.1955,pepper pickl indian szechwan food sichuan chines cuisin dish veget korean,conceptnet.topn3,0.1733,szechwan dish food cuisine Szechuan China plate cake rice rechauffe,relevancefeedback.topn10.bm25,0.1488,szechwan dish food cuisine cuisin chines veget pepper chang indian korean,wiki.topn3,0.1339,szechwan dish food cuisine sichuan shaanxi hunan Sichuan list of legumdishes past food  batter  cooking  Dish  food  foods cuisine meat Food brunch veal veal Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009039,roman architecture,0.1551,9,tagmee.topn3,0.3695,roman architecture Ancient Roman architecture,conceptluster.topn5.3.bm25,0.3695,roman architecture ancient roman architecture,tagmee.topn3.replace,0.3436,Ancient Roman architecture,bertqe.topn10.bm25,0.3084,"{'roman architecture': 1.5, 'roman architecture ancient roman architecture': 1.0, 'roman architectural classical architecture ancient': 0.6666666666666666, 'ancient roman architectural classical architecture': 0.3333333333333333, 'architecture ancient roman architecture trabzon': 0.3333333333333333, 'roman architecture ancient rome': 0.3333333333333333}",adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.2615,"{'architectur': 2, 'roman': 2, 'ancient': 2.0, 'td': 1.326, 'rome': 1.321, 'comet': 1.248, 'faceari': 1.197, 'size2': 1.193, 'itam': 1.092, 'border0': 1.078, 'valigntop': 1.073, 'alignleft': 1.069}",onfields.topn3.10.1.1.bm25,0.2443,"{'arch': 2.0, 'roman': 2, 'architectur': 2, 'ancient': 1.302, 'architectura': 1.242, 'rome': 1.134, 'dome': 1.087, 'bath': 1.084, 'concret': 1.084, 'aqueduct': 1.077, 'vitruviu': 1.057}",termluster.topn5.3.bm25,0.2227,roman architecture ancient architectur build structur roman list,wiki.topn3,0.2024,roman architecture outlinof classical architecture frigidarium peristyle Ancient Roman architecture,wiki.topn3.replace,0.1625,outlinof classical architecture frigidarium peristyle Ancient Roman architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3336,1,stem.lovins,0.4231,finland car industr manufacturer saab sisu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009061,france second world war normandy,0.3136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009062,social network group selection,0.0096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009063,D Day normandy invasion,0.1721,11,bertqe.topn10.bm25,0.2563,"{'DDay normandy invasion': 1.5, 'invasion dday invasion normandy': 1.0, 'normandy landing dday invasion normandy': 1.0, 'landings dday landings normandy invasion': 1.0, 'invasion landings dday landings normandy': 1.0, 'normandy dday normandy invasion': 1.0}",wiki.topn3,0.2146,d day normandy invasion invasion of normandy operation overlord battle for caen Normandy landings operation neptune normandy landings invasion of normandy Operation Overlord omaha beach normandy landings utah beach Invasion of Normandy,wiki.topn3.replace,0.2071,invasion of normandy operation overlord battle for caen Normandy landings operation neptune normandy landings invasion of normandy Operation Overlord omaha beach normandy landings utah beach Invasion of Normandy,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.2037,"{'1944': 2.0, 'normandi': 2, 'invas': 2, 'dday': 2, 'june': 1.955, 'pg2': 1.358, 'pg3': 1.358, 'eisenhow': 1.254, 'overlord': 1.194, 'memorecondit': 1.179, 'pg6': 1.119}",tagmee.topn3,0.2011,d day normandy invasion Normandy landings Operation Overlord Invasion of Normandy,conceptluster.topn5.3.bm25,0.2011,d day normandy invasion invasion normandy operation overlord normandy landings,sensedisambiguation,0.1935,D Day normandy normandie invasion,docluster.topn10.3.bm25,0.1935,d day normandy invasion invas normandi,onfields.topn3.10.1.1.bm25,0.1909,"{'day': 2.0, 'normandi': 2, 'invas': 2, 'dday': 2, 'land': 1.537, 'oper': 1.428, 'divis': 1.339, 'alli': 1.314, '1944': 1.233, 'longest': 1.131, 'infantri': 1.0}",relevancefeedback.topn10.bm25,0.1825,d day normandy invasion normandi book ddai invas airborn medal oper clubmobil,tagmee.topn3.replace,0.1766,Normandy landings Operation Overlord Invasion of Normandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009074,web ranking scoring algorithm,0.1886,4,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.3097,"{'algorithm': 2, 'score': 2, 'web': 2, 'rank': 2, 'webpag': 1.363, 'document': 1.271, 'pagerank': 1.267, 'hit': 1.26, 'hub': 1.202, 'indegre': 1.178, 'hyperlink': 1.119, 'onormrank': 1.092, 'inlink': 1.084, 'outlink': 1.059}",stem.lovins,0.2672,web rank scor algorithm,stem.paicehusk,0.2672,web rank scor algorithm,termluster.topn5.3.bm25,0.2184,web ranking scoring algorithm algorithm rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009096,Eiffel,0.3407,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009111,europe solar power facility,0.0935,13,word2vec.topn3,0.2144,europe solar power facility germany european europe  photovoltaic non solar power  authority facilty,sensedisambiguation.replace,0.2124,european union solar world power facility,sensedisambiguation,0.1824,europe european union solar power world power facility,word2vec.topn3.replace,0.179,germany european europe  photovoltaic non solar power  authority facilty,wiki.topn3.replace,0.1491,amphitheatrof ththregauls praetorian prefecture of gaul roman gaul Gallo Roman culture outlinof classical architecture frigidarium peristyle Ancient Roman architecture world heritage sites in france  rd century bestablishments companions of the liberation Paris,rm3.topn10.10.0.5.bm25,0.1193,oper energi centrosolar europ renew heat edf solar compani photovolta facil power,tagmee.topn3,0.1164,europe solar power facility Europe Solar power,conceptluster.topn5.3.bm25,0.1164,europe solar power facility europe solar power,conceptnet.topn3,0.1073,europe solar power facility a kingdom continent a castle sun energy arboretum artifact menagerie,relevancefeedback.topn10.bm25,0.0997,europe solar power facility energi centrosolar heat,wiki.topn3,0.0958,europe solar power facility cultural concepts peninsulas of asia europe Europe solar energy solar power alternative energy Solar power,glove.topn3,0.0944,europe solar power facility european asia photovoltaic geothermal control addition,termluster.topn5.3.bm25,0.0938,europe solar power facility solar power facil energi facil power energi facil solar solar power europ,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009115,virtual museums,0.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010004,Indian food,0.2721,2,termluster.topn5.3.bm25,0.377,indian food food cuisin india indian cuisin india,onfields.topn3.10.1.1.bm25,0.3001,"{'indian': 2, 'food': 2, 'snack': 1.461, 'puri': 1.352, 'cuisin': 1.336, 'dish': 1.219, 'vada': 1.156, 'ragda': 1.148, 'masala': 1.125, 'dahi': 1.117, 'fdpir': 1.086}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010014,composer museum,0.0417,2,tagmee.topn3.replace,0.1772,Film Surrealist cinema,bertqe.topn10.bm25,0.10300000000000001,"{'composer museum': 1.5, 'archive renaissance museum composer': 1.0, 'museum composer bergen international festival': 1.0, 'museums norway edvard grieg': 0.5, 'edvard grieg museum grieg': 0.5, 'exhibition armenian composer': 0.16666666666666666}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
