qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13
29,ps   games ,0.0037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,diabetes education ,0.0765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,atari ,0.3316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,website design hosting ,0.0155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,elliptical trainer ,0.2705,3,sensedisambiguation,0.273,elliptical elliptic trainer ,relevancefeedback.topn10.qld.rm3,0.273,elliptical trainer ellipt ,docluster.topn10.3.qld.rm3,0.273,elliptical trainer ellipt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,cell phones ,0.0263,7,glove.topn3,0.0792,cell phones cellular telephones cellphones ,word2vec.topn3,0.0608,cell phones cellular telephones handsets ,wordnet.topn3,0.042,cell phones electric cell cellular phone telephone set earphone ,wordnet.topn3.replace,0.0368,cellular phone prison cell electric cell call up speech sound ring ,glove.topn3.replace,0.0323,cellular telephones cellphones ,relevancefeedback.topn10.qld.rm3,0.0274,cell phones phone ,docluster.topn10.3.qld.rm3,0.0274,cell phones phone ,,,,,,,,,,,,,,,,,,
35,hoboken ,0.2378,2,tagmee.topn3,0.3557,hoboken Hoboken  New Jersey ,conceptluster.topn5.3.qld.rm3,0.3557,hoboken hoboken new jersey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,gps ,0.0481,2,wiki.topn3,0.0837,gps missile guidance geographical technology radio navigation Global Positioning System ,glove.topn3,0.0702,gps positioning navigation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,pampered chef ,0.0362,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dogs for adoption ,0.0535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,disneyland hotel ,0.0951,4,docluster.topn10.3.qld.rm3,0.1171,disneyland hotel anaheim ,relevancefeedback.topn10.qld.rm3,0.1165,disneyland hotel gener anaheim ,tagmee.topn3,0.0953,disneyland hotel Disneyland Hotel  California  ,conceptluster.topn5.3.qld.rm3,0.0953,disneyland hotel disneyland hotel california ,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,michworks ,0.0602,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,orange county convention center ,0.0574,1,thesaurus.topn3,0.1014,orange county convention center  apricot bittersweet  canton constituency  meeting show  inside interior ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,the music man ,0.0,2,wiki.topn3,0.0097,music man oklahoma  oklahoma in fiction kiss me  kate The Music Man ,wiki.topn3.replace,0.0037,oklahoma  oklahoma in fiction kiss me  kate The Music Man ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,the secret garden ,0.211,3,wiki.topn3,0.584,secret garden novels by frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey The Secret Garden ,wiki.topn3.replace,0.5831,novels by frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey The Secret Garden ,glove.topn3,0.2218,secret garden supposedly secretly prohertrib ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,map of the united states ,0.0572,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,solar panels ,0.131,4,sensedisambiguation,0.13699999999999998,solar panels panel ,relevancefeedback.topn10.qld.rm3,0.13699999999999998,solar panels panel ,docluster.topn10.3.qld.rm3,0.13699999999999998,solar panels panel ,wordnet.topn3,0.1364,solar panels gore instrument panel ,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,alexian brothers hospital ,0.3078,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,indexed annuity ,0.1449,2,thesaurus.topn3,0.1933,indexed annuity  alphabetize catalogue  amount award ,sensedisambiguation,0.1791,indexed index annuity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,wilson antenna ,0.0155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,flame designs ,0.1728,1,termluster.topn5.3.qld.rm3,0.227,flame designs art clip clipart ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,dog heat ,0.0152,1,sensedisambiguation,0.0177,dog pawl heat hotness ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,horse hooves ,0.2534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,avp ,0.1727,2,tagmee.topn3,0.2102,avp Association of Volleyball Professionals ,conceptluster.topn5.3.qld.rm3,0.2102,avp association volleyball professionals ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,discovery channel store ,0.0384,1,termluster.topn5.3.qld.rm3,0.0628,discovery channel store store dvd dai discoveri store dai channel discoveri dai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,president of the united states ,0.1594,3,wordnet.topn3,0.1832,president united states prexy United States President merge unify link up tell land express ,sensedisambiguation,0.1758,president president of the united states of the united states state ,stem.trunc5,0.1712,presi of the unite state ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,iron ,0.0726,3,wordnet.topn3,0.154,iron Fe smoothing iron ,anchor.topn3,0.1471,iron isocyanotoluenemolybdenum isocyanobutanemolybdenum hydromanganes ,wordnet.topn3.replace,0.0993,cast iron atomic number    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,uss yorktown charleston sc ,0.0109,5,tagmee.topn3.replace,0.0667,USS Yorktown  CV     Charleston  South Carolina ,glove.topn3,0.0525,uss yorktown charleston sc destroyer u s s  williamsburg      savannah s c  karlsruher djecr ,tagmee.topn3,0.038,uss yorktown charleston sc USS Yorktown  CV     Charleston  South Carolina ,conceptluster.topn5.3.qld.rm3,0.038,uss yorktown charleston sc charleston south carolina uss yorktown cv    ,relevancefeedback.topn10.qld.rm3,0.0171,uss yorktown charleston sc aircraft pleasant museum ,,,,,,,,,,,,,,,,,,,,,,,,
57,ct jobs ,0.0982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,penguins ,0.054000000000000006,2,conceptnet.topn3,0.0871,penguins funny looking a zoo swim underwater ,word2vec.topn3,0.0777,penguins rockhopper ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,how to build a fence ,0.0276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,bellevue ,0.1662,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,worm ,0.0334,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,texas border patrol ,0.3353,9,wiki.topn3.replace,0.4066,texas states of the confederate states of america louisiana Texas united states border patrol el paso intelligenccenter u s  customs and border protection United States Border Patrol ,tagmee.topn3.replace,0.3828,Texas United States Border Patrol ,glove.topn3,0.3801,texas border patrol kansas austin crossing ,wiki.topn3,0.3799,texas border patrol texas states of the confederate states of america louisiana Texas united states border patrol el paso intelligenccenter u s  customs and border protection United States Border Patrol ,tagmee.topn3,0.3711,texas border patrol Texas United States Border Patrol ,conceptluster.topn5.3.qld.rm3,0.3711,texas border patrol united states border patrol texas ,thesaurus.topn3,0.3466,texas border patrol   boundary line  garrison vigilance ,word2vec.topn3,0.3448,texas border patrol nebraska california oklahoma border  ,sensedisambiguation,0.3354,texas border molding patrol ,,,,,,,,,,,,
63,flushing ,0.0942,3,tagmee.topn3,0.1984,flushing Flushing  Queens ,conceptluster.topn5.3.qld.rm3,0.1984,flushing flushing queens ,tagmee.topn3.replace,0.1278,Flushing  Queens ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,moths ,0.1361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,korean language ,0.0795,9,glove.topn3,0.3793,korean language korea word ,wiki.topn3,0.3712,korean language languages of north korea languages of korea buyeo languages Korean language ,wiki.topn3.replace,0.3574,languages of north korea languages of korea buyeo languages Korean language ,thesaurus.topn3,0.15,korean language  Asian Chinese  accent dialect ,wordnet.topn3,0.1292,korean language words lyric oral communication ,stem.krovetz,0.1231,korea language ,word2vec.topn3,0.1058,korean language korea langauge ,relevancefeedback.topn10.qld.rm3,0.0876,korean language languag ,docluster.topn10.3.qld.rm3,0.0876,korean language languag ,,,,,,,,,,,,
66,income tax return online ,0.0027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,vldl levels ,0.0921,1,stem.trunc4,0.135,vldl leve ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,pvc ,0.0969,4,wordnet.topn3,0.1696,pvc polyvinyl chloride premature ventricular contraction ,tagmee.topn3,0.1651,pvc Polyvinyl chloride ,conceptluster.topn5.3.qld.rm3,0.1651,pvc polyvinyl chloride ,wiki.topn3,0.1346,pvc polystyrene polyethylene acrylonitrilbutadienstyrene Polyvinyl chloride ,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,sewing instructions ,0.1466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,to be or not to be that is the question ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,living in india ,0.0,10,wiki.topn3,0.0124,living india states and territories established in      india hindustani speaking countries and territories India ,wiki.topn3.replace,0.0102,states and territories established in      india hindustani speaking countries and territories India ,word2vec.topn3.replace,0.0061,non living pakistan indian nepal ,wordnet.topn3.replace,0.0021,hold up life Republic of India Bharat ,conceptnet.topn3,0.0007,living india home room house a country in Asia a temple a very populous country ,tagmee.topn3,0.0004,living india India ,conceptluster.topn5.3.qld.rm3,0.0004,living india india ,word2vec.topn3,0.0003,living india non living pakistan indian nepal ,anchor.topn3,0.0001,living india gingerpig seareal caballero  nilgri india histori olatpur  ,tagmee.topn3.replace,0.0001,India ,,,,,,,,,
72,the sun ,0.0004,7,thesaurus.topn3,0.1473,sun  star sunlight ,word2vec.topn3,0.0466,sun sunlight sunshine sun  ,sensedisambiguation,0.0442,the sun sunlight ,word2vec.topn3.replace,0.0224,sunlight sunshine sun  ,thesaurus.topn3.replace,0.0098, star sunlight ,wordnet.topn3,0.0043,sun solarize insolate ,glove.topn3,0.0009,sun bright sky ,,,,,,,,,,,,,,,,,,
73,neil young ,0.2367,1,sensedisambiguation,0.2451,neil young youthful ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,kiwi ,0.0164,2,word2vec.topn3,0.0403,kiwi kiwifruit ,wordnet.topn3,0.0381,kiwi Actinidia deliciosa kiwi fruit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,tornadoes ,0.3537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,raised gardens ,0.208,1,thesaurus.topn3,0.256,raised gardens  constructed heightened  back yard bed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,bobcat ,0.0572,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,dieting ,0.0007,6,wiki.topn3.replace,0.0272,food faddism junk food macrobiotic diet Dieting ,wiki.topn3,0.0261,dieting food faddism junk food macrobiotic diet Dieting ,word2vec.topn3,0.0018,dieting weight loss dieters ,glove.topn3,0.0016,dieting dieters overeating ,thesaurus.topn3,0.0013,dieting  dietary fast ,thesaurus.topn3.replace,0.0012, dietary fast ,,,,,,,,,,,,,,,,,,,,,
79,voyager ,0.0363,5,wiki.topn3,0.3502,voyager missions to uranus missions to neptune missions to saturn Voyager program ,wiki.topn3.replace,0.319,missions to uranus missions to neptune missions to saturn Voyager program ,tagmee.topn3.replace,0.1439,Voyager program ,tagmee.topn3,0.0483,voyager Voyager program ,conceptluster.topn5.3.qld.rm3,0.0483,voyager voyager program ,,,,,,,,,,,,,,,,,,,,,,,,
80,keyboard reviews ,0.0914,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,afghanistan ,0.102,2,anchor.topn3,0.2089,afghanistan junbish  عالی      present  ,wordnet.topn3,0.1899,afghanistan Islamic State of Afghanistan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,joints ,0.0476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,memory ,0.0,5,conceptnet.topn3,0.0676,memory remembering something brain ,conceptnet.topn3.replace,0.0402,remembering something brain ,glove.topn3,0.0395,memory remembering ,wordnet.topn3,0.02,memory retentivity remembering computer storage ,word2vec.topn3,0.0126,memory recollection ,,,,,,,,,,,,,,,,,,,,,,,,
84,continental plates ,0.3771,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,milwaukee journal sentinel ,0.0395,3,wordnet.topn3,0.0481,milwaukee journal sentinel daybook diary sentry spotter scout ,sensedisambiguation,0.0396,milwaukee journal sentinel lookout ,conceptnet.topn3,0.0396,milwaukee journal sentinel lookout ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,bart sf ,0.4284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,who invented music ,0.0035,4,termluster.topn5.3.qld.rm3,0.0713,invented music name first ,tagmee.topn3,0.0122,invented music The Who The Music ,thesaurus.topn3,0.0057,invented music  assumed created  melody opera ,conceptnet.topn3,0.0045,invented music fictional dance record rock ,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,forearm pain ,0.0102,6,glove.topn3,0.076,forearm pain elbow wrist discomfort suffering ,word2vec.topn3,0.0751,forearm pain wrist elbow discomfort suffering agony ,glove.topn3.replace,0.0428,elbow wrist discomfort suffering ,word2vec.topn3.replace,0.024,wrist elbow discomfort suffering agony ,thesaurus.topn3,0.0162,forearm pain  radius ulna  ache agony ,conceptnet.topn3,0.0124,forearm pain hurt feeling sensation ,,,,,,,,,,,,,,,,,,,,,
89,ocd ,0.2901,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,mgb ,0.1654,2,relevancefeedback.topn10.qld.rm3,0.1979,mgb v     sp mg ,docluster.topn10.3.qld.rm3,0.1979,mgb   v   sp mg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,er tv show ,0.0124,5,wordnet.topn3,0.0466,er tv show erbium Er ER video television set boob tube prove depict express ,conceptluster.topn5.3.qld.rm3,0.0318,er tv show er tv series television program ,tagmee.topn3.replace,0.0317,ER  TV series  ER  TV series  Television program ,conceptnet.topn3.replace,0.0264,er an abbreviation for television show ,tagmee.topn3,0.0256,er tv show ER  TV series  ER  TV series  Television program ,,,,,,,,,,,,,,,,,,,,,,,,
92,the wall ,0.0002,2,word2vec.topn3,0.0037,wall wall  brick ,word2vec.topn3.replace,0.0018,wall  brick ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,raffles ,0.0192,2,conceptnet.topn3,0.0249,raffles Sir Thomas Stamford Raffles rafflesian ,wordnet.topn3,0.0223,raffles raffle off Sir Thomas Stamford Raffles Sir Thomas Raffles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,titan ,0.0108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,earn money at home ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,rice ,0.1268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,south africa ,0.0209,4,wiki.topn3,0.1036,south africa afrikaans speaking countries and territories south africa bantu countries and territories South Africa ,wiki.topn3.replace,0.0974,afrikaans speaking countries and territories south africa bantu countries and territories South Africa ,anchor.topn3,0.0457,south africa taurai mankachar north entolium    a   frica fojela ,wordnet.topn3,0.0359,south africa in the south S to the south ,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,sat ,0.095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,satellite ,0.0115,3,wordnet.topn3,0.0774,satellite artificial satellite orbiter planet ,wordnet.topn3.replace,0.0263,planet artificial satellite ,glove.topn3,0.0192,satellite launch ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,rincon puerto rico ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ritz carlton lake las vegas ,0.0568,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,fickle creek farm ,0.0019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,madam cj walker ,0.0645,5,wiki.topn3.replace,0.1509,my bondagand my freedom negro academy legal rights association Madam C  J  Walker ,tagmee.topn3.replace,0.0857,Madam C  J  Walker ,thesaurus.topn3,0.0741,madam cj walker  madame Frau   hiker pedestrian ,stem.paicehusk,0.0699,madam cj walk ,stem.trunc5,0.0699,madam cj walke ,,,,,,,,,,,,,,,,,,,,,,,,
104,indiana child support ,0.0229,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,sonoma county medical services ,0.0325,3,sensedisambiguation,0.0533,sonoma county medical services servicing ,conceptluster.topn5.3.qld.rm3,0.0392,sonoma county medical services health care sonoma county california ,docluster.topn10.3.qld.rm3,0.033,sonoma county medical services counti health ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,universal animal cuts reviews ,0.0193,1,relevancefeedback.topn10.qld.rm3,0.0405,universal animal cuts reviews nutrit i review anim cut price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,cass county missouri ,0.0278,2,thesaurus.topn3.replace,0.065,cass  canton constituency missouri ,wordnet.topn3,0.0301,cass county missouri California calcium Ca Missouri River Show Me State MO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,ralph owen brewster ,0.5222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,mayo clinic jacksonville fl ,0.0039,4,thesaurus.topn3,0.0099,mayo clinic jacksonville fl   hospital dispensary   ,tagmee.topn3.replace,0.0056,Mayo Clinic Jacksonville  Florida ,tagmee.topn3,0.0054,mayo clinic jacksonville fl Mayo Clinic Jacksonville  Florida ,conceptluster.topn5.3.qld.rm3,0.0054,mayo clinic jacksonville fl jacksonville florida mayo clinic ,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,map of brazil ,0.0217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,lymphoma in dogs ,0.3873,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,kenmore gas water heater ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,hp mini      ,0.0015,1,termluster.topn5.3.qld.rm3,0.0026,hp mini      new note notebook ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,adobe indian houses ,0.0039,2,wiki.topn3,0.0316,adobe indian houses buildings and structures by construction material adobe buildings and structures pueblos Adobe indigenous peoples in the united states native american topics native american history Native Americans in the United States houses residential area building House ,wiki.topn3.replace,0.0249,buildings and structures by construction material adobe buildings and structures pueblos Adobe indigenous peoples in the united states native american topics native american history Native Americans in the United States houses residential area building House ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,pacific northwest laboratory ,0.0321,6,thesaurus.topn3,0.2526,pacific northwest laboratory  calm friendly   lab workshop ,thesaurus.topn3.replace,0.25, calm friendly northwest  lab workshop ,stem.paicehusk,0.25,pac northwest lab ,tagmee.topn3,0.125,pacific northwest laboratory Pacific Northwest ,conceptluster.topn5.3.qld.rm3,0.125,pacific northwest laboratory pacific northwest ,wordnet.topn3,0.0362,pacific northwest laboratory Pacific Ocean northwesterly nor  west science laboratory science lab ,,,,,,,,,,,,,,,,,,,,,
116,california franchise tax board ,0.0052,6,conceptnet.topn3,0.0802,california franchise tax board a state a lizard a state in the USA government money payment wood plank flat ,thesaurus.topn3,0.0662,california franchise tax board  Bear Flag State Cal  authorization ballot  contribution cost  panel lath ,wordnet.topn3,0.0288,california franchise tax board Golden State CA dealership enfranchisement taxation assess gameboard instrument panel plug in ,anchor.topn3,0.0137,california franchise tax board california economi california histori california educ nutraceut roche dinkeloo omrania   puissanc      e            technic azobisisobutyronitril servogear barbering  ,stem.porter,0.0061,california franchis tax board ,stem.porter2,0.0061,california franchis tax board ,,,,,,,,,,,,,,,,,,,,,
117,dangers of asbestos ,0.2206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,poem in your pocket day ,0.0366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,interview thank you ,0.1129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,tv on computer ,0.0261,2,tagmee.topn3,0.0632,tv computer Television Computer ,conceptluster.topn5.3.qld.rm3,0.0632,tv computer television computer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,sit and reach test ,0.0823,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,culpeper national cemetery ,0.0102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
