qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12
11,gmat prep classes ,0.2165,1,word2vec.topn3,0.228,gmat prep classes courses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,djs ,0.0414,1,bertqe.topn10.bm25,0.0415,"{'djs': 1.5, 'dj johnathan peters dj dieselboy': 1.0, 'dj sledge hammer sunrise dj': 1.0, 'djs  tx  a   font   td   td   font size  1    hreflocalbusinessesdjsconvoyohios50html   convoy djs ': 1.0, 'djs  mi  a   font   td   tr   tr   td width50     font size  1    hreflocalbusinessesdjswest  20bloomfield  20hillsmichigans50html   west': 1.0, 'djs  mi  a   font   td   tr   tr   td width50     font size  1    hreflocalbusinessesdjscentallouisianas50html   cental': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,map ,0.0538,1,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0542,{'map': 2} ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dinosaurs ,0.0428,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,espn sports ,0.2365,1,sensedisambiguation,0.2478,espn sports sport ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,arizona game and fish ,0.1855,2,tagmee.topn3,0.1873,arizona game fish Arizona Arizona Game and Fish Department Fish ,conceptluster.topn5.3.bm25,0.1873,arizona game fish arizona game fish department arizona fish ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,poker tournaments ,0.0945,2,sensedisambiguation,0.097,poker tournaments tournament ,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.0946,"{'tournament': 2, 'poker': 2, 'marginbottom0001pt': 2.0, 'msobidifontfamilytim': 2.0, 'msostylepar': 2.0, 'msofareastfontfamilytim': 2.0, 'msopaginationwidoworphan': 2.0, 'msostylenameomnipag': 1.966, 'margin0in': 1.862, 'fontsize60pt': 1.552, 'msobidifontsize100pt': 1.552, 'fontfamilyari': 1.552, 'fontfamilycg': 1.483} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,wedding budget calculator ,0.0739,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,the current ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,defender ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,volvo ,0.2776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,rick warren ,0.3364,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,yahoo ,0.0046,3,wiki.topn3,0.0168,yahoo alibaba group websites by company companies based in sunnyvale  california Yahoo  ,wiki.topn3.replace,0.0142,alibaba group websites by company companies based in sunnyvale  california Yahoo  ,rm3.topn10.10.0.5.bm25,0.0057,yahoo messeng domain www chat com unlimit co launch briefcas ,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,diversity ,0.0803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,euclid ,0.1683,1,bertqe.topn10.bm25,0.3047,"{'euclid': 1.5, 'one euclid s accomplishments': 1.0, 'euclid meant ': 1.0, ' b  euclid  b  ancient greek': 0.5833333333333336, 'euclid active': 0.41666666666666674, 'euclid  i   boston  mass  1980    li': 0.41666666666666674} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,lower heart rate ,0.0321,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,starbucks ,0.1008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,inuyasha ,0.159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ps   games ,0.004,1,glove.topn3,0.0081,ps   games brmsg brnws     play ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,diabetes education ,0.1434,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,atari ,0.2841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,website design hosting ,0.0358,1,docluster.topn10.3.bm25,0.0372,website design hosting host ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,elliptical trainer ,0.2905,5,sensedisambiguation,0.2936,elliptical elliptic trainer ,relevancefeedback.topn10.bm25,0.2936,elliptical trainer ellipt ,docluster.topn10.3.bm25,0.2936,elliptical trainer ellipt ,tagmee.topn3,0.2906,elliptical trainer Elliptical trainer ,conceptluster.topn5.3.bm25,0.2906,elliptical trainer elliptical trainer ,,,,,,,,,,,,,,,,,,,,,
34,cell phones ,0.0192,1,relevancefeedback.topn10.bm25,0.0208,cell phones phone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,hoboken ,0.3284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,gps ,0.0464,1,glove.topn3,0.0591,gps positioning navigation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,pampered chef ,0.0426,1,sensedisambiguation,0.0441,pampered pamper chef ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dogs for adoption ,0.0615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,disneyland hotel ,0.0705,2,tagmee.topn3,0.0759,disneyland hotel Disneyland Hotel  California  ,conceptluster.topn5.3.bm25,0.0759,disneyland hotel disneyland hotel california ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,michworks ,0.0397,4,docluster.topn10.3.bm25,0.0623,michworks counti ,rm3.topn10.10.0.5.bm25,0.0538,bank aol calhoun michigan mountain mi counti michwork bike trail employ ,relevancefeedback.topn10.bm25,0.045,michworks michigan bike search counti work ,bertqe.topn10.bm25,0.0431,"{'michworks': 1.5, 'michworks org  a   li   li  ': 1.0, 'http  wwwmichworksorgmtbusermtbemplentrymainpage  detroit free press  http  wwwfreepcomindexhtm  br  http  wwwlakesareachambercomemploymentasp  p   p  kalamazoost ': 1.0, 'wwwmichigan talent bank  http wwwmichworksorg ': 0.75, ' li   href  kwwmichworksorg   wwmichworksorg  a   li   li ': 0.5, 'rel  prev   wwwmichworkscom  a   td   td style  textalign  center  ': 0.5} ",,,,,,,,,,,,,,,,,,,,,,,,
41,orange county convention center ,0.147,1,onfields.topn3.10.1.0.bm25,0.1523,"{'center': 2, 'counti': 2, 'orang': 2, 'convent': 2, 'orlando': 1.86, 'positionabsolut': 1.166, 'visibilityhidden': 1.127, 'norepeat': 1.096, 'displaynon': 1.089, 'width143px': 1.076, 'stylepositionabsolut': 1.076, 'textalignright': 1.076, 'margin6px': 1.076, 'classpromo': 1.076} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,the music man ,0.0068,1,sensedisambiguation,0.0084,the music man world ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,the secret garden ,0.2561,2,wiki.topn3,0.3951,secret garden novels by frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey The Secret Garden ,wiki.topn3.replace,0.3002,novels by frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey The Secret Garden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,map of the united states ,0.0337,2,bertqe.topn10.bm25,0.0444,"{'map of the united states': 1.5, 'map united states ': 1.0, 'united states map america': 0.6, 'maps united states ': 0.3999999999999999, 'map united states': 0.3999999999999999, 'map states  united 1830 ': 0.0} ",onfields.topn3.10.1.0.bm25,0.0362,"{'the': 2, 'of': 2, 'state': 2, 'unit': 2, 'map': 2, 'index': 1.307, 'calendar': 1.305, 'event': 1.155, 'mapoftheunitedst': 1.021, 'storycont': 1.012, 'anniesfamouscooki': 1.012, 'storywrap': 1.012, 'datecomrap': 1.012} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,solar panels ,0.1548,3,sensedisambiguation,0.1557,solar panels panel ,relevancefeedback.topn10.bm25,0.1557,solar panels panel ,docluster.topn10.3.bm25,0.1557,solar panels panel ,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,alexian brothers hospital ,0.3277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,indexed annuity ,0.1705,2,sensedisambiguation,0.2055,indexed index annuity ,onfields.topn3.10.1.0.bm25,0.201,"{'index': 2, 'annuiti': 2, 'rate': 1.496, 'interest': 1.306, 'eia': 1.269, 'fix': 1.231, 'equityindex': 1.223, 'guarante': 1.157, 'surrend': 1.149, 'indexlink': 1.091, 'equiti': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,wilson antenna ,0.0341,2,relevancefeedback.topn10.bm25,0.1221,wilson antenna cb ,thesaurus.topn3,0.0459,wilson antenna   receiver wire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,flame designs ,0.2379,1,docluster.topn10.3.bm25,0.3521,flame designs clipart ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,dog heat ,0.0244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,horse hooves ,0.2266,1,wordnet.topn3,0.258,horse hooves cavalry knight hoof ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,avp ,0.1492,3,bertqe.topn10.bm25,0.4213,"{'avp': 1.5, 'avp organization': 1.0, 'volleyball professionals  avp   font   b   p   p': 0.8260869565217391, 'volleyball professionals  avp   title   meta': 0.4347826086956521, 'avp  avp code 18 ': 0.08695652173913021, 'avp  avp code 76 ': 0.08695652173913021} ",tagmee.topn3,0.1748,avp Association of Volleyball Professionals ,conceptluster.topn5.3.bm25,0.1748,avp association volleyball professionals ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,discovery channel store ,0.1063,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,president of the united states ,0.1947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,iron ,0.0875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,uss yorktown charleston sc ,0.0194,7,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.1093,"{'sc': 2, 'charleston': 2, 'uss': 2, 'yorktown': 2, 'brown': 1.73, 'carrier': 1.676, 'congressman': 1.676, 'aircraft': 1.459, 'naval': 1.351, 'patriot': 1.324, 'essex': 1.297, 'cv10': 1.135, '19221946': 1.054} ",bertqe.topn10.bm25,0.094,"{'uss yorktown charleston sc': 1.5, 'uss yorktown charleston sc  br ': 1.0, ' br  uss yorktown museum charleston': 0.9310344827586207, 'yorktown aircraft carrier charleston sc': 0.896551724137931, 'yorktown charleston south carolina': 0.8620689655172414, ' br  uss yorktown charleston tour': 0.793103448275862} ",tagmee.topn3.replace,0.0743,USS Yorktown  CV     Charleston  South Carolina ,tagmee.topn3,0.0613,uss yorktown charleston sc USS Yorktown  CV     Charleston  South Carolina ,conceptluster.topn5.3.bm25,0.0613,uss yorktown charleston sc charleston south carolina uss yorktown cv    ,rm3.topn10.10.0.5.bm25,0.0433,patriot histor museum aircraft navi charleston uss yorktown sc carolina ,relevancefeedback.topn10.bm25,0.0373,uss yorktown charleston sc aircraft program pleasant carolina museum navi fort ,,,,,,,,,,,,,,,
57,ct jobs ,0.2348,1,docluster.topn10.3.bm25,0.2355,ct jobs job ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,penguins ,0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,how to build a fence ,0.0207,2,relevancefeedback.topn10.bm25,0.0219,how to build a fence fenc ,docluster.topn10.3.bm25,0.0219,how to build a fence fenc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,bellevue ,0.1591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,worm ,0.0366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,texas border patrol ,0.3732,6,tagmee.topn3.replace,0.4629,Texas United States Border Patrol ,tagmee.topn3,0.4372,texas border patrol Texas United States Border Patrol ,conceptluster.topn5.3.bm25,0.4372,texas border patrol united states border patrol texas ,wiki.topn3,0.4227,texas border patrol texas states of the confederate states of america louisiana Texas united states border patrol el paso intelligenccenter u s  customs and border protection United States Border Patrol ,wiki.topn3.replace,0.4145,texas states of the confederate states of america louisiana Texas united states border patrol el paso intelligenccenter u s  customs and border protection United States Border Patrol ,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.3963,"{'texa': 2, 'border': 2, 'in': 2.0, 'patrol': 2, 'agent': 1.368, 'rio': 1.087, 'sector': 1.07, 'inspector': 1.062, 'glynco': 1.022, 'kirpnick': 1.016, 'panchison': 1.012} ",,,,,,,,,,,,,,,,,,
63,flushing ,0.1089,3,tagmee.topn3,0.1769,flushing Flushing  Queens ,conceptluster.topn5.3.bm25,0.1769,flushing flushing queens ,tagmee.topn3.replace,0.1406,Flushing  Queens ,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,moths ,0.1153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,korean language ,0.2277,1,glove.topn3,0.349,korean language korea word ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,income tax return online ,0.003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,vldl levels ,0.1303,5,bertqe.topn10.bm25,0.1861,"{'vldl levels': 1.5, 'reasons high vldl levels': 1.0, 'vldl levels  li   li  abnormally low': 0.888888888888889, ' 03 bvldl detected': 0.888888888888889, 'vldl apob100 ps increased': 0.6666666666666667, 'vldl apob100 subjects': 0.6666666666666667} ",stem.trunc4,0.1803,vldl leve ,tagmee.topn3,0.1673,vldl levels Very low density lipoprotein ,conceptluster.topn5.3.bm25,0.1657,vldl levels low density lipoprotein ,sensedisambiguation,0.1526,vldl very low density lipoprotein levels level ,,,,,,,,,,,,,,,,,,,,,
68,pvc ,0.0534,5,docluster.topn10.3.bm25,0.1372,pvc pipe ,tagmee.topn3,0.087,pvc Polyvinyl chloride ,conceptluster.topn5.3.bm25,0.087,pvc polyvinyl chloride ,wordnet.topn3,0.0861,pvc polyvinyl chloride premature ventricular contraction ,wordnet.topn3.replace,0.0828,polyvinyl chloride premature ventricular contraction ,,,,,,,,,,,,,,,,,,,,,
69,sewing instructions ,0.1198,2,docluster.topn10.3.bm25,0.1804,sewing instructions sew ,bertqe.topn10.bm25,0.1323,"{'sewing instructions': 1.5, 'sewing instruction  instructions': 1.0, 'sewing instructions make': 0.4761904761904763, 'make sewing instruction': 0.4761904761904763, 'basic sewing instructions  font   p   p    p ': 0.4285714285714286, 'instructions beginners sewing': 0.23809523809523814} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,to be or not to be that is the question ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,living in india ,0.0047,2,tagmee.topn3,0.011,living india India ,conceptluster.topn5.3.bm25,0.011,living india india ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,the sun ,0.0007,2,thesaurus.topn3,0.0416,sun  star sunlight ,thesaurus.topn3.replace,0.0154, star sunlight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,neil young ,0.2316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,kiwi ,0.0173,3,word2vec.topn3,0.0426,kiwi kiwifruit ,wordnet.topn3,0.0365,kiwi Actinidia deliciosa kiwi fruit ,word2vec.topn3.replace,0.0303,kiwifruit ,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,tornadoes ,0.3511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,raised gardens ,0.268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,bobcat ,0.0369,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,dieting ,0.0027,2,wiki.topn3,0.0038,dieting food faddism junk food macrobiotic diet Dieting ,wiki.topn3.replace,0.0033,food faddism junk food macrobiotic diet Dieting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,voyager ,0.0476,6,wiki.topn3,0.1848,voyager missions to uranus missions to neptune missions to saturn Voyager program ,wiki.topn3.replace,0.1552,missions to uranus missions to neptune missions to saturn Voyager program ,tagmee.topn3,0.14400000000000002,voyager Voyager program ,conceptluster.topn5.3.bm25,0.14400000000000002,voyager voyager program ,bertqe.topn10.bm25,0.1292,"{'voyager': 1.5, 'voyager 1 voyager 2  br ': 1.0, 'content  texthtml  charsetutf8     title  voyager ': 1.0, 'voyager 510usb  br  star trek': 0.7499999999999998, 'voyager 2091  br  voyager earth': 0.7499999999999998, 'voyager mission': 0.7499999999999998} ",tagmee.topn3.replace,0.0726,Voyager program ,,,,,,,,,,,,,,,,,,
80,keyboard reviews ,0.1716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,afghanistan ,0.0513,1,bertqe.topn10.bm25,0.0514,"{'afghanistan': 1.5, 'afghanistan  td   td   nbsp   td   tr   tr   td  hamidullah': 1.0, 'afghanistan  td   td   nbsp   td   tr   tr   td  akhtar': 1.0, 'afghanistan  td   td   nbsp   td   tr   tr   td  zahor ': 0.49999999999999956, 'afghanistan  td   td   nbsp   td   tr   tr   td  mirmuhammad ': 0.49999999999999956, 'afghanistan  td   td   nbsp   td   tr   tr   td  muslimdost ': 0.49999999999999956} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,joints ,0.0453,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,memory ,0.0,7,glove.topn3,0.0285,memory remembering ,conceptnet.topn3,0.0159,memory remembering something brain ,wordnet.topn3,0.0131,memory retentivity remembering computer storage ,conceptnet.topn3.replace,0.0069,remembering something brain ,wordnet.topn3.replace,0.0063,remembering computer storage store ,word2vec.topn3,0.0003,memory recollection ,glove.topn3.replace,0.0001,remembering ,,,,,,,,,,,,,,,
84,continental plates ,0.3671,2,sensedisambiguation,0.3937,continental plates plate ,docluster.topn10.3.bm25,0.3937,continental plates plate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,milwaukee journal sentinel ,0.063,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,bart sf ,0.3720000000000001,1,onfields.topn3.10.1.0.bm25,0.3781,"{'bart': 2, 'sf': 2, 'oakland': 1.95, 'var': 1.533, 'fals': 1.183, 'concordmartinez': 1.117, 'coliseumoakland': 1.117, 'pittsburgbay': 1.117, 'addr1flag': 1.083, 'documentquickplannerdestvalu': 1.083, 'addr2flag': 1.083} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,who invented music ,0.0248,3,tagmee.topn3,0.0522,invented music The Who The Music ,conceptnet.topn3,0.0408,invented music fictional dance record rock ,conceptluster.topn5.3.bm25,0.0323,invented music music ,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,forearm pain ,0.1686,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ocd ,0.2337,1,bertqe.topn10.bm25,0.2364,"{'ocd': 1.5, 'relnofollow  ocd  disambiguation   a   br   img srchttp  imgtfdcomtab32gif   href  ocda   ocda  a   br   img srchttp  imgtfdcomtab32gif  ': 1.0, ' li  ocd  href  ocddsmphp   psychiatric': 0.6875, ' ocd  psychiatric condition ': 0.5000000000000001, 'originalurl  http  acronymsthefreedictionarycomocd   googlepageurloriginalurl  googlelanguage   en  ': 0.43750000000000006, 'ocd   href  therapyphp  ': 0.1875000000000001} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,mgb ,0.0916,6,onfields.topn3.10.1.0.bm25,0.185,"{'mg': 2.0, 'mgb': 2, 'v8': 1.267, '5speed': 1.124, 'midget': 1.081, 'v8t5': 1.051, '215t5': 1.037, 'mgbrover': 1.036, 'mgbbuick': 1.031, 'v6t5': 1.026, 'efit5': 1.025} ",rm3.topn10.10.0.5.bm25,0.1695,t  v  mgb ford car midget mg rover     mga ,docluster.topn10.3.bm25,0.1058,mgb   v   sp mg ,relevancefeedback.topn10.bm25,0.0972,mgb v   sp   mg mga report ,termluster.topn5.3.bm25,0.0928,mgb car contact ,bertqe.topn10.bm25,0.0917,"{'mgb': 1.5, 'mgb  olds 215   br   br   td   td   nbsp ': 1.0, 'mgb corey farley  humour   br ': 1.0, 'mgb meansian pender  br  nothing funny': 0.5, 'mgbsrichard miller  br  limited edition': 0.5, 'mgb mgb mgb  a   br   b    b  ': 0.5} ",,,,,,,,,,,,,,,,,,
91,er tv show ,0.0927,3,tagmee.topn3,0.1288,er tv show ER  TV series  ER  TV series  Television program ,conceptluster.topn5.3.bm25,0.1184,er tv show er tv series television program ,tagmee.topn3.replace,0.1066,ER  TV series  ER  TV series  Television program ,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,the wall ,0.0004,2,word2vec.topn3,0.0014,wall wall  brick ,word2vec.topn3.replace,0.0005,wall  brick ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,raffles ,0.0474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,titan ,0.0103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,earn money at home ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,rice ,0.0932,1,termluster.topn5.3.bm25,0.1159,rice recip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,south africa ,0.0248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,sat ,0.0708,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,satellite ,0.0168,1,glove.topn3,0.0246,satellite launch ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,rincon puerto rico ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ritz carlton lake las vegas ,0.0942,2,stem.trunc5,0.123,ritz carlt lake las vegas ,anchor.topn3,0.098,ritz carlton lake las vegas iż żgħira calender van  gunnison  kalausa halawet spreyton  yanama yungay  lake landslid       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,fickle creek farm ,0.0015,2,docluster.topn10.3.bm25,0.0038,fickle creek farm local ,onfields.topn3.10.1.0.bm25,0.0017,"{'creek': 2, 'fickl': 2, 'farm': 2, 'duke': 1.96, 'dinner': 1.72, 'wine': 1.48, 'var': 1.36, 'lantern': 1.2, 'locavor': 1.12, 'sixcours': 1.12, 'coowner': 1.08, 'greyentri': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,madam cj walker ,0.068,7,tagmee.topn3.replace,0.2473,Madam C  J  Walker ,rm3.topn10.10.0.5.bm25,0.1068,inventor goal paul madem award shampoo black cj madam walker ,tagmee.topn3,0.0978,madam cj walker Madam C  J  Walker ,conceptluster.topn5.3.bm25,0.0978,madam cj walker madam c  j  walker ,thesaurus.topn3,0.0819,madam cj walker  madame Frau   hiker pedestrian ,wiki.topn3,0.0817,madam cj walker my bondagand my freedom negro academy legal rights association Madam C  J  Walker ,termluster.topn5.3.bm25,0.0712,madam cj walker walker first paul madam first paul ,,,,,,,,,,,,,,,
104,indiana child support ,0.0442,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,sonoma county medical services ,0.1416,2,docluster.topn10.3.bm25,0.1548,sonoma county medical services health counti ,sensedisambiguation,0.1507,sonoma county medical services servicing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,universal animal cuts reviews ,0.0264,2,rm3.topn10.10.0.5.bm25,0.1004,univers autobot diet stak supplement review cut transform    fat nutrit anim ,docluster.topn10.3.bm25,0.0619,universal animal cuts reviews i nutrit cut you ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,cass county missouri ,0.18600000000000005,3,anchor.topn3,0.2446,cass county missouri pokagon  elsmerensi wabedo missouri histori missouri educ missouri economi ,tagmee.topn3.replace,0.1861,Cass County  Missouri Cass County  Missouri ,conceptluster.topn5.3.bm25,0.1861,cass county missouri cass county missouri ,,,,,,,,,,,,,,,,,,,,,,,,,,,
