qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16
42,the music man ,0.0037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,the secret garden ,0.2192,2,wiki.topn3,0.5218,secret garden novels by frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey The Secret Garden ,wiki.topn3.replace,0.4238,novels by frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey The Secret Garden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,map of the united states ,0.0243,3,termluster.topn5.3.qld,0.0672,map united states citi state unit state map citi unit map citi ,rm3.topn10.10.0.5.qld,0.044,western state religi unit usa calendar kingdom presid map index road law physic ,onfields.topn3.10.1.0.qld,0.0385,"{'the': 2, 'of': 2, 'map': 2, 'unit': 2, 'state': 2, 'usa': 1.031, 'america': 1.028, 'unti': 1.006, 'confeder': 1.005, 'storycont': 1.003, 'anniesfamouscooki': 1.003, 'storywrap': 1.003, 'datecomrap': 1.003} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,solar panels ,0.1316,3,sensedisambiguation,0.1409,solar panels panel ,relevancefeedback.topn10.qld,0.1409,solar panels panel ,docluster.topn10.3.qld,0.1409,solar panels panel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,alexian brothers hospital ,0.322,1,onfields.topn3.10.1.0.qld,0.3277,"{'hospit': 2, 'brother': 2, 'alexian': 2, 'windowonload': 1.072, '8474375500': 1.062, 'falseimg': 1.031, 'stylewidth': 1.031, '133em': 1.031, 'refreshusercontrolsinteriorsubnavtoolsascx': 1.021, 'refreshusercontrolsinteriorcontentascx': 1.021, 'alertcannot': 1.021, 'refreshusercontrolsinteriorfooterascx': 1.021} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,indexed annuity ,0.1519,1,sensedisambiguation,0.1642,indexed index annuity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,wilson antenna ,0.0287,3,relevancefeedback.topn10.qld,0.0993,wilson antenna cb ,tagmee.topn3,0.0327,wilson antenna Robert Woodrow Wilson Antenna  radio  ,conceptluster.topn5.3.qld,0.0327,wilson antenna antenna radio robert woodrow wilson ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,flame designs ,0.1548,1,rm3.topn10.10.0.5.qld,0.1656,tribal fire bead vector clip clipart design tattoo glass graphic flame ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,dog heat ,0.0183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,horse hooves ,0.2277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,avp ,0.1466,1,bertqe.topn10.qld,0.4036,"{'avp': 1.5, 'avp organization': 1.0, 'volleyball professionals  avp   font   b   p   p': 0.8181818181818181, 'volleyball professionals  avp   title   meta': 0.409090909090909, 'avp  avp code 87 ': 0.1363636363636362, 'avp  avp code 75 ': 0.09090909090909068} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,discovery channel store ,0.0522,2,rm3.topn10.10.0.5.qld,0.0744,gift channel registri store feb televis discoveri dvd planet anim idea ,termluster.topn5.3.qld,0.0721,discovery channel store store dvd dai discoveri store dai channel discoveri dai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,president of the united states ,0.1551,3,word2vec.topn3,0.1693,president united states vice president unified sates states  ,wiki.topn3,0.1661,president united states presidency of the united states cabinet of the united states democratiparty vice presidents of the united states President of the United States ,wiki.topn3.replace,0.1644,presidency of the united states cabinet of the united states democratiparty vice presidents of the united states President of the United States ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,iron ,0.0908,1,wordnet.topn3,0.1083,iron Fe smoothing iron ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,uss yorktown charleston sc ,0.0114,6,tagmee.topn3.replace,0.0443,USS Yorktown  CV     Charleston  South Carolina ,tagmee.topn3,0.0326,uss yorktown charleston sc USS Yorktown  CV     Charleston  South Carolina ,conceptluster.topn5.3.qld,0.0326,uss yorktown charleston sc charleston south carolina uss yorktown cv    ,bertqe.topn10.qld,0.029,"{'uss yorktown charleston sc': 0.975609756097561, 'uss yorktown charleston sc  br ': 1.0, 'uss yorktown museum charleston  br ': 0.926829268292683, 'yorktown museum charleston sc  br ': 0.9024390243902439, 'yorktown  br  uss yorktown charleston': 0.7804878048780489} ",onfields.topn3.10.1.0.qld,0.0167,"{'sc': 2, 'charleston': 2, 'uss': 2, 'yorktown': 2, 'va': 1.183, 'virginia': 1.08, 'ny': 1.078, 'height': 1.068, 'battl': 1.057, 'pleasant': 1.028, 'indiana': 1.02, 'lombard': 1.017} ",relevancefeedback.topn10.qld,0.0121,uss yorktown charleston sc pleasant aircraft program museum carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ct jobs ,0.213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,penguins ,0.0831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,how to build a fence ,0.0135,7,termluster.topn5.3.qld,0.0202,build fence fenc free garden wooden project plan ,relevancefeedback.topn10.qld,0.0179,how to build a fence fenc ,docluster.topn10.3.qld,0.0179,how to build a fence fenc ,conceptnet.topn3,0.0164,build fence construct a board make gate get an sword post ,wiki.topn3,0.0154,build fence ,tagmee.topn3,0.0154,build fence ,conceptluster.topn5.3.qld,0.0154,build fence ,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,bellevue ,0.1585,1,bertqe.topn10.qld,0.1586,"{'bellevue': 1.5, 'bellevue  wa 98007  blockquote style  margintop5px  marginbottom5px   ': 1.0, 'bellevue  wa 98004  blockquote style  margintop5px  marginbottom5px   ': 0.75, 'bellevue  wa 98006  blockquote style  margintop5px  marginbottom5px   ': 0.75, 'bellevue  bellevuepa   title   meta name  description  content  nursing': 0.24999999999999983, 'bellevue  wash   blockquote   div   div': 0.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,worm ,0.0356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,texas border patrol ,0.3848,6,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.4505,"{'texa': 2, 'border': 2, 'patrol': 2, 'rio': 1.373, 'agent': 1.269, 'inspector': 1.269, 'illeg': 1.261, 'del': 1.216, 'immigr': 1.179, 'paso': 1.134, 'increas': 1.045} ",wiki.topn3.replace,0.4195,texas states of the confederate states of america louisiana Texas united states border patrol el paso intelligenccenter u s  customs and border protection United States Border Patrol ,wiki.topn3,0.4109,texas border patrol texas states of the confederate states of america louisiana Texas united states border patrol el paso intelligenccenter u s  customs and border protection United States Border Patrol ,tagmee.topn3,0.4026,texas border patrol Texas United States Border Patrol ,conceptluster.topn5.3.qld,0.4026,texas border patrol united states border patrol texas ,tagmee.topn3.replace,0.3936,Texas United States Border Patrol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,flushing ,0.1087,2,tagmee.topn3,0.1718,flushing Flushing  Queens ,conceptluster.topn5.3.qld,0.1718,flushing flushing queens ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,moths ,0.117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,korean language ,0.1988,5,glove.topn3,0.3682,korean language korea word ,wiki.topn3,0.3174,korean language languages of north korea languages of korea buyeo languages Korean language ,wiki.topn3.replace,0.2948,languages of north korea languages of korea buyeo languages Korean language ,tagmee.topn3,0.1989,korean language Korean language ,conceptluster.topn5.3.qld,0.1989,korean language korean language ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,income tax return online ,0.0016,3,anchor.topn3,0.0026,income tax return online   puissanc      e            technic fancyson godbeast megazord  ,onfields.topn3.10.1.0.qld,0.0024,"{'onlin': 2, 'return': 2, 'incom': 2, 'tax': 2, 'prepar': 1.201, 'refund': 1.11, 'efil': 1.051, '5px': 1.024, 'artcharmcom': 1.019, '154a99': 1.01, 'refundcategori': 1.0} ",termluster.topn5.3.qld,0.0019,income tax return online turbo tax state feder file free feder file free turbo tax state ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,vldl levels ,0.1438,2,bertqe.topn10.qld,0.1603,"{'vldl levels': 1.5, 'level follows  vldl ': 1.0, ' 513000  td   td aligncenter  vldl  idl': 0.590909090909091, 'aligncenter  vldl  td   td aligncenter  liver  td   td aligncenter  0951006  td ': 0.5454545454545455, 'aligncenter  vldl  td   td aligncenter  10191063  td   td aligncenter  2022  td ': 0.5000000000000001, 'top  a   hr   h1   name  vldl   low': 0.4545454545454546} ",stem.trunc4,0.1585,vldl leve ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,pvc ,0.055,5,tagmee.topn3,0.1033,pvc Polyvinyl chloride ,conceptluster.topn5.3.qld,0.1033,pvc polyvinyl chloride ,wordnet.topn3,0.0871,pvc polyvinyl chloride premature ventricular contraction ,docluster.topn10.3.qld,0.086,pvc pipe ,wordnet.topn3.replace,0.0695,polyvinyl chloride premature ventricular contraction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,sewing instructions ,0.1316,1,bertqe.topn10.qld,0.1511,"{'sewing instructions': 1.5, 'sewing instruction instructions': 1.0, 'free sewing instructions beginners': 0.8333333333333334, 'instructions beginners sewing': 0.6111111111111112, 'instruction  sewing    meta name  keywords  content  instructions': 0.5555555555555555, 'instructions janome dc3018  sewing fabrics': 0.33333333333333326} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,to be or not to be that is the question ,0.0,2,wiki.topn3,0.0003,question ninotchka anthony adverse thpied piper       film  To Be or Not to Be       film  ,wiki.topn3.replace,0.0003,ninotchka anthony adverse thpied piper       film  To Be or Not to Be       film  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,living in india ,0.0011,9,bertqe.topn10.qld,0.0225,"{'living in india': 1.5, 'india  a   li   li   href  p94livingoverseasinindiahtml  title  living overseas': 1.0, 'india  a   li   li   href  p94indialivingandworkinginhtml  title  india living': 0.9983625730994151, 'expat living india search': 0.9976608187134501, 'overseas  class  default   india overseas  a   li   li   href  p94livingabroadinindiahtml  title  living': 0.9936842105263157, 'abroad india  class  default   living abroad': 0.9894736842105262} ",word2vec.topn3,0.0132,living india non living pakistan indian nepal ,wiki.topn3,0.0042,living india states and territories established in      india hindustani speaking countries and territories India ,tagmee.topn3,0.0042,living india India ,conceptluster.topn5.3.qld,0.0042,living india india ,wiki.topn3.replace,0.0029,states and territories established in      india hindustani speaking countries and territories India ,conceptnet.topn3,0.0028,living india home room house a country in Asia a temple a very populous country ,word2vec.topn3.replace,0.0027,non living pakistan indian nepal ,glove.topn3,0.0015,living india indian pakistan ,,,,,,,,,,,,,,,,,,,,,
72,the sun ,0.0007,7,thesaurus.topn3,0.0955,sun  star sunlight ,sensedisambiguation,0.0224,the sun sunlight ,thesaurus.topn3.replace,0.0115, star sunlight ,word2vec.topn3,0.0078,sun sunlight sunshine sun  ,relevancefeedback.topn10.qld,0.0012,the sun like ,docluster.topn10.3.qld,0.0012,the sun like ,glove.topn3,0.0009,sun bright sky ,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,neil young ,0.2358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,kiwi ,0.0172,3,word2vec.topn3,0.0472,kiwi kiwifruit ,wordnet.topn3,0.0461,kiwi Actinidia deliciosa kiwi fruit ,word2vec.topn3.replace,0.0184,kiwifruit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,tornadoes ,0.3522,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,raised gardens ,0.2067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,bobcat ,0.0372,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,dieting ,0.0027,2,wiki.topn3,0.0271,dieting food faddism junk food macrobiotic diet Dieting ,wiki.topn3.replace,0.0247,food faddism junk food macrobiotic diet Dieting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,voyager ,0.0486,6,wiki.topn3,0.2848,voyager missions to uranus missions to neptune missions to saturn Voyager program ,wiki.topn3.replace,0.2111,missions to uranus missions to neptune missions to saturn Voyager program ,tagmee.topn3,0.0784,voyager Voyager program ,conceptluster.topn5.3.qld,0.0784,voyager voyager program ,tagmee.topn3.replace,0.068,Voyager program ,bertqe.topn10.qld,0.0543,"{'voyager': 1.5, 'voyager 1 voyager 2  br ': 1.0, 'content  texthtml  charsetutf8     title  voyager ': 1.0, 'voyager 510usb  br  star trek': 0.7499999999999998, 'voyager 2091  br  voyager earth': 0.7499999999999998, 'voyager mission': 0.7499999999999998} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,keyboard reviews ,0.1271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,afghanistan ,0.0531,4,conceptnet.topn3,0.1087,afghanistan Islamic State of Afghanistan Karzai ,anchor.topn3,0.1002,afghanistan junbish  عالی      present  ,wordnet.topn3,0.0803,afghanistan Islamic State of Afghanistan ,conceptnet.topn3.replace,0.0596,Islamic State of Afghanistan Karzai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,joints ,0.0449,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,memory ,0.0,8,glove.topn3,0.0636,memory remembering ,conceptnet.topn3,0.0512,memory remembering something brain ,wordnet.topn3,0.0298,memory retentivity remembering computer storage ,conceptnet.topn3.replace,0.0097,remembering something brain ,word2vec.topn3,0.0058,memory recollection ,wordnet.topn3.replace,0.0002,remembering computer storage store ,thesaurus.topn3,0.0001,memory  consciousness mind ,glove.topn3.replace,0.0001,remembering ,,,,,,,,,,,,,,,,,,,,,,,,
84,continental plates ,0.3805,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,milwaukee journal sentinel ,0.0534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,bart sf ,0.3981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,who invented music ,0.0179,4,termluster.topn5.3.qld,0.1062,invented music first ,tagmee.topn3,0.08199999999999999,invented music The Who The Music ,conceptluster.topn5.3.qld,0.0669,invented music music ,conceptnet.topn3,0.0539,invented music fictional dance record rock ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,forearm pain ,0.0969,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ocd ,0.2348,1,bertqe.topn10.qld,0.2359,"{'ocd': 1.5, 'relnofollow  ocd  disambiguation   a   br   img srchttp  imgtfdcomtab32gif   href  ocda   ocda  a   br   img srchttp  imgtfdcomtab32gif  ': 1.0, ' li  ocd  href  ocddsmphp   psychiatric': 0.6875, ' ocd  psychiatric condition ': 0.5000000000000001, 'originalurl  http  acronymsthefreedictionarycomocd   googlepageurloriginalurl  googlelanguage   en  ': 0.43750000000000006, 'ocd   href  therapyphp  ': 0.1875000000000001} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
