qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14
219,what was the name of elvis presley s home ,0.0009,14,bertqe.topn10.bm25,0.0067,"{'what was the name of elvis presleys home': 1.5, 'title  home  href  http  wwwelvisassociationcom   home  a   li   li class  pageitem pageitem2   ': 1.0, 'tennessee home elvis presley ': 1.0, 'name  index  border  0  src  http  wwwelvispresleyforevercomimgsindexgif  alt  home    a   br  ': 0.8695652173913044, 'onmouseover  mmswapimage  index     http  wwwelvispresleyforevercomimgsindexovergif1     img name  index  border  0  src  http  wwwelvispresleyforevercomimgsindexgif  alt  home    a   br ': 0.8043478260869567, 'graceland  memphis home': 0.7826086956521741} ",termluster.topn5.3.bm25,0.0045,name elvis presley  s home elvi first preslei preslei name king ,conceptnet.topn3,0.0041,name elvis presley  s home nest house place ,wiki.topn3,0.0037,name elvis presley  s home cardiovascular disease deaths in tennessee sun records artists las vegas musicians Elvis Presley songs written by alan chang lost  michael bublé song  don t you wanna stay Home  Michael Bublé song  ,conceptnet.topn3.replace,0.0032,name elvis presley  s nest house place ,wordnet.topn3,0.0027,name elvis presley  s home constitute bring up loony toons back breaker dose Elvis Presley Elvis Aron Presley home base interior household ,wordnet.topn3.replace,0.0021,cite appoint mention dose acid battery acid Elvis Aron Presley Elvis Presley  s domicile home plate ,onfields.topn3.10.4.0.bm25,0.0019,"{'home': 2, ""presley'"": 2, 'of': 2, 'name': 2, 'the': 2, 'wa': 2, 'what': 2, 'elvi': 2, 'presley': 1.821, 'that': 1.117, 'errorspushyour': 1.026, 'googlecolorbord': 1.014, 'googlecolorurl': 1.014, 'googleadwidth': 1.014, 'googlecolorlink': 1.014, 'googleadformat': 1.014, 'pub4471664854759180': 1.014, 'biographi': 1.0} ",adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0018,"{'home': 2, ""presley'"": 2, 'elvi': 2, 'of': 2, 'name': 2, 'the': 2, 'wa': 2, 'what': 2, 'record': 2.0, 'phillip': 1.506, 'orm': 1.49, 'np': 1.245, 'ibid': 1.239, 'presley': 1.235, '10900': 1.11, 'usdi': 1.11, 'companymemphi': 1.11, '10240018': 1.11, 'releas': 1.103} ",rm3.topn10.10.0.5.bm25,0.0014,home elvi cd lisa what davi biographi name record fan rock preslei song ,glove.topn3,0.0011,name elvis presley  s home known presley impersonators elvis sinatra  s whose where come ,relevancefeedback.topn10.bm25,0.0011,what was the name of elvis presley s home elvi ,docluster.topn10.3.bm25,0.0011,what was the name of elvis presley s home elvi ,thesaurus.topn3,0.001,name elvis presley  s home  brand flag     central familiar 
220,nba records ,0.0011,3,thesaurus.topn3,0.0025,nba records   document evidence ,relevancefeedback.topn10.bm25,0.0012,nba records game   ,docluster.topn10.3.bm25,0.0012,nba records game ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,electoral college 2008 results ,0.0882,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,male menopause ,0.1098,1,bertqe.topn10.bm25,0.1248,"{'male menopause': 0.4999999999999999, 'male menopause  p   p   div style  textalign ': 1.0, 'menopause  amp  andropause  male': 0.8750000000000001, 'male menopause  br   br ': 0.625, 'male menopause occurs': 0.4999999999999999} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,usda food pyramid ,0.113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,making chicken soup from scratch ,0.0481,2,conceptnet.topn3,0.0518,making chicken soup scratch ,conceptnet.topn3.replace,0.0518,making chicken soup scratch ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,black and gold ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,traverse city ,0.024,3,tagmee.topn3,0.0432,traverse city Traverse City  Michigan ,conceptluster.topn5.3.bm25,0.0432,traverse city traverse city michigan ,tagmee.topn3.replace,0.0367,Traverse City  Michigan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,i will survive lyrics ,0.0522,3,rm3.topn10.10.0.5.bm25,0.1151,felt strong lyric oh i did surviv gloria gaynor br song ,tagmee.topn3.replace,0.0548,I Will Survive A Will to Survive Lyrics ,tagmee.topn3,0.0524,survive lyrics I Will Survive A Will to Survive Lyrics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,hawaiian volcano observatories ,0.0443,6,rm3.topn10.10.0.5.bm25,0.085,earthquak volcan hazard lava kilauea erupt volcano hvo observatori hawaiian ,relevancefeedback.topn10.bm25,0.0713,hawaiian volcano observatories hvo ,docluster.topn10.3.bm25,0.0713,hawaiian volcano observatories hvo ,onfields.topn3.10.4.0.bm25,0.0622,"{'hawaiian': 2, 'observatori': 2, 'volcan': 2.0, 'volcano': 2, 'hvo': 1.295, 'erupt': 1.27, 'var': 1.197, 'earthquak': 1.156, 'kilauea': 1.082, 'jaggar': 1.066, 'geologistgeophysicist': 1.049} ",adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0504,"{'hawaii': 2.0, 'observatori': 2, 'hawaiian': 2, 'volcano': 2, 'lava': 1.565, 'kilauea': 1.417, 'erupt': 1.296, 'mauna': 1.226, 'geolog': 1.217, 'hvo': 1.13, 'jaggar': 1.096} ",termluster.topn5.3.bm25,0.0445,hawaiian volcano observatories observatori volcano activ hawaiian observatori activ volcano hawaiian erupt ,,,,,,,,,,,,,,,,,,,,,,,,
229,beef stroganoff recipe ,0.1181,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,world s biggest dog ,0.0408,4,termluster.topn5.3.bm25,0.0714,world  s biggest dog biggest dog new dog world new biggest world new ,tagmee.topn3,0.047,world  s biggest dog World Dog ,conceptluster.topn5.3.bm25,0.047,world  s biggest dog dog world ,relevancefeedback.topn10.bm25,0.0427,world s biggest dog georg comment annual world breed you show ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,what are the seven deadly sins ,0.1291,1,onfields.topn3.10.4.0.bm25,0.1452,"{'the': 2, 'are': 2, 'what': 2, 'seven': 2, 'deadli': 2, 'sin': 2, 'lust': 1.114, 'mortal': 1.086, 'greed': 1.076, 'sloth': 1.067, 'sampler': 1.062, 'deadlier': 1.048, 'venial': 1.038, 'gluttoni': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,hurricane Irene flooding in manville nj ,0.1343,1,stem.lovins,0.1431,hurrican ir flood in manvil nj ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,hair dye ,0.0065,3,tagmee.topn3,0.0111,hair dye Hair coloring ,conceptluster.topn5.3.bm25,0.0111,hair dye hair coloring ,anchor.topn3,0.0087,hair dye afro lik frizzli stinging  dye victoria cy            dye  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,dark chocolate health benefits ,0.0766,1,docluster.topn10.3.bm25,0.0813,dark chocolate health benefits chocol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,ham radio ,0.0119,1,bertqe.topn10.bm25,0.0714,"{'ham radio': 1.5, 'ham radio pl259 antenna vhf': 1.0, 'class  expanded    href  hamradio5455761html   ham radio  a   ul class  l3    li   href  amplifiers16598571html   amplifiers  a   li ': 0.5, 'radio   ham radio  a   br   classmenu href  electronicsradiohamradioequipmenthtm  title  ham': 0.5, 'ham radio crystal 896 ': 0.5, 'ham radios offer great': 0.5} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,symptoms of mad cow disease in humans ,0.1123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,lump in throat ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,george bush sr bio ,0.0109,7,tagmee.topn3,0.0733,george bush sr bio George H  W  Bush ,conceptluster.topn5.3.bm25,0.0733,george bush sr bio george h  w  bush ,relevancefeedback.topn10.bm25,0.0335,george bush sr bio against clinton googl law nelson topic      judg ,termluster.topn5.3.bm25,0.0251,george bush sr bio bush georg ,wordnet.topn3.replace,0.0198,George IV George I George II scrub George Walker Bush Sr atomic number    steradian bio ,onfields.topn3.10.4.0.bm25,0.0171,"{'bio': 2, 'sr': 2, 'georg': 2, 'googl': 2.0, 'bush': 2, 'els': 1.526, 'img': 1.513, 'width93': 1.513, 'documentwritebra': 1.513, 'clinton': 1.487, 'debat': 1.321, 'ontheissuesorg': 1.128, 'cookieendindex': 1.051} ",tagmee.topn3.replace,0.0125,George H  W  Bush ,,,,,,,,,,,,,,,,,,,,,
239,frank lloyd wright biography ,0.0564,5,rm3.topn10.10.0.5.bm25,0.076,frank fallingwat architect lloyd wright biographi loui sullivan organ architectur ,onfields.topn3.10.4.0.bm25,0.07400000000000001,"{'biographi': 2, 'frank': 2, 'wright': 2, 'lloyd': 2, 'sullivan': 2.0, 'loui': 1.906, 'bio': 1.686, 'architect': 1.352, '2262012': 1.201, 'powel': 1.126, 'hous': 1.075} ",relevancefeedback.topn10.bm25,0.0606,frank lloyd wright biography sullivan i fallingwat architectur ,conceptluster.topn5.3.bm25,0.0583,frank lloyd wright biography frank lloyd wright ,wiki.topn3,0.0566,frank lloyd wright biography template frank lloyd wright prairischool people from richland center  wisconsin Frank Lloyd Wright template frank lloyd wright prairischool people from richland center  wisconsin Frank Lloyd Wright ,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,presidential middle names ,0.0027,1,sensedisambiguation,0.0067,presidential middle names name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,what is a wiki ,0.0194,2,docluster.topn10.3.bm25,0.0481,what is a wiki page ,adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0295,"{'a': 2, 'is': 2, 'what': 2, 'wiki': 2, 'that': 1.26, 'moinmoin': 1.087, 'wikihow': 1.068, 'deletepag': 1.064, 'edittext': 1.045, 'weirdredlink': 1.034, 'helpmiscellaneousfrequentlyaskedquest': 1.034, 'htmlfont': 1.023, 'wikican': 1.023, 'size12thi': 1.023} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,cannellini beans ,0.0015,9,word2vec.topn3,0.0069,cannellini beans borlotti haricot garbanzo fava ,wordnet.topn3,0.0058,cannellini beans bean plant noggin bonce ,relevancefeedback.topn10.bm25,0.0048,cannellini beans bean      cuisin i ,termluster.topn5.3.bm25,0.0035,cannellini beans bean food recip recip food cannellini ,conceptluster.topn5.3.bm25,0.003,cannellini beans navy bean ,docluster.topn10.3.bm25,0.0026,cannellini beans i ,tagmee.topn3,0.0025,cannellini beans Navy bean Navy bean ,word2vec.topn3.replace,0.0023,borlotti haricot garbanzo fava ,sensedisambiguation,0.0023,cannellini beans bean ,,,,,,,,,,,,,,,
243,afghanistan flag ,0.0205,1,wordnet.topn3,0.0322,afghanistan flag Islamic State of Afghanistan droop signal flag masthead ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,old town scottsdale ,0.0612,1,sensedisambiguation,0.0859,old previous town township scottsdale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,roosevelt island ,0.004,1,termluster.topn5.3.bm25,0.0069,roosevelt island island new view roosevelt new view ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,civil war battles in South Carolina ,0.0084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,rain man ,0.0018,1,wiki.topn3,0.0038,rain man american beauty       film  as good as it gets thwar of throses  film  Rain Man ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,eggs shelf life ,0.0013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,occupational therapist ,0.0075,4,wiki.topn3,0.0193,occupational therapist activities of daily living systematic review human development  biology  Occupational therapist ,wiki.topn3.replace,0.0077,activities of daily living systematic review human development  biology  Occupational therapist ,relevancefeedback.topn10.bm25,0.0077,occupational therapist occup      ,docluster.topn10.3.bm25,0.0077,occupational therapist occup ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,ford edge problems ,0.0026,6,stem.trunc4,0.05,ford edge prob ,stem.trunc5,0.05,ford edge probl ,tagmee.topn3,0.0125,ford edge problems Ford Edge ,relevancefeedback.topn10.bm25,0.0125,ford edge problems i edg post car ,conceptluster.topn5.3.bm25,0.0125,ford edge problems ford edge ,termluster.topn5.3.bm25,0.0029,ford edge problems car edg vehicl vehicl problem new vehicl new model ,,,,,,,,,,,,,,,,,,,,,,,,
251,identifying spider bites ,0.003,7,relevancefeedback.topn10.bm25,0.0082,identifying spider bites amp i brown bite ,rm3.topn10.10.0.5.bm25,0.0073,identif widow bite spider black reclus amp brown webmd symptom identifi ,word2vec.topn3,0.006,identifying spider bites locating determining assessing arachnid tarantula bitten ,tagmee.topn3,0.006,identifying spider bites Spider Spider bite ,conceptluster.topn5.3.bm25,0.006,identifying spider bites spider bite spider ,docluster.topn10.3.bm25,0.005,identifying spider bites brown ,termluster.topn5.3.bm25,0.0038,identifying spider bites spider mai brown bite identifi mai spider mai identifi ,,,,,,,,,,,,,,,,,,,,,
252,history of orcas island ,0.0478,2,tagmee.topn3,0.0507,history orcas island Orcas Island ,conceptluster.topn5.3.bm25,0.0507,history orcas island orcas island ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,tooth abscess ,0.0263,4,tagmee.topn3,0.0332,tooth abscess Dental abscess ,conceptluster.topn5.3.bm25,0.0332,tooth abscess dental abscess ,onfields.topn3.10.4.0.bm25,0.031,"{'tooth': 2, 'abscess': 2, 'dental': 1.611, 'prohealth': 1.235, 'oralb': 1.124, 'classentrymeta': 1.034, 'metaprepauthorpost': 1.034, '2011spana': 1.034, 'adminadminaspan': 1.034, 'classmetaprep': 1.034, 'classmetasepbyspan': 1.034} ",termluster.topn5.3.bm25,0.0289,tooth abscess abscess dental tooth dental ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,barrett s esophagus ,0.0027,5,docluster.topn10.3.bm25,0.0046,barrett s esophagus esophagu ,rm3.topn10.10.0.5.bm25,0.0042,grade cancer patient dysplasia esophagu ablat reflux gerd symptom barrett ,onfields.topn3.10.4.0.bm25,0.0038,"{""barrett'"": 2, 'esophagu': 2, 'barrett': 1.787, 'ablat': 1.423, 'dysplasia': 1.419, 'highgrad': 1.236, 'endoscop': 1.228, 'radiofrequ': 1.15, 'rfa': 1.135, 'metaplasia': 1.101, 'lowgrad': 1.071, 'cryoablat': 1.071} ",adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0035,"{""barrett'"": 2, 'esophag': 2.0, 'esophagu': 2, 'cancer': 1.783, 'pubm': 1.633, 'barrett': 1.338, 'adenocarcinoma': 1.189, 'squamou': 1.171, 'gerd': 1.142, 'diseas': 1.121, 'reflux': 1.117, 'endoscopi': 1.085} ",termluster.topn5.3.bm25,0.0028,barrett  s esophagus cancer diseas esophag stomach reflux mai ,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,teddy bears ,0.0051,2,sensedisambiguation,0.0065,teddy bears bear ,docluster.topn10.3.bm25,0.0065,teddy bears bear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,patron saint of mental illness ,0.0712,1,termluster.topn5.3.bm25,0.0716,patron saint mental illness cathol inform list book holi ill book holi ill saint mother mental ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,holes by louis sachar ,0.0541,4,tagmee.topn3,0.0587,holes louis sachar Holes  film  Louis Sachar ,conceptluster.topn5.3.bm25,0.0587,holes louis sachar holes film louis sachar ,relevancefeedback.topn10.bm25,0.0562,holes by louis sachar hole book titl mitchel davi i ,tagmee.topn3.replace,0.056,Holes  film  Louis Sachar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,hip roof ,0.0186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,carpenter bee ,0.0644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,the american revolutionary ,0.0225,4,tagmee.topn3,0.0426,american revolutionary Americans American Revolution ,conceptluster.topn5.3.bm25,0.0426,american revolutionary american revolution americans ,wiki.topn3,0.0417,american revolutionary american people immigration to the united states ethnigroups in the united states Americans     s conflicts     s conflicts american revolution American Revolution ,docluster.topn10.3.bm25,0.0273,the american revolutionary war ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,folk remedies sore throat ,0.0497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,balding cure ,0.0047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,evidence for evolution ,0.0206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,tribe formerly living in alabama ,0.0317,5,conceptnet.topn3,0.044,tribe formerly living alabama chief group home room house a state ,tagmee.topn3,0.0428,tribe formerly living alabama Tribe  Native American  Alabama ,conceptluster.topn5.3.bm25,0.0428,tribe formerly living alabama alabama tribe native american ,glove.topn3,0.0425,tribe formerly living alabama tribal previously known mississippi tennessee ,rm3.topn10.10.0.5.bm25,0.0322,seminol indian tribe american villag nativ alabama fact island band formerli river live ,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,F  tornado ,0.0027,8,wiki.topn3,0.0201,f  tornado enhanced fujita scale tornadoes in japan list of derecho events Fujita scale fujita scale tornado tornadogenesis Tornado ,wiki.topn3.replace,0.0193,enhanced fujita scale tornadoes in japan list of derecho events Fujita scale fujita scale tornado tornadogenesis Tornado ,onfields.topn3.10.4.0.bm25,0.018000000000000002,"{'f5': 2, 'tornado': 2, 'scale': 1.667, 'damag': 1.37, 'fscale': 1.306, 'f3': 1.287, 'raf': 1.269, 'fujita': 1.241, 'panavia': 1.157, 'ffdegva': 1.065, '03252008': 1.065} ",termluster.topn5.3.bm25,0.0091,f  tornado mai ,tagmee.topn3,0.0068,f  tornado Fujita scale Tornado ,conceptluster.topn5.3.bm25,0.0068,f  tornado fujita scale tornado ,adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,0.0062,"{'f5': 2, 'tornado': 2, 'storm': 1.31, 'tennesse': 1.213, 'lawrenc': 1.195, 'supercel': 1.103, 'fujita': 1.086, 'increas': 1.057, 'mesocyclon': 1.052, 'grazuli': 1.052, 'creekokc': 1.017} ",tagmee.topn3.replace,0.005,Fujita scale Tornado ,,,,,,,,,,,,,,,,,,
266,symptoms of heart attack ,0.0116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,feliz navidad lyrics ,0.002,7,wiki.topn3,0.0118,feliz navidad lyrics sangrlatina el amor dmi vida  song  llegar a ti Feliz Navidad  song  ,wiki.topn3.replace,0.0118,sangrlatina el amor dmi vida  song  llegar a ti Feliz Navidad  song  ,sensedisambiguation,0.0059,feliz navidad lyrics lyric ,conceptnet.topn3,0.0059,feliz navidad lyrics song music ,relevancefeedback.topn10.bm25,0.0039,feliz navidad lyrics christma      lyric hispan i   ,wordnet.topn3,0.0024,feliz navidad lyrics lyric poem language ,stem.paicehusk,0.0024,fel navidad lyric ,,,,,,,,,,,,,,,,,,,,,
268,benefits of running ,0.0117,2,tagmee.topn3,0.0172,benefits running Health Running ,conceptluster.topn5.3.bm25,0.0172,benefits running health running ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,marshall county schools ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,sun tzu ,0.0158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,halloween activities for middle school ,0.0022,7,tagmee.topn3.replace,0.0667,Halloween Middle school ,stem.lovins,0.0667,halloween act for middl school ,stem.paicehusk,0.0667,halloween act for middl school ,wiki.topn3,0.0167,halloween activities middle school halloween halloween practices halloween events Halloween elementary and primary schools high school secondary school Middle school ,tagmee.topn3,0.0167,halloween activities middle school Halloween Middle school ,conceptluster.topn5.3.bm25,0.0167,halloween activities middle school halloween middle school ,wiki.topn3.replace,0.0095,halloween halloween practices halloween events Halloween elementary and primary schools high school secondary school Middle school ,,,,,,,,,,,,,,,,,,,,,
272,dreams interpretation ,0.0142,5,tagmee.topn3,0.0143,dreams interpretation Dream Dream interpretation ,tagmee.topn3.replace,0.0143,Dream Dream interpretation ,relevancefeedback.topn10.bm25,0.0143,dreams interpretation dream ,docluster.topn10.3.bm25,0.0143,dreams interpretation dream ,conceptluster.topn5.3.bm25,0.0143,dreams interpretation dream dream interpretation ,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,wilson s disease ,0.0261,1,onfields.topn3.10.4.0.bm25,0.029,"{""wilson'"": 2, 'wilson': 2.0, 'diseas': 2, 'patient': 1.545, 'copper': 1.537, 'liver': 1.438, 'wd': 1.298, 'zinc': 1.198, 'trientin': 1.091, 'ceruloplasmin': 1.083, 'tetrathiomolybd': 1.083, 'kayserfleisch': 1.058} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,golf instruction ,0.0073,2,rm3.topn10.10.0.5.bm25,0.0101,tip academi swing cours newark club lesson instruct golf pga ,onfields.topn3.10.4.0.bm25,0.0091,"{'instruct': 2, 'golf': 2, 'swing': 1.27, 'tip': 1.18, 'profession': 1.071, 'lesson': 1.061, 'pga': 1.049, 'instructor': 1.048, 'exercis': 1.022, 'cbc283': 1.015, 'academi': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,uss cole ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
