qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
711,Train station security measures ,0.059,2,rm3.topn10.10.0.5.qld,0.2915,measur train secur protect transit station personnel attack facil threat amtrak ,relevancefeedback.topn10.qld,0.2425,train station security measures measur naval amtrak secur transport transit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Pyramid scheme ,0.5687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Chesapeake Bay Maryland clean ,0.3134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,License restrictions older drivers ,0.1482,2,relevancefeedback.topn10.qld,0.1772,license restrictions older drivers renew licens driver restrict ,docluster.topn10.3.qld,0.1772,license restrictions older drivers renew    driver licens restrict ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Schizophrenia drugs ,0.1559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Spammer arrest sue ,0.1113,5,tagmee.topn3,0.1972,spammer arrest sue Spamming Arrest Lawsuit ,conceptluster.topn5.3.qld,0.1972,spammer arrest sue spamming arrest lawsuit ,sensedisambiguation.replace,0.1501,spammer halt sue ,sensedisambiguation,0.1392,Spammer arrest halt sue ,tagmee.topn3.replace,0.1119,Spamming Arrest Lawsuit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Gifted talented student programs ,0.3678,1,relevancefeedback.topn10.qld,0.3773,gifted talented student programs gift ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Controlling acid rain ,0.3188,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Cruise ship damage sea life ,0.061,8,bertqe.topn10.qld,0.1578,"{'Cruise ship damage sea life': 1.5, 'cruise ships sensitive ecosystems16': 1.0, 'marine pollution cruise ships ': 0.9705882352941176, 'impacts cruise ships': 0.47058823529411764, 'toxic hazardous cruise ship': 0.5294117647058824, 'impacts cruise ship': 0.5} ",onfields.topn3.10.4.0.25.qld,0.1206,"{'life': 2, 'sea': 2, 'damag': 2, 'ship': 2, 'cruis': 2, 'discharg': 1.391, 'oil': 1.344, 'wast': 1.304, 'environment': 1.299, 'spill': 1.116, 'sewag': 1.101, 'caribbean': 1.093, 'respons': 1.076, 'imo': 1.071} ",tagmee.topn3,0.1057,cruise ship damage sea life Cruise ship Marine biology ,glove.topn3,0.1037,cruise ship damage sea life ship vessel caused ocean waters lives even ,tagmee.topn3.replace,0.0892,Cruise ship Marine biology ,anchor.topn3,0.0669,cruise ship damage sea life kommuna   cunnari communa   normalhöhennul  trsa    vega apicomplexan kdblife nánjīng    small ,conceptluster.topn5.3.qld,0.0659,cruise ship damage sea life marine biology ,wiki.topn3,0.0646,cruise ship damage sea life cruisline cruise ship templates holland america line Cruise ship plankton oceanography ocean current Marine biology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Federal welfare reform ,0.2937,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Census data applications ,0.0607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Iran terrorism ,0.4926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Executive privilege ,0.1191,4,docluster.topn10.3.qld,0.2764,executive privilege document staff presid ,relevancefeedback.topn10.qld,0.2156,executive privilege privileg staff document presid committe ,onfields.topn3.10.4.0.25.qld,0.1346,"{'execut': 2, 'staff': 2.0, 'privileg': 2, 'committe': 1.895, 'presidenti': 1.276, 'profession': 1.229, 'bylaw': 1.213, 'hous': 1.205, 'practition': 1.204, 'oic': 1.127, 'f2d': 1.105} ",adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.1314,"{'execut': 2, 'privileg': 2, 'reagan': 2.0, 'former': 1.514, 'poindext': 1.471, 'lawyer': 1.271, 'videotap': 1.271, 'diari': 1.186, 'irancontra': 1.157, 'defens': 1.129, 'secord': 1.071, 'decis': 1.057} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Iran Contra ,0.1939,4,rm3.topn10.10.0.5.qld,0.2862,cia hi drug affair casei      iran contra fiction ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.2688,"{'iran': 2, 'contra': 2, 'reagan': 1.841, 'irancontra': 1.58, 'poindext': 1.449, 'hous': 1.246, 'scandal': 1.159, 'advis': 1.13, 'releas': 1.13, 'inkl': 1.058, 'contrag': 1.029, 'exwhit': 1.029} ",relevancefeedback.topn10.qld,0.2525,iran contra defend   cia casei ,conceptluster.topn5.3.qld,0.194,iran contra iran contra affair ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Low white blood cell count ,0.2302,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Hubble telescope repairs ,0.5128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Church arson ,0.447,2,sensedisambiguation,0.4856,Church church service arson ,termluster.topn5.3.qld,0.4762,church arson arson baptist build baptist build charg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,whales save endangered ,0.4756,1,relevancefeedback.topn10.qld,0.488,whales save endangered whale endang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Whistle blower department of defense ,0.0026,16,glove.topn3,0.08800000000000001,whistle blower department defense blowing whistleblower administration defence ,word2vec.topn3,0.05,whistle blower department defense swanee whistle blowing dept defence ,tagmee.topn3,0.0314,whistle blower department defense Whistleblower United States Department of Defense ,conceptluster.topn5.3.qld,0.0314,whistle blower department defense united states department defense whistleblower ,bertqe.topn10.qld,0.0234,"{'Whistle blower department of defense': 1.5, 'whistleblower information disclosed 1530016 investigation': 1.0, 'federal intervention whistleblower': 0.9057331863285557, 'facearial  helvetica  sansserif size2   b  section 18500  whistle blower ': 0.5132304299889747, 'bureau investigation  us ': 0.509922822491731, 'whistleblower lawsuit lockheed': 0.4972436604189633} ",glove.topn3.replace,0.0176,blowing whistleblower administration defence ,thesaurus.topn3,0.0159,whistle blower department defense  blare hiss  blowhard blusterer  administration agency  aegis armor ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.0126,"{'of': 2, 'depart': 2, 'blower': 2, 'whistl': 2, 'defens': 2, 'whistleblow': 1.645, 'northrop': 1.548, 'fitzgerald': 1.516, 'decis': 1.419, 'fals': 1.387, 'pfaelzer': 1.258, 'glazer': 1.226, 'pentagonist': 1.161, 'penina': 1.097} ",tagmee.topn3.replace,0.0119,Whistleblower United States Department of Defense ,stem.paicehusk,0.0066,whistl blow depart of defens ,termluster.topn5.3.qld,0.0062,whistle blower department defense said new govern depart govern said whistl said new ,wiki.topn3,0.0051,whistle blower department defense grounds for termination of employment insider trading conflict of interest Whistleblower nuclear weapons infrastructure of the united states military industrial complex government agencies established in      United States Department of Defense ,word2vec.topn3.replace,0.0047,swanee whistle blowing dept defence ,onfields.topn3.10.4.0.25.qld,0.0041,"{'of': 2, 'depart': 2, 'blower': 2, 'whistl': 2, 'fraud': 2.0, 'defens': 2, 'suit': 1.903, 'lockhe': 1.806, 'whistleblow': 1.774, 'fals': 1.613, 'paducah': 1.581, 'billion': 1.548, 'grassley': 1.452, 'extens': 1.258, 'bartleman': 1.129} ",anchor.topn3.replace,0.0039,whistle blowers   journalist  car siegel coop mayotte presid nano fifth gener defense ,wordnet.topn3,0.0032,whistle blower department defense tin whistle sing cetacean electric fan section defending team United States Department of Defense defensive structure ,,,,,,
730,Gastric bypass complications ,0.4788,7,docluster.topn10.3.qld,0.5279,gastric bypass complications you weight surgeri ,onfields.topn3.10.4.0.25.qld,0.5048,"{'complic': 2, 'weight': 2.0, 'bypass': 2, 'gastric': 2, 'stomach': 1.557, 'pouch': 1.228, 'exercis': 1.177, 'surgeri': 1.177, 'selfselect': 1.165, '2vs1': 1.139, '95ci': 1.101, 'rouxeni': 1.0} ",rm3.topn10.10.0.5.qld,0.5032,complic patient stomach procedur weight bypass gastric loss surgeri obes ,tagmee.topn3,0.5001,gastric bypass complications Gastric bypass surgery Complication  medicine ,conceptluster.topn5.3.qld,0.5001,gastric bypass complications gastric bypass surgery complication medicine ,termluster.topn5.3.qld,0.4969,gastric bypass complications bypass complic obes complic gastric obes weight veri surgeri ,relevancefeedback.topn10.qld,0.4938,gastric bypass complications you   surgeri obes weight oper ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Kurds history ,0.2019,11,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.3587,"{'histori': 2, 'kurd': 2, 'will': 1.394, 'kurdish': 1.321, 'kurdistan': 1.292, 'husayn': 1.146, 'traitor': 1.088, 'selfrul': 1.08, 'mikhaylov': 1.066, 'kadyr': 1.066, 'struggler': 1.036, 'typecso': 1.022} ",word2vec.topn3,0.3284,kurds history kurdish history ,glove.topn3,0.3169,kurds history kurdish sunnis historical ever ,bertqe.topn10.qld,0.2883,"{'Kurds history': 1.5, ' hrefsearchdkurds  iraq  history  20thcenturydkurdsiraqhistory20thcentury5  10  bframeset  ffdkurdshistory  11   kurds history  a    strong ': 1.0, 'hrefsearchdkurds  iran  history  20thcenturydkurdsiranhistory20thcentury5  10  bbrowse  kurds  iran  history': 0.0, ' hrefsearchdkurds  middleeast  juvenileliteraturedkurdsmiddleeastjuvenileliterature5  10  bframeset  ffdkurdsturkeyhistory20thcentury  11   kurds turkey history 20th': 0.0, ' hrefsearchdkurds  iraq  history  20thcenturydkurdsiraqhistory20thcentury5  10  bframeset  ffdkurdsiraqdrama  11   kurds iraq drama  a  ': 0.0, 'hrefsearchdkurds  turkey  history  20thcenturydkurdsturkeyhistory20thcentury5  10  bbrowse  kurds  turkey  history': 0.0} ",stem.paicehusk,0.2829,kurd hist ,stem.trunc4,0.2829,kurd hist ,conceptnet.topn3.replace,0.2778,kurds past subject school ,sensedisambiguation,0.2694,Kurds kurd history ,stem.lovins,0.2524,kurd histor ,anchor.topn3.replace,0.227,kurds recuyel seeg théodrat ,conceptnet.topn3,0.2147,kurds history past subject school ,,,,,,,,,,,,,,,,,,,,,
732,U S  cheese production ,0.1218,7,glove.topn3,0.2116,u s  cheese production us u s cheddar producing produced ,bertqe.topn10.qld,0.1996,"{'US cheese production': 1.5, 'cheddar cheese production  85 percent': 1.0, 'total cheese  87': 0.6306242638398115, 'cheese produced': 0.5246171967020025, '450000 kilograms cheese': 0.405889281507656, 'production major dairy': 0.3672555948174323} ",word2vec.topn3,0.1793,u s  cheese production usa u s american cheddar producing ,glove.topn3.replace,0.1623,us u s cheddar producing produced ,relevancefeedback.topn10.qld,0.1366,u s  cheese production cooper milk u  import dairi chees ,docluster.topn10.3.qld,0.1247,u s  cheese production u  dairi ,word2vec.topn3.replace,0.1222,usa u s american cheddar producing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Airline overbooking ,0.3181,7,termluster.topn5.3.qld,0.4226,airline overbooking ticket overbook flight ticket flight airlin ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.3979,"{'airlin': 2, 'overbook': 2, 'bump': 1.405, 'noshow': 1.214, 'there': 1.167, 'compens': 1.143, 'brobeck': 1.143, 'isnt': 1.071, 'schimizu': 1.048, 'fullfar': 1.048, 'deniedboard': 1.048} ",tagmee.topn3,0.3614,airline overbooking Airline Overselling ,relevancefeedback.topn10.qld,0.3545,airline overbooking airlin consum you ,docluster.topn10.3.qld,0.3545,airline overbooking airlin consum you ,onfields.topn3.10.4.0.25.qld,0.3459,"{'overbook': 2, 'airlin': 2, 'image130': 1.56, 'flight': 1.4, 'wesson': 1.22, 'travel': 1.2, 'oig': 1.2, 'var': 1.2, 'compens': 1.12, 'fare': 1.1, 'purchas': 1.08} ",conceptluster.topn5.3.qld,0.3387,airline overbooking overselling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Recycling successes ,0.2444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Afghan women condition ,0.2162,2,onfields.topn3.10.4.0.25.qld,0.2912,"{'condit': 2, 'women': 2, 'afghan': 2, 'afghanistan': 1.441, 'refuge': 1.13, 'ngo': 1.109, 'taliban': 1.083, 'kabul': 1.062, 'loya': 1.045, 'jirga': 1.045, 'usafghan': 1.022, 'ministri': 1.022} ",wiki.topn3,0.257,afghan women condition states and territories established in      territories under military occupation education in afghanistan Afghanistan women in afghanistan afghan peacjirga      afghan presidential election       Women s rights in Afghanistan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,location BSE infections ,0.6107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Enron California energy crisis ,0.5639,1,onfields.topn3.10.4.0.25.qld,0.6249,"{'crisi': 2, 'california': 2, 'energi': 2, 'enron': 2, 'market': 1.812, 'z': 1.718, 'electr': 1.718, 'manipul': 1.388, 'ferc': 1.341, '5464996': 1.059, 'wwwcitizenorg': 1.059} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Anthrax hoaxes ,0.4628,4,docluster.topn10.3.qld,0.5794,anthrax hoaxes hoax ,termluster.topn5.3.qld,0.5008,anthrax hoaxes emerg feder hoax year would threat ,relevancefeedback.topn10.qld,0.4767,anthrax hoaxes hoax u  i we ,onfields.topn3.10.4.0.25.qld,0.4766,"{'anthrax': 2, 'hoax': 2, 'terrorist': 1.686, 'schumer': 1.667, 'fbi': 1.373, 'respons': 1.294, 'fals': 1.275, 'prank': 1.255, 'releas': 1.235, 'anthraxrel': 1.196, 'powderi': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Habitat for Humanity ,0.1352,1,termluster.topn5.3.qld,0.187,habitat humanity human build hous hous habitat build ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,regulate assisted living Maryland ,0.2306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Artificial Intelligence ,0.0925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,hedge funds fraud protection ,0.3668,4,tagmee.topn3,0.4163,hedge funds fraud protection Hedge fund Fraud Security  finance ,conceptluster.topn5.3.qld,0.4163,hedge funds fraud protection security finance fraud hedge fund ,stem.trunc5,0.4062,hedge funds fraud prote ,tagmee.topn3.replace,0.3877,Hedge fund Fraud Security  finance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Freighter ship registration ,0.0344,7,conceptluster.topn5.3.qld,0.0943,freighter ship registration ship registration cargo ship ,tagmee.topn3,0.0857,freighter ship registration Cargo ship Cargo ship Ship registration ,glove.topn3,0.0695,freighter ship registration ship vessel voter identification ,termluster.topn5.3.qld,0.0671,freighter ship registration vessel ,word2vec.topn3,0.066,freighter ship registration cargo tanker vessel warship registering ,stem.lovins,0.0476,freighter ship register ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.0443,"{'registr': 2, 'freighter': 2, 'ship': 2, 'vessel': 1.454, 'bareboat': 1.147, 'emigr': 1.13, 'shipown': 1.106, 'smuggl': 1.075, 'fuzhou': 1.058, 'deregistr': 1.055, 'chines': 1.048, 'provis': 1.044} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Counterfeit ID punishments ,0.0112,4,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.1143,"{'punish': 2, 'id': 2, 'counterfeit': 2, 'in': 2.0, 'alien': 1.092, 'fake': 1.076, 'moynihan': 1.05, 'subcommitte': 1.034, 'enoff': 1.017, 'moschorak': 1.017, 'tamperproof': 1.017, 'employmentauthor': 1.008, 'angelesbas': 1.008} ",glove.topn3,0.0726,counterfeit id punishments fake identification meted ,glove.topn3.replace,0.0177,fake identification meted ,wordnet.topn3,0.0136,counterfeit id punishments forge fake I D  Gem State Idaho penalisation penalty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Doomsday cults ,0.5006,3,thesaurus.topn3,0.5852,doomsday cults  Judgment Day Last Day  band church ,wiki.topn3,0.5083,doomsday cults unification church neologisms mind control messiah complex Doomsday cult ,tagmee.topn3,0.5013,doomsday cults Doomsday cult ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Outsource job India ,0.4051,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Library computer oversight ,0.0905,3,tagmee.topn3,0.1173,library computer oversight Library Computer Regulation ,docluster.topn10.3.qld,0.1168,library computer oversight librari comput cost ,relevancefeedback.topn10.qld,0.1037,library computer oversight librari comput cost h ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Nuclear reactor types ,0.1736,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Puerto Rico state ,0.2068,4,glove.topn3,0.344,puerto rico state rico rican puerto pwehr federal ,bertqe.topn10.qld,0.2984,"{'Puerto Rico state': 1.5, 'state puerto rico': 1.0, 'republic puerto rico': 0.631578947368421, 'government puerto rico ': 0.31578947368421045, 'commonwealth puerto rico': 0.31578947368421045, 'commonwealth puerto rico ': 0.15789473684210523} ",glove.topn3.replace,0.2767,rico rican puerto pwehr federal ,word2vec.topn3,0.2207,puerto rico state rican rico ricans puerto ricans rican federal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,John Edwards womens issues ,0.0342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Scrabble Players ,0.3715,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Dam removal ,0.5107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,bullying prevention programs ,0.3263,2,rm3.topn10.10.0.5.qld,0.3934,school student program victim behavior children violenc bulli youth prevent risk ,onfields.topn3.10.4.0.25.qld,0.3919,"{'program': 2, 'prevent': 2, 'school': 2.0, 'bulli': 2, 'student': 1.469, 'behavior': 1.268, 'teacher': 1.237, 'violenc': 1.215, 'victim': 1.206, 'olweu': 1.113, 'antibulli': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,domestic adoption laws ,0.0812,5,rm3.topn10.10.0.5.qld,0.1066,parent entiti famili except children protect domest child esign law adopt ,docluster.topn10.3.qld,0.1066,domestic adoption laws law adopt ,onfields.topn3.10.4.0.25.qld,0.0869,"{'law': 2, 'domest': 2, 'adopt': 2, 'child': 1.81, 'convers': 1.3, 'famili': 1.203, 'provis': 1.174, 'dpc': 1.152, 'esign': 1.097, 'sec99': 1.052, 'pl1782002': 1.052, 'entiti': 1.0} ",tagmee.topn3,0.0828,domestic adoption laws Adoption Affinity  law ,conceptluster.topn5.3.qld,0.0828,domestic adoption laws affinity law adoption ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Scottish Highland Games ,0.4832,2,tagmee.topn3,0.5001,scottish highland games Scottish people Highland games Highland games ,wiki.topn3,0.4953,scottish highland games scottish people scottish society fife Scottish people highland games angus graham  strongman  ballachulish Highland games highland games angus graham  strongman  ballachulish Highland games ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Volcanic Activity ,0.3124,1,relevancefeedback.topn10.qld,0.3918,volcanic activity volcano lake volcan erupt activ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Murals ,0.2122,2,docluster.topn10.3.qld,0.2143,murals mural your ,sensedisambiguation,0.2123,Murals mural ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Embryonic stem cells ,0.6639,1,tagmee.topn3,0.664,embryonic stem cells Embryonic stem cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,civil war battle reenactments ,0.2141,1,word2vec.topn3,0.2415,civil war battle reenactments rights era civl conflict skirmish re enactments re enactment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,american muslim mosques schools ,0.3034,6,stem.krovetz,0.3462,america muslim mosque school ,wiki.topn3,0.3455,american muslim mosques schools american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,wiki.topn3.replace,0.3443,american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,tagmee.topn3,0.3285,american muslim mosques schools Americans Islam in the United States Muslim Mosque Madhhab ,conceptluster.topn5.3.qld,0.3285,american muslim mosques schools muslim islam united states madhhab americans mosque ,tagmee.topn3.replace,0.3049,Americans Islam in the United States Muslim Mosque Madhhab ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Problems of Hmong Immigrants ,0.4918,1,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.4931,"{'immigr': 2, 'of': 2, 'problem': 2, 'hmong': 2, 'abbot': 1.259, 'phra': 1.222, 'antivientian': 1.222, 'chamrun': 1.222, 'krabok': 1.148, 'hilltrib': 1.111, 'pukhao': 1.074, 'chaloem': 1.074, 'phromloet': 1.074, 'greengroceri': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,History of Physicians in America ,0.0138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
