qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
311,Industrial Espionage ,0.5721,3,termluster.topn5.3.qld.rm3,0.6252,industrial espionage inform german espionag inform industri german ,docluster.topn10.3.qld.rm3,0.6151,industrial espionage mr vw ,relevancefeedback.topn10.qld.rm3,0.6013,industrial espionage bnd compani vw mr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics ,0.9329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation Maglev ,0.8195,4,docluster.topn10.3.qld.rm3,0.8441,magnetic levitation maglev la said ,conceptnet.topn3,0.8269,magnetic levitation maglev attractable ,thesaurus.topn3,0.8221,magnetic levitation maglev  hypnotic irresistible ,wordnet.topn3,0.8208,magnetic levitation maglev magnetised charismatic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation ,0.0014,6,tagmee.topn3,0.0599,marine vegetation Ocean Vegetation ,conceptluster.topn5.3.qld.rm3,0.054000000000000006,marine vegetation ocean ,wiki.topn3,0.0437,marine vegetation ocean current seabed continental shelf Ocean ecosystem biome biomes Vegetation ,conceptnet.topn3,0.0024,marine vegetation suboceanic plant ,wordnet.topn3,0.0019,marine vegetation shipboard soldier nautical leatherneck flora botany ,thesaurus.topn3,0.0016,marine vegetation  aquatic coastal  flora greenery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Unexplained Highway Accidents ,0.0259,2,sensedisambiguation,0.0266,Unexplained Highway Accidents accident ,glove.topn3,0.0265,unexplained highway accidents inexplicable road fatalities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny ,0.5517,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Unsolicited Faxes ,0.524,1,sensedisambiguation,0.5982,Unsolicited unasked Faxes facsimile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country ,0.002,3,glove.topn3,0.0052,best retirement country well better nation already ,sensedisambiguation,0.0036,Best Retirement Country state ,glove.topn3.replace,0.0021,well better retirement nation already ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources ,0.2846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable ,0.0435,7,thesaurus.topn3.replace,0.0954,undersea  grain thread  ocular optical  cord link ,word2vec.topn3,0.0679,undersea fiber optic cable deep sea underwater fibre cable TV ,anchor.topn3,0.067,undersea fiber optic cable uuv  samayamaayi adventure queu fibr       cable   nowiki  disappearing fila itmo   spbsu ,wordnet.topn3.replace,0.0646,submarine fibre vulcanized fiber roughage opthalmic oculus overseas telegram cable system cablegram ,conceptnet.topn3,0.0457,undersea fiber optic cable cotton wool eye ocular ,sensedisambiguation,0.045,Undersea submarine Fiber roughage Optic eye Cable cable television ,conceptnet.topn3.replace,0.0442,undersea cotton wool eye ocular cable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Women in Parliaments ,0.1548,1,termluster.topn5.3.qld.rm3,0.2609,women parliaments parliament polit elect women polit onli ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime ,0.0,15,word2vec.topn3.replace,0.0073,national global domestic artwork artworks criminality ,sensedisambiguation.replace,0.0047,international artwork crime ,word2vec.topn3,0.0046,international art crime national global domestic artwork artworks criminality ,sensedisambiguation,0.0043,International Art artwork Crime ,tagmee.topn3,0.0022,international art crime Art and Crime ,conceptnet.topn3,0.0022,international art crime supranational painting paint paintings ,conceptluster.topn5.3.qld.rm3,0.0022,international art crime art crime ,tagmee.topn3.replace,0.0016,Art and Crime ,conceptnet.topn3.replace,0.0012,supranational painting paint paintings crime ,glove.topn3,0.001,international art crime global which museum criminal ,wiki.topn3,0.001,international art crime lsuicidé maya with doll les raboteurs dparquet Art and Crime ,wiki.topn3.replace,0.0007,lsuicidé maya with doll les raboteurs dparquet Art and Crime ,anchor.topn3,0.0006,international art crime  confédérat föderat kanusport art copyright ibuir auroracetu anti corruption  anti econom drug ,glove.topn3.replace,0.0005,global which museum criminal ,stem.trunc5,0.0003,inter art crime ,,,,,,,,,,,,,,,
323,Literary Journalistic Plagiarism ,0.1085,5,stem.lovins,0.3879,liter   journ plagiar ,tagmee.topn3,0.3272,literary journalistic plagiarism Literature Journalism Plagiarism ,tagmee.topn3.replace,0.32299999999999995,Literature Journalism Plagiarism ,glove.topn3,0.2081,literary journalistic plagiarism dishonesty cheating ,wiki.topn3,0.1242,literary journalistic plagiarism literature history humanities Literature editing columnist journalists Journalism intellectual works sarcasm hypocrisy Plagiarism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine British Relations ,0.3901,15,stem.krovetz,0.6031,argentina   britain relations ,wordnet.topn3,0.5426,argentine british relations sex act coition relative ,glove.topn3.replace,0.535,argentine british ties relationship ,word2vec.topn3.replace,0.5121,argentine british relationships ,thesaurus.topn3,0.5029,argentine british relations   relationship affiliation ,wordnet.topn3.replace,0.4976,argentine british relative dealings copulation ,word2vec.topn3,0.4664,argentine british relations relationships ,wiki.topn3,0.4593,argentine british relations Argentina United Kingdom relations ,tagmee.topn3,0.4593,argentine british relations Argentina United Kingdom relations ,conceptluster.topn5.3.qld.rm3,0.4593,argentine british relations argentina united kingdom relations ,wiki.topn3.replace,0.4544,Argentina United Kingdom relations ,tagmee.topn3.replace,0.4544,Argentina United Kingdom relations ,glove.topn3,0.43799999999999994,argentine british relations ties relationship ,relevancefeedback.topn10.qld.rm3,0.4145,argentine british relations di meet argentina communiqu oil mine we ,thesaurus.topn3.replace,0.3931,argentine british  relationship affiliation ,,,,,,,,,,,,,,,
325,Cult Lifestyles ,0.1329,6,wordnet.topn3,0.2196,cult lifestyles craze rage religious cult modus vivendi life style ,anchor.topn3,0.1842,cult lifestyles genestealer reproduct   cult   tsumbubura ,wiki.topn3.replace,0.1669,cults anti cult terms and concepts occult Cult lifestyle lifestylmagazine travel Lifestyle  sociology ,stem.trunc4,0.1599,cult life ,stem.trunc5,0.1599,cult lifes ,wiki.topn3,0.1466,cult lifestyles cults anti cult terms and concepts occult Cult lifestyle lifestylmagazine travel Lifestyle  sociology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings ,0.6799,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery ,0.0731,6,thesaurus.topn3,0.496,modern slavery  contemporary current  bondage captivity ,wordnet.topn3,0.2576,modern slavery New Bodoni thrall bondage slaveholding ,tagmee.topn3,0.1147,modern slavery Slavery Slavery in the United States ,conceptluster.topn5.3.qld.rm3,0.1127,modern slavery slavery united states ,conceptnet.topn3.replace,0.0982,new slavery ,anchor.topn3.replace,0.0961,burdah jardot  originalité  slavery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications ,0.5911,1,sensedisambiguation,0.5921,Pope Beatifications beatification ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution ,0.0794,6,word2vec.topn3,0.17600000000000002,mexican air pollution mexico air  water ,docluster.topn10.3.qld.rm3,0.1564,mexican air pollution mexico citi pollut ,glove.topn3,0.1393,mexican air pollution mexico force flying environmental ,stem.krovetz,0.1126,mexico air pollution ,glove.topn3.replace,0.1097,mexico force flying environmental ,word2vec.topn3.replace,0.0926,mexico air  water pollution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Iran Iraq Cooperation ,0.1284,4,anchor.topn3,0.1894,iran iraq cooperation iran iraq iran iraq  eritrean ethiopian ,stem.trunc4,0.1696,iran   iraq coop ,stem.trunc5,0.1696,iran   iraq coope ,anchor.topn3.replace,0.1436,iran iraq iran iraq  eritrean ethiopian cooperation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism ,0.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion ,0.0103,5,wiki.topn3,0.2412,income tax evasion bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,tagmee.topn3.replace,0.0686,Tax evasion Tax evasion ,tagmee.topn3,0.0677,income tax evasion Tax evasion Tax evasion ,conceptluster.topn5.3.qld.rm3,0.0473,income tax evasion tax evasion ,wiki.topn3.replace,0.0403,bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease ,0.3327,10,stem.lovins,0.3871,antibiot bacter diseas ,stem.paicehusk,0.3871,antibiot bacter diseas ,stem.porter,0.3733,antibiot bacteria diseas ,stem.porter2,0.3733,antibiot bacteria diseas ,wiki.topn3,0.3669,antibiotics bacteria disease bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,sensedisambiguation,0.3601,Antibiotics antibiotic Bacteria Disease ,termluster.topn5.3.qld.rm3,0.3552,antibiotics bacteria disease year peopl new antibiot caus diseas year peopl new ,docluster.topn10.3.qld.rm3,0.3531,antibiotics bacteria disease strep infect tb diseas plagu ,tagmee.topn3.replace,0.3398,Antibiotics Bacteria Infection ,tagmee.topn3,0.3392,antibiotics bacteria disease Antibiotics Bacteria Infection ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography ,0.0566,10,word2vec.topn3.replace,0.2066,import controls encryption cryptographic cryptology ,word2vec.topn3,0.1809,export controls cryptography import encryption cryptographic cryptology ,glove.topn3,0.1228,export controls cryptography import cryptographic public key ,tagmee.topn3,0.1125,export controls cryptography Cryptography ,tagmee.topn3.replace,0.1116,Cryptography ,sensedisambiguation.replace,0.1111,export restraint cryptography ,wordnet.topn3,0.06,export controls cryptography see assure hold cryptology cryptanalysis steganography ,wiki.topn3,0.0598,export controls cryptography outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,stem.lovins,0.0567,export control cryptograph ,stem.paicehusk,0.0567,export control cryptograph ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents ,0.5022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks ,0.1014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis ,0.3284,1,thesaurus.topn3.replace,0.3457,aggressive energetic hepatitis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin ,0.505,2,wiki.topn3,0.5074,risk aspirin risk assessment optimism bias risk management Risk antiplatelet drugs salicylates nausea Aspirin ,termluster.topn5.3.qld.rm3,0.5051,risk aspirin prevent ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer s Drug Treatment ,0.1555,1,stem.paicehusk,0.2048,alzheim   s drug tre ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban ,0.0291,1,wiki.topn3,0.0833,land mine ban small arms friendly fire booby trap Land mine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Airport Security ,0.1457,2,docluster.topn10.3.qld.rm3,0.2667,airport security secur ,sensedisambiguation,0.242,Airport Security security system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion ,0.2786,2,termluster.topn5.3.qld.rm3,0.2994,diplomatic expulsion soviet said order soviet said order ,sensedisambiguation,0.2965,Diplomatic Expulsion extrusion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths ,0.0116,7,word2vec.topn3.replace,0.0329,cops policemen fatalities killings ,word2vec.topn3,0.0259,police deaths cops policemen fatalities killings ,glove.topn3,0.0219,police deaths officers policemen fatalities ,glove.topn3.replace,0.0186,officers policemen fatalities ,sensedisambiguation,0.0138,Police Deaths end ,termluster.topn5.3.qld.rm3,0.0124,police deaths year said offic year said polic ,wordnet.topn3,0.0121,police deaths law patrol decease dying ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Abuses of E Mail ,0.198,7,stem.lovins,0.2763,abus of e   mail ,stem.paicehusk,0.2763,abus of e   mail ,stem.porter,0.2763,abus of e   mail ,stem.porter2,0.2763,abus of e   mail ,stem.trunc4,0.2763,abus of e   mail ,sensedisambiguation,0.2748,Abuses misuse of E Mail electronic mail ,wordnet.topn3,0.2563,abuses e mail vilification ill treatment maltreat electronic mail netmail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales ,0.163,4,sensedisambiguation,0.1953,Overseas oversea Tobacco Sales sale ,glove.topn3.replace,0.1941,abroad elsewhere cigarette cigarettes retail selling ,docluster.topn10.3.qld.rm3,0.1811,overseas tobacco sales dollar ,glove.topn3,0.1737,overseas tobacco sales abroad elsewhere cigarette cigarettes retail selling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Educational Standards ,0.075,2,relevancefeedback.topn10.qld.rm3,0.1063,educational standards school educ nation test ,word2vec.topn3,0.0859,educational standards instructional standards ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction ,0.1872,2,conceptnet.topn3.replace,0.2486,wildlife inaction ,wordnet.topn3,0.2008,wildlife extinction defunctness extinguishing extermination ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Agoraphobia ,0.9267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism ,0.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals ,0.0513,3,relevancefeedback.topn10.qld.rm3,0.0709,health and computer terminals problem comput citi campu newsdai central monitor offic ,tagmee.topn3,0.055999999999999994,health computer terminals Health  gaming  Computer terminal ,conceptluster.topn5.3.qld.rm3,0.055999999999999994,health computer terminals computer terminal health gaming ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration ,0.5902,10,wiki.topn3.replace,0.6729999999999999,falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,termluster.topn5.3.qld.rm3,0.6679,falkland petroleum exploration argentina island oil ,wiki.topn3,0.6674,falkland petroleum exploration falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,relevancefeedback.topn10.qld.rm3,0.6515,falkland petroleum exploration oil ga argentina island ,tagmee.topn3.replace,0.6438,Falkland Islands Petroleum Hydrocarbon exploration ,docluster.topn10.3.qld.rm3,0.6407,falkland petroleum exploration oil argentina ,conceptnet.topn3.replace,0.6303,falkland sound falkland islander falkland islands oil rock oil exploration ,tagmee.topn3,0.6199,falkland petroleum exploration Falkland Islands Petroleum Hydrocarbon exploration ,conceptluster.topn5.3.qld.rm3,0.6199,falkland petroleum exploration falkland islands hydrocarbon exploration petroleum ,anchor.topn3.replace,0.597,okino tori shima dispute post war malvinas falkland shahne   petroleum oil exploration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,British Chunnel impact ,0.3981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Antarctica exploration ,0.2592,15,word2vec.topn3,0.4784,antarctica exploration antarctic antartica antartic exploratory ,glove.topn3,0.4707,antarctica exploration antarctic greenland ,wordnet.topn3,0.3797,antarctica exploration Antarctic continent geographic expedition ,wiki.topn3,0.3744,antarctica exploration antarctica antarctiregion polar regions of the earth Antarctica list of arctic expeditions boothia peninsula wikipedia wikiproject arctic Arctic exploration ,tagmee.topn3.replace,0.3717,Antarctica Arctic exploration ,tagmee.topn3,0.3691,antarctica exploration Antarctica Arctic exploration ,word2vec.topn3.replace,0.3678,antarctic antartica antartic exploratory ,thesaurus.topn3.replace,0.3646,antarctica  analysis examination ,thesaurus.topn3,0.3643,antarctica exploration   analysis examination ,stem.lovins,0.3602,antarctic explor ,wordnet.topn3.replace,0.3437,Antarctic continent geographic expedition ,anchor.topn3,0.2995,antarctica exploration willana anudeorum potyi ,stem.paicehusk,0.2979,antarctic expl ,conceptluster.topn5.3.qld.rm3,0.2914,antarctica exploration arctic exploration ,conceptnet.topn3,0.2861,antarctica exploration ice a continent ,,,,,,,,,,,,,,,
354,journalist risks ,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing ,0.2843,2,anchor.topn3,0.3407,ocean remote sensing biarculu williamcarl marthesiusali ,word2vec.topn3,0.2997,ocean remote sensing sea distant far flung sensors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain ,0.0226,20,word2vec.topn3.replace,0.0838,post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,glove.topn3.replace,0.0768,premenopausal post menopausal progesterone hormone british uk ,word2vec.topn3,0.0734,postmenopausal estrogen britain post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,glove.topn3,0.0633,postmenopausal estrogen britain premenopausal post menopausal progesterone hormone british uk ,wiki.topn3.replace,0.0617,endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,tagmee.topn3.replace,0.0598,Menopause Estrogen ,wiki.topn3,0.0512,postmenopausal estrogen britain endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,tagmee.topn3,0.0473,postmenopausal estrogen britain Menopause Estrogen ,conceptluster.topn5.3.qld.rm3,0.0473,postmenopausal estrogen britain estrogen menopause ,anchor.topn3.replace,0.0348,postmenopausal androgen estrogens  nortestosteron           drywall ,docluster.topn10.3.qld.rm3,0.0348,postmenopausal estrogen britain women cancer bone fractur ,relevancefeedback.topn10.qld.rm3,0.0332,postmenopausal estrogen britain women calcium   medic bone fractur cancer ,anchor.topn3,0.0312,postmenopausal estrogen britain androgen estrogens  nortestosteron           drywall ,stem.porter,0.0308,postmenopaus estrogen britain ,stem.porter2,0.0308,postmenopaus estrogen britain ,thesaurus.topn3,0.0277,postmenopausal estrogen britain    Commonwealth of Nations England ,thesaurus.topn3.replace,0.0267,postmenopausal estrogen  Commonwealth of Nations England ,sensedisambiguation.replace,0.0261,postmenopausal estrogen united kingdom ,termluster.topn5.3.qld.rm3,0.0258,postmenopausal estrogen britain take ,sensedisambiguation,0.0235,postmenopausal estrogen Britain united kingdom 
357,territorial waters dispute ,0.2152,2,relevancefeedback.topn10.qld.rm3,0.2857,territorial waters dispute vietnam law water china corpor area palestinian ,docluster.topn10.3.qld.rm3,0.2636,territorial waters dispute china vietnam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,blood alcohol fatalities ,0.2431,6,thesaurus.topn3.replace,0.3678,blood alcohol  accident casualty ,thesaurus.topn3,0.3133,blood alcohol fatalities   accident casualty ,relevancefeedback.topn10.qld.rm3,0.2951,blood alcohol fatalities drink drunk driver giunta mann said ornela ,wordnet.topn3.replace,0.2909,blood alcohol human death ,tagmee.topn3,0.2602,blood alcohol fatalities Blood alcohol content Death ,conceptluster.topn5.3.qld.rm3,0.2602,blood alcohol fatalities death blood alcohol content ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
