qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17
2799913,What s the proper way to express sorrow at a funeral,0.2071,5,thesaurus.topn3,0.2139, s proper way express sorrow funeral,anchor.topn3,0.2139, s proper way express sorrow funeral,thesaurus.topn3.replace,0.2139, s proper way express sorrow funeral,anchor.topn3.replace,0.2139, s proper way express sorrow funeral,termluster.topn5.3.qld,0.2139, s proper way express sorrow funeral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142044,What do you speculate happened to Natalie Holloway in Aruba,0.6458,2,tagmee.topn3,0.6757,speculate happened natalie holloway aruba Beth Holloway Aruba,sensedisambiguation,0.6487,What do you speculate happened happen to Natalie Holloway in Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707303,How do people get hiccups  what are they  and what exactly is the best way to cure them,0.41700000000000004,8,thesaurus.topn3,0.4435,people get hiccups exactly best way cure,anchor.topn3,0.4435,people get hiccups exactly best way cure,wiki.topn3,0.4435,people get hiccups exactly best way cure,tagmee.topn3,0.4435,people get hiccups exactly best way cure,thesaurus.topn3.replace,0.4435,people get hiccups exactly best way cure,anchor.topn3.replace,0.4435,people get hiccups exactly best way cure,termluster.topn5.3.qld,0.4435,people get hiccups exactly best way cure,conceptluster.topn5.3.qld,0.4435,people get hiccups exactly best way cure,,,,,,,,,,,,,,,,,,,,,,,,,,,
676028,Why do our elected federal senators and congressmen not have to live on regular S S  like the rest of us,0.2694,7,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.3522,"{'us': 2, 'of': 2, 'rest': 2, 'the': 2, 'like': 2, 'ss': 2, 'regular': 2, 'on': 2, 'live': 2, 'to': 2, 'have': 2, 'not': 2, 'and': 2, 'feder': 2, 'our': 2, 'do': 2, 'whi': 2, 'elect': 2, 'congressmen': 2, 'senat': 2, 'id': 1.714, 'vote': 1.571, 'content': 1.429, 'reelect': 1.429, 'repres': 1.429, 'fote': 1.143, 'democraci': 1.0, 'everi': 1.0}",thesaurus.topn3,0.2961,elected federal senators congressmen live regular s s  like rest us,anchor.topn3,0.2961,elected federal senators congressmen live regular s s  like rest us,thesaurus.topn3.replace,0.2961,elected federal senators congressmen live regular s s  like rest us,anchor.topn3.replace,0.2961,elected federal senators congressmen live regular s s  like rest us,termluster.topn5.3.qld,0.2961,elected federal senators congressmen live regular s s  like rest us,stem.porter2,0.2714,whi do our elect feder senat and congressmen not have to live on regular s s like the rest of us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484180,why do people judge a dog by what he looks like,0.0472,5,thesaurus.topn3,0.0779,people judge dog looks like,anchor.topn3,0.0779,people judge dog looks like,thesaurus.topn3.replace,0.0779,people judge dog looks like,anchor.topn3.replace,0.0779,people judge dog looks like,termluster.topn5.3.qld,0.0779,people judge dog looks like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307305,Why do man rape little girls,0.2551,5,thesaurus.topn3,0.2824,man rape little girls,anchor.topn3,0.2824,man rape little girls,thesaurus.topn3.replace,0.2824,man rape little girls,anchor.topn3.replace,0.2824,man rape little girls,termluster.topn5.3.qld,0.2824,man rape little girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814599,what does the word remission mean when referring to cancer patients,0.2871,6,thesaurus.topn3,0.309,word remission mean referring cancer patients,anchor.topn3,0.309,word remission mean referring cancer patients,thesaurus.topn3.replace,0.309,word remission mean referring cancer patients,anchor.topn3.replace,0.309,word remission mean referring cancer patients,termluster.topn5.3.qld,0.309,word remission mean referring cancer patients,stem.krovetz,0.301,what do the word remission mean when refer to cancer patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369088,how can we stop the spread of islam,0.2509,5,thesaurus.topn3,0.3016,stop spread islam,anchor.topn3,0.3016,stop spread islam,thesaurus.topn3.replace,0.3016,stop spread islam,anchor.topn3.replace,0.3016,stop spread islam,termluster.topn5.3.qld,0.3016,stop spread islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702151,How patient a driver are you,0.0626,10,bertqe.topn10.qld,0.0957,"{'How patient a driver are you': 1.5, 'driver improvement clinic': 1.0, 'patient right': 0.4805451728345971, 'good dealing': 0.3807344841928215, 'able handle': 0.3678302322286362, 'come get patient': 0.28435699496784633}",thesaurus.topn3,0.078,patient driver,anchor.topn3,0.078,patient driver,wiki.topn3,0.078,patient driver,tagmee.topn3,0.078,patient driver,thesaurus.topn3.replace,0.078,patient driver,anchor.topn3.replace,0.078,patient driver,termluster.topn5.3.qld,0.078,patient driver,conceptluster.topn5.3.qld,0.078,patient driver,conceptnet.topn3.replace,0.0651,waiting on line driver,,,,,,,,,,,,,,,,,,,,,
851124,How is ego a part of our survival instincts,0.3869,6,thesaurus.topn3,0.4458,ego part survival instincts,anchor.topn3,0.4458,ego part survival instincts,thesaurus.topn3.replace,0.4458,ego part survival instincts,anchor.topn3.replace,0.4458,ego part survival instincts,termluster.topn5.3.qld,0.4458,ego part survival instincts,onfields.topn3.10.2.25.1.qld,0.4171,"{'instincts?': 2, 'our': 2, 'of': 2, 'part': 2, 'a': 2, 'is': 2, 'how': 2, 'ego': 2, 'surviv': 2, 'instinct': 1.7, 'id': 1.5, 'content': 1.3, 'beast': 1.2, 'gang': 1.2, 'conscienc': 1.2, 'despair': 1.2, '14405928': 1.1, '276294814': 1.1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3698636,why do cats headbutt,0.0607,9,thesaurus.topn3,0.0727,cats headbutt,anchor.topn3,0.0727,cats headbutt,tagmee.topn3,0.0727,cats headbutt Headbutt,thesaurus.topn3.replace,0.0727,cats headbutt,anchor.topn3.replace,0.0727,cats headbutt,termluster.topn5.3.qld,0.0727,cats headbutt,conceptluster.topn5.3.qld,0.0727,cats headbutt headbutt,docluster.topn10.3.qld,0.0628,why do cats headbutt  cat,stem.porter2,0.0614,whi do cat headbutt,,,,,,,,,,,,,,,,,,,,,,,,
1844896,How to cook Angus burgers,0.5269,5,thesaurus.topn3,0.5325,cook angus burgers,anchor.topn3,0.5325,cook angus burgers,thesaurus.topn3.replace,0.5325,cook angus burgers,anchor.topn3.replace,0.5325,cook angus burgers,termluster.topn5.3.qld,0.5325,cook angus burgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290758,Why do people ask questions they know,0.0117,11,thesaurus.topn3,0.0286,people ask questions know,anchor.topn3,0.0286,people ask questions know,wiki.topn3,0.0286,people ask questions know,tagmee.topn3,0.0286,people ask questions know,thesaurus.topn3.replace,0.0286,people ask questions know,anchor.topn3.replace,0.0286,people ask questions know,termluster.topn5.3.qld,0.0286,people ask questions know,conceptluster.topn5.3.qld,0.0286,people ask questions know,stem.porter2,0.0213,whi do peopl ask question they know,onfields.topn3.10.2.25.1.qld,0.0153,"{'know?': 2, 'they': 2, 'question': 2, 'peopl': 2, 'do': 2, 'whi': 2, 'god': 2.0, 'ask': 2, 'answer': 1.611, 'good': 1.5, 'theresnogod': 1.426, 'jesu': 1.389, 'religion': 1.389, 'ago': 1.37, 'spiritu': 1.37, 'week': 1.296, 'vote': 1.0}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.0153,"{'know': 2, 'they': 2, 'question': 2, 'peopl': 2, 'do': 2, 'whi': 2, 'god': 2.0, 'ask': 2, 'answer': 1.611, 'good': 1.5, 'theresnogod': 1.426, 'jesu': 1.389, 'religion': 1.389, 'ago': 1.37, 'spiritu': 1.37, 'week': 1.296, 'vote': 1.0}",,,,,,,,,,,,,,,,,,
143833,What is the difference between coolant and anti freeze,0.581,5,thesaurus.topn3,0.5958,difference coolant anti freeze,anchor.topn3,0.5958,difference coolant anti freeze,thesaurus.topn3.replace,0.5958,difference coolant anti freeze,anchor.topn3.replace,0.5958,difference coolant anti freeze,termluster.topn5.3.qld,0.5958,difference coolant anti freeze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910925,Why is yawning contagious,0.6086,2,onfields.topn3.10.2.25.1.qld,0.6534,"{'contagious?': 2, 'is': 2, 'whi': 2, 'yawn': 2, 'brain': 1.47, 'contagi': 1.394, 'activ': 1.364, 'research': 1.303, 'action': 1.197, 'neuron': 1.167, 'caus': 1.152, 'deactiv': 1.091, 'contagion': 1.091, 'periamygdalar': 1.091}",termluster.topn5.3.qld,0.613,yawning contagious person neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643507,why does milk cost more than gas per gallon,0.2884,5,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.4949,"{'than': 2, 'more': 2, 'doe': 2, 'whi': 2, 'cost': 2, 'milk': 2, 'per': 2, 'ga': 2, 'gallon': 2, 'id': 1.407, 'price': 1.148, 'gasolin': 1.148, 'content': 1.111, 'transport': 1.111, 'packag': 1.111}",onfields.topn3.10.2.25.1.qld,0.4432,"{'gallon?': 2, 'than': 2, 'more': 2, 'doe': 2, 'whi': 2, 'cost': 2, 'milk': 2, 'per': 2, 'ga': 2, 'gallon': 1.481, 'id': 1.407, 'price': 1.148, 'gasolin': 1.148, 'content': 1.111, 'transport': 1.111, 'packag': 1.111}",stem.paicehusk,0.2977,why doe milk cost mor than gas per gallon,tagmee.topn3,0.2933,milk cost gas per gallon Milk Gas Gallon,conceptluster.topn5.3.qld,0.2933,milk cost gas per gallon gas gallon milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502604,how do crooks  make  fake   passports,0.1866,8,thesaurus.topn3,0.212,crooks make fake passports,anchor.topn3,0.212,crooks make fake passports,thesaurus.topn3.replace,0.212,crooks make fake passports,anchor.topn3.replace,0.212,crooks make fake passports,termluster.topn5.3.qld,0.212,crooks make fake passports,wiki.topn3,0.1913,crooks make fake passports Make a Fake,tagmee.topn3,0.1913,crooks make fake passports Make a Fake,conceptluster.topn5.3.qld,0.1913,crooks make fake passports make fake,,,,,,,,,,,,,,,,,,,,,,,,,,,
4283542,i have had loose stools for a week   how do i make it stop,0.2683,5,thesaurus.topn3,0.3769,loose stools week     make stop,anchor.topn3,0.3769,loose stools week     make stop,thesaurus.topn3.replace,0.3769,loose stools week make stop,anchor.topn3.replace,0.3769,loose stools week     make stop,termluster.topn5.3.qld,0.3769,loose stools week     make stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554263,why some people behave so rude without reason is it due to their own problem,0.12,5,thesaurus.topn3,0.1745,people behave rude without reason due problem,anchor.topn3,0.1745,people behave rude without reason due problem,thesaurus.topn3.replace,0.1745,people behave rude without reason due problem,anchor.topn3.replace,0.1745,people behave rude without reason due problem,termluster.topn5.3.qld,0.1745,people behave rude without reason due problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313308,how can I enjoy my time alone,0.0557,11,tagmee.topn3,0.1427,enjoy time alone By Time Alone,conceptluster.topn5.3.qld,0.1427,enjoy time alone time alone,thesaurus.topn3,0.1266,enjoy time alone,anchor.topn3,0.1266,enjoy time alone,thesaurus.topn3.replace,0.1266,enjoy time alone,anchor.topn3.replace,0.1266,enjoy time alone,termluster.topn5.3.qld,0.1266,enjoy time alone,word2vec.topn3,0.1008,enjoy time alone moment time  period alone  alone,word2vec.topn3.replace,0.0882,enjoy moment time  period alone  alone,glove.topn3,0.0837,enjoy time alone when   actually else,wiki.topn3,0.0609,enjoy time alone oblivion  orphanagalbum  driven  orphanagalbum  bart smits By Time Alone,,,,,,,,,,,,,,,,,,
4357460,how to make my car faster,0.1331,13,thesaurus.topn3,0.1524,make car faster,anchor.topn3,0.1524,make car faster,wiki.topn3,0.1524,make car faster,tagmee.topn3,0.1524,make car faster,thesaurus.topn3.replace,0.1524,make car faster,anchor.topn3.replace,0.1524,make car faster,termluster.topn5.3.qld,0.1524,make car faster,conceptluster.topn5.3.qld,0.1524,make car faster,onfields.topn3.10.2.25.1.qld,0.1475,"{'faster?': 2, 'my': 2, 'make': 2, 'to': 2, 'how': 2, 'car': 2, 'speed': 2.0, 'go': 1.846, 'faster': 1.769, 'higher': 1.308, 'wors': 1.308, '75': 1.231, 'mileag': 1.231, 'rig': 1.231, '100mph': 1.154, 'racetrack': 1.154}",stem.krovetz,0.1389,how to make my car fast,stem.trunc4,0.1389,how to make my car fast,stem.trunc5,0.1389,how to make my car faste,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.1352,"{'my': 2, 'make': 2, 'to': 2, 'how': 2, 'car': 2, 'speed': 2.0, 'faster': 2, 'go': 1.846, 'higher': 1.308, 'wors': 1.308, '75': 1.231, 'mileag': 1.231, 'rig': 1.231, '100mph': 1.154, 'racetrack': 1.154}",,,,,,,,,,,,
2582920,What is the difference in a dried plum and a dried prune,0.7388,15,onfields.topn3.10.2.25.1.qld,0.8076,"{'prune?': 2, 'and': 2, 'a': 2, 'in': 2, 'differ': 2, 'the': 2, 'is': 2, 'what': 2, 'dri': 2, 'plum': 2, 'prune': 2.0, 'id': 1.294, 'stone': 1.294, 'market': 1.235, 'fruit': 1.235, 'cultivar': 1.235, 'that': 1.176, 'prunu': 1.176, 'subgenu': 1.118}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.8018,"{'and': 2, 'a': 2, 'in': 2, 'differ': 2, 'the': 2, 'is': 2, 'what': 2, 'dri': 2, 'plum': 2, 'prune': 2, 'id': 1.294, 'stone': 1.294, 'market': 1.235, 'fruit': 1.235, 'cultivar': 1.235, 'that': 1.176, 'prunu': 1.176, 'subgenu': 1.118}",tagmee.topn3,0.7761,difference dried plum dried prune Prune Prune,conceptluster.topn5.3.qld,0.7741,difference dried plum dried prune prune,conceptnet.topn3,0.7584,difference dried plum dried prune distinction dehydrated big tree plum,conceptnet.topn3.replace,0.7535,distinction dehydrated big tree plum dried prune,sensedisambiguation.replace,0.7526,What is the remainder in a dried plum and a dry prune,relevancefeedback.topn10.qld,0.7499,what is the difference in a dried plum and a dried prune  prune dri,docluster.topn10.3.qld,0.7499,what is the difference in a dried plum and a dried prune  prune dri,bertqe.topn10.qld,0.7472,"{'What is the difference in a dried plum and a dried prune': 1.5, 'dried plum prune': 1.0, 'plum prune ': 0.8036783450620905, ' dried plum': 0.7971613626929697, 'plum prune': 0.7436582715074818, 'prune  dried prune': 0.6044840921577641}",thesaurus.topn3,0.74,difference dried plum dried prune,anchor.topn3,0.74,difference dried plum dried prune,thesaurus.topn3.replace,0.74,difference dried plum dried prune,anchor.topn3.replace,0.74,difference dried plum dried prune,termluster.topn5.3.qld,0.74,difference dried plum dried prune,,,,,,
4462511,How do i know if my gold fish is pregnant,0.3163,5,thesaurus.topn3,0.3575,know gold fish pregnant,anchor.topn3,0.3575,know gold fish pregnant,thesaurus.topn3.replace,0.3575,know gold fish pregnant,anchor.topn3.replace,0.3575,know gold fish pregnant,termluster.topn5.3.qld,0.3575,know gold fish pregnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795030,Why do people drink Cuervo when it tastes the same going down as coming up,0.2488,5,thesaurus.topn3,0.2808,people drink cuervo tastes going coming,anchor.topn3,0.2808,people drink cuervo tastes going coming,thesaurus.topn3.replace,0.2808,people drink cuervo tastes going coming,anchor.topn3.replace,0.2808,people drink cuervo tastes going coming,termluster.topn5.3.qld,0.2808,people drink cuervo tastes going coming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312215,how good is apple pie when it is cold,0.5773,7,thesaurus.topn3,0.5995,good apple pie cold,anchor.topn3,0.5995,good apple pie cold,thesaurus.topn3.replace,0.5995,good apple pie cold,anchor.topn3.replace,0.5995,good apple pie cold,termluster.topn5.3.qld,0.5995,good apple pie cold,tagmee.topn3,0.5925,good apple pie cold Good Worldwide Apple pie,conceptluster.topn5.3.qld,0.5925,good apple pie cold apple pie good worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363149,Why do Arabs and Mexicans look alike,0.3748,5,thesaurus.topn3,0.3971,arabs mexicans look alike,anchor.topn3,0.3971,arabs mexicans look alike,thesaurus.topn3.replace,0.3971,arabs mexicans look alike,anchor.topn3.replace,0.3971,arabs mexicans look alike,termluster.topn5.3.qld,0.3971,arabs mexicans look alike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944018,Why can t teenagers vote,0.1165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788976,Why did the Bush Admin cover up,0.0158,3,onfields.topn3.10.2.25.1.qld,0.1658,"{'9/11?': 2, 'up': 2, 'cover': 2, 'the': 2, 'did': 2, 'whi': 2, 'id': 2.0, 'admin': 2, 'bush': 2, 'presid': 1.294, 'beast': 1.235, 'gw': 1.235, 'tate': 1.176, 'coleen': 1.176, 'nambla': 1.176, 'httpwwwhappynaturecom': 1.118, 'nigord': 1.118}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.0424,"{'911': 2, 'up': 2, 'cover': 2, 'admin': 2, 'the': 2, 'did': 2, 'whi': 2, 'id': 2.0, 'bush': 2, 'presid': 1.294, 'beast': 1.235, 'gw': 1.235, 'tate': 1.176, 'coleen': 1.176, 'nambla': 1.176, 'grievou': 1.118, 'nigord': 1.118, 'httpwwwhappynaturecom': 1.118}",stem.trunc4,0.0205,why did the bush admi cove up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385316,How do I keep black birds out of my bar b que grill,0.3394,5,thesaurus.topn3,0.3415,keep black birds bar b que grill,anchor.topn3,0.3415,keep black birds bar b que grill,thesaurus.topn3.replace,0.3415,keep black birds bar b que grill,anchor.topn3.replace,0.3415,keep black birds bar b que grill,termluster.topn5.3.qld,0.3415,keep black birds bar b que grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551239,how do i find out if someone left me a life insurance policy,0.3835,2,onfields.topn3.10.2.25.1.qld,0.4702,"{'policy?': 2, 'life': 2, 'a': 2, 'me': 2, 'left': 2, 'someon': 2, 'if': 2, 'out': 2, 'find': 2, 'i': 2, 'do': 2, 'how': 2, 'insur': 2, 'year': 1.688, 'that': 1.625, 'claim': 1.562, 'period': 1.375, 'date': 1.375, 'polici': 1.375, 'retroact': 1.188, 'compani': 1.188, 'repres': 1.125, 'disabl': 1.062}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,0.4017,"{'life': 2, 'a': 2, 'me': 2, 'left': 2, 'someon': 2, 'if': 2, 'out': 2, 'find': 2, 'i': 2, 'do': 2, 'how': 2, 'insur': 2, 'polici': 2, 'year': 1.688, 'that': 1.625, 'claim': 1.562, 'period': 1.375, 'date': 1.375, 'retroact': 1.188, 'compani': 1.188, 'repres': 1.125, 'disabl': 1.062}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
