qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
INEX_LD-20120231,guitar origin Russia,0.0511,8,tagmee.topn3.replace,0.2464,Guitar Russia,conceptnet.topn3,0.2387,guitar origin russia string instrument chord a country,wiki.topn3,0.217,guitar origin russia spanish musical instruments guitars bass guitar Guitar north asian countries russia member states of the commonwealth of independent states Russia,glove.topn3,0.1817,guitar origin russia bass russian ukraine,conceptluster.topn5.3.qld,0.1765,guitar origin russia guitar,wiki.topn3.replace,0.1467,spanish musical instruments guitars bass guitar Guitar north asian countries russia member states of the commonwealth of independent states Russia,tagmee.topn3,0.1406,guitar origin russia Guitar Russia,bertqe.topn10.qld,0.1172,"{'guitar origin Russia': 1.5, 'instrument origin russia electric guitar': 1.0, 'guitarists italian emigrants russia': 0.6666666666666667, 'origins music russia stylistic': 0.4666666666666667, 'saint petersburg guitar': 0.33333333333333337, 'origin siberia guitar pro norwegian': 0.33333333333333337}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120232,guitar origin blues,0.1955,4,relevancefeedback.topn10.qld,0.2454,guitar origin blues blue,docluster.topn10.3.qld,0.2454,guitar origin blues blue,wiki.topn3,0.2101,guitar origin blues spanish musical instruments guitars bass guitar Guitar west    records ken music jonny king Origin Records blues styles blues rhythm and blues Blues,onfields.topn3.10.1.1.qld,0.1957,"{'origin': 2, 'guitar': 2, 'blue': 2, 'delta': 1.327, 'mississippi': 1.194, 'instrument': 1.19, 'style': 1.175, 'orlean': 1.142, 'stylist': 1.104, 'tennesse': 1.033, '0000e1': 1.028, 'stylestexa': 1.024}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120311,tango culture movies,0.0976,7,tagmee.topn3.replace,0.3155,Tango Culture Film,tagmee.topn3,0.2494,tango culture movies Tango Culture Film,conceptluster.topn5.3.qld,0.2494,tango culture movies film tango culture,bertqe.topn10.qld,0.151,"{'tango culture movies': 1.5, 'tango tango films argentine films': 1.0, 'films tango films argentine films': 0.7777777777777777, 'tango films director arne birkenstock': 0.7777777777777777, 'musical films tango films argentine': 0.6666666666666666, '1996 film tango 1998 film': 0.4444444444444444}",docluster.topn10.3.qld,0.1359,tango culture movies film,termluster.topn5.3.qld,0.1359,tango culture movies film,glove.topn3,0.1239,tango culture movies flamenco dancing films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120312,tango culture countries,0.345,4,tagmee.topn3,0.3734,tango culture countries Tango music Culture Nation,conceptluster.topn5.3.qld,0.3734,tango culture countries nation culture tango music,onfields.topn3.10.1.1.qld,0.3723,"{'countri': 2, 'cultur': 2, 'tango': 2, 'danc': 1.247, 'argentina': 1.143, 'bueno': 1.116, 'subgenr': 1.093, 'stylist': 1.077, 'leopoldo': 1.058, 'milonga': 1.046, 'goodby': 1.042, 'rioplatens': 1.035, 'neotango': 1.031}",tagmee.topn3.replace,0.3609,Tango music Culture Nation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120321,tango music  composers,0.294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120322,tango music instruments,0.312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120331,tango dance styles,0.621,2,conceptluster.topn5.3.qld,0.7509999999999999,tango dance styles tango,tagmee.topn3,0.7469,tango dance styles Tango Tango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120332,tango dance history,0.353,3,tagmee.topn3.replace,0.4755,Tango Tango History of dance,bertqe.topn10.qld,0.4521,"{'tango dance history': 1.5, 'tango history dance tango': 1.0, 'dance history tango': 0.75, 'history tango history': 0.5, 'argentine tango history dance': 0.5, 'tango au01jpg history': 0.0}",tagmee.topn3,0.4505,tango dance history Tango Tango History of dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120411,bicycle sport races,0.2746,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120412,bicycle sport disciplines,0.1915,5,word2vec.topn3,0.3185,bicycle sport disciplines bike football sub disciplines,glove.topn3,0.3168,bicycle sport disciplines bike aforementioned namely,sensedisambiguation,0.2711,bicycle sport disciplines discipline,tagmee.topn3,0.249,bicycle sport disciplines Bicycle Sport Olympic sports,conceptluster.topn5.3.qld,0.249,bicycle sport disciplines bicycle sport olympic sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120421,bicycle holiday towns,0.0304,5,word2vec.topn3,0.1263,bicycle holiday towns bike vacation busman cities villages,glove.topn3,0.0737,bicycle holiday towns bike christmas villages cities,tagmee.topn3,0.048,bicycle holiday towns Bicycle Vacation,conceptluster.topn5.3.qld,0.048,bicycle holiday towns bicycle vacation,docluster.topn10.3.qld,0.0345,bicycle holiday towns event work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120422,bicycle holiday nature,0.0424,6,wiki.topn3,0.0869,bicycle holiday nature bicycles cycle types road cycles Bicycle harvest festival christmas tree new year Holiday nature life biosphere Nature,bertqe.topn10.qld,0.0814,"{'bicycle holiday nature': 1.5, 'river energy bicycle festival nature': 1.0, 'bicycle races menomonie wisconsin nature': 0.6666666666666666, 'energy bicycle festival nature valley': 0.5333333333333332, 'nature valley bicycle': 0.5333333333333332, 'cycling holidays bike touring multipleday': 0.4666666666666666}",wiki.topn3.replace,0.077,bicycles cycle types road cycles Bicycle harvest festival christmas tree new year Holiday nature life biosphere Nature,onfields.topn3.10.1.1.qld,0.0596,"{'natur': 2, 'holiday': 2, 'cycl': 2.0, 'bicycl': 2, 'tour': 1.468, 'festiv': 1.269, 'minnesota': 1.179, 'releas': 1.109, 'rbhiphop': 1.06, 'cyclotour': 1.03, 'naughti': 1.0}",relevancefeedback.topn10.qld,0.0484,bicycle holiday nature tour singl festiv rider twfk event cycl work chanc bicycl,sensedisambiguation.replace,0.0428,bicycle vacation nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120431,bicycle benefits health,0.0556,4,wordnet.topn3,0.2546,bicycle benefits health cycle pedal wheel gain welfare profit wellness,rm3.topn10.10.0.5.qld,0.0714,benefit houston helmet team health bike bicycl cyclist cycl insur race,termluster.topn5.3.qld,0.0714,bicycle benefits health health bicycl,conceptluster.topn5.3.qld,0.0714,bicycle benefits health health bicycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120432,bicycle benefits environment,0.2936,1,termluster.topn5.3.qld,0.4363,bicycle benefits environment cycl benefit cycl bicycl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120511,female rock singers,0.3734,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120512,south korean girl groups,0.6162,5,stem.krovetz,0.6504,south korea girl group,stem.trunc5,0.6504,south korea girl group,tagmee.topn3,0.6443,south korean girl groups Koreans Girl group,conceptluster.topn5.3.qld,0.6443,south korean girl groups girl group koreans,tagmee.topn3.replace,0.6302,Koreans Girl group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120521,electronic music genres,0.2803,6,rm3.topn10.10.0.5.qld,0.4201,stylist electron danc hous music instrument origin techno genr ambient festiv,word2vec.topn3,0.3786,electronic music genres non electronic electonic music  subgenres sub genres,tagmee.topn3.replace,0.3051,Electronic music Music genre,sensedisambiguation.replace,0.3051,electronic music music genre,tagmee.topn3,0.2996,electronic music genres Electronic music Music genre,conceptluster.topn5.3.qld,0.2996,electronic music genres music genre electronic music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120522,digital music notation formats,0.3634,4,termluster.topn5.3.qld,0.5116,digital music notation formats notat music format format notat digit music format file notat music file,relevancefeedback.topn10.qld,0.4874,digital music notation formats file dl midi,sensedisambiguation,0.3833,digital music notation note formats format,docluster.topn10.3.qld,0.3809,digital music notation formats dl file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120531,music conferences,0.6111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120532,intellectual property rights lobby,0.1899,7,bertqe.topn10.qld,0.2833,"{'intellectual property rights lobby': 1.5, 'protection intellectual': 1.0, 'intellectual property activism privacy organizations': 0.9696969696969697, 'parties intellectual property activism ideology': 0.8080808080808082, 'intellectual property activism digital': 0.7474747474747475, 'property organizations intellectual property activism': 0.6565656565656566}",tagmee.topn3,0.2644,intellectual property rights lobby Intellectual property Intellectual property,docluster.topn10.3.qld,0.2589,intellectual property rights lobby intellectu properti infring,conceptluster.topn5.3.qld,0.2589,intellectual property rights lobby intellectual property,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.2266,"{'lobbi': 2, 'right': 2, 'properti': 2, 'intellectu': 2, 'patent': 1.468, 'copyright': 1.457, 'protect': 1.445, 'law': 1.406, 'countri': 1.4, 'trademark': 1.178, 'licens': 1.155, 'infring': 1.1}",tagmee.topn3.replace,0.217,Intellectual property Intellectual property,relevancefeedback.topn10.qld,0.2119,intellectual property rights lobby direct treati properti intellectu organ campaign law parti infring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009022,Szechwan dish food cuisine,0.1322,12,rm3.topn10.10.0.5.qld,0.3177,cook pepper indian szechwan food sichuan chines cuisin dish veget korean,wordnet.topn3,0.2968,szechwan dish food cuisine Sichuan Szechuan Szechwan province mantrap serve serve up intellectual nourishment nutrient culinary art,onfields.topn3.10.1.1.qld,0.2763,"{'food': 2, 'dish': 2, 'szechwan': 2, 'cuisin': 2, 'chines': 1.763, 'sichuan': 1.667, 'veget': 1.421, 'pickl': 1.307, 'cai': 1.237, 'zha': 1.202, 'chili': 1.167, 'szechuan': 1.149, 'jar': 1.14}",bertqe.topn10.qld,0.2584,"{'Szechwan dish food cuisine': 1.5, 'food szechuan cuisine szechwan sichuan': 1.0, 'szcechuan cuisine sichuan dish cuisine': 1.0, 'cooking sichuan cuisine szechwan cuisine': 1.0, 'sichuan cuisine szechwan cuisine': 1.0, 'szechuan cuisine szechwan sichuan cuisine': 1.0}",wordnet.topn3.replace,0.2323,Sichuan Szechuan Szechwan province mantrap serve serve up intellectual nourishment nutrient culinary art,tagmee.topn3,0.2047,szechwan dish food cuisine Sichuan Dish  food  Food Cuisine,conceptluster.topn5.3.qld,0.2047,szechwan dish food cuisine sichuan food dish food cuisine,conceptnet.topn3,0.1957,szechwan dish food cuisine Szechuan China plate cake rice rechauffe,relevancefeedback.topn10.qld,0.1714,szechwan dish food cuisine cuisin chines veget pepper indian korean,tagmee.topn3.replace,0.16,Sichuan Dish  food  Food Cuisine,docluster.topn10.3.qld,0.1568,szechwan dish food cuisine cuisin indian chines,sensedisambiguation.replace,0.1401,szechwan serve food cuisine,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009039,roman architecture,0.2269,4,tagmee.topn3,0.4073,roman architecture Ancient Roman architecture,conceptluster.topn5.3.qld,0.4073,roman architecture ancient roman architecture,tagmee.topn3.replace,0.358,Ancient Roman architecture,wiki.topn3,0.2637,roman architecture outlinof classical architecture frigidarium peristyle Ancient Roman architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3173,1,stem.lovins,0.4325,finland car industr manufacturer saab sisu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009061,france second world war normandy,0.2196,4,relevancefeedback.topn10.qld,0.2888,france second world war normandy normandi cemeteri invas franc corp caen,onfields.topn3.10.1.1.qld,0.253,"{'world': 2, 'second': 2, 'franc': 2, 'war': 2, 'normandi': 2, 'invas': 1.538, 'divis': 1.396, '1944': 1.255, 'alli': 1.255, 'dday': 1.212, 'cemeteri': 1.212, 'bayeux': 1.208, 'nysurm': 1.142, 'overlord': 1.137}",sensedisambiguation,0.243,france second world worldly concern war normandy normandie,rm3.topn10.10.0.5.qld,0.2309,oper memori cemeteri ii war normandi world militari invas second caen franc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009062,social network group selection,0.1326,1,termluster.topn5.3.qld,0.2591,social network group selection group network social group social network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009063,D Day normandy invasion,0.1847,12,wiki.topn3,0.221,d day normandy invasion invasion of normandy operation overlord battle for caen Normandy landings operation neptune normandy landings invasion of normandy Operation Overlord omaha beach normandy landings utah beach Invasion of Normandy,bertqe.topn10.qld,0.21899999999999997,"{'DDay normandy invasion': 1.5, 'invasion dday invasion normandy': 1.0, 'dday landed normandy invasion': 1.0, 'invasion landings dday landings normandy': 1.0, 'normandy dday normandy invasion': 1.0, 'dday normandy dday invasion': 0.0}",wiki.topn3.replace,0.2141,invasion of normandy operation overlord battle for caen Normandy landings operation neptune normandy landings invasion of normandy Operation Overlord omaha beach normandy landings utah beach Invasion of Normandy,tagmee.topn3,0.2131,d day normandy invasion Normandy landings Operation Overlord Invasion of Normandy,conceptluster.topn5.3.qld,0.2131,d day normandy invasion normandy landings invasion normandy operation overlord,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.2092,"{'1944': 2.0, 'normandi': 2, 'invas': 2, 'dday': 2, 'june': 1.955, 'pg2': 1.358, 'pg3': 1.358, 'eisenhow': 1.254, 'overlord': 1.194, 'memorecondit': 1.179, 'pg6': 1.119}",sensedisambiguation,0.2049,D Day normandy normandie invasion,docluster.topn10.3.qld,0.2048,d day normandy invasion invas normandi,relevancefeedback.topn10.qld,0.2022,d day normandy invasion normandi invas book ddai airborn medal oper ship,rm3.topn10.10.0.5.qld,0.1998,oper alli ii war dai normandi land invas d ddai divis,onfields.topn3.10.1.1.qld,0.1981,"{'dday': 2, 'normandi': 2, 'invas': 2, 'land': 1.887, 'oper': 1.814, 'alli': 1.675, 'divis': 1.627, '1944': 1.412, 'overlord': 1.246, 'wehrmacht': 1.175, 'infantri': 1.0}",tagmee.topn3.replace,0.1875,Normandy landings Operation Overlord Invasion of Normandy,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009074,web ranking scoring algorithm,0.2663,5,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.3202,"{'score': 2, 'web': 2, 'algorithm': 2, 'rank': 2, 'x': 1.867, 'webpag': 1.376, 'pagerank': 1.264, 'hit': 1.25, 'indegre': 1.181, 'normal': 1.179, 'hub': 1.171, 'hyperlink': 1.099, 'onormrank': 1.095}",onfields.topn3.10.1.1.qld,0.3101,"{'score': 2, 'rank': 2, 'web': 2, 'algorithm': 2, 'page': 1.902, 'search': 1.853, 'googl': 1.637, 'pagerank': 1.392, 'yebol': 1.265, 'aim': 1.225, 'semant': 1.167, 'repres': 1.069}",termluster.topn5.3.qld,0.2898,web ranking scoring algorithm algorithm rank page web page algorithm rank web page,stem.lovins,0.2696,web rank scor algorithm,stem.paicehusk,0.2696,web rank scor algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009096,Eiffel,0.3615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009111,europe solar power facility,0.1571,8,sensedisambiguation.replace,0.2672,european union solar world power facility,word2vec.topn3.replace,0.2665,germany european europe  photovoltaic non solar power  authority facilty,word2vec.topn3,0.2655,europe solar power facility germany european europe  photovoltaic non solar power  authority facilty,sensedisambiguation,0.2486,europe european union solar power world power facility,tagmee.topn3,0.2036,europe solar power facility Europe Solar power,conceptluster.topn5.3.qld,0.2036,europe solar power facility solar power europe,wiki.topn3,0.1924,europe solar power facility cultural concepts peninsulas of asia europe Europe solar energy solar power alternative energy Solar power,glove.topn3,0.1754,europe solar power facility european asia photovoltaic geothermal control addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009115,virtual museums,0.4387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010004,Indian food,0.2618,2,onfields.topn3.10.1.1.qld,0.3197,"{'indian': 2, 'food': 2, 'cuisin': 1.795, 'snack': 1.194, 'dish': 1.18, 'masala': 1.101, 'vegetarian': 1.086, 'vada': 1.086, 'roti': 1.072, 'chines': 1.065, 'curri': 1.007}",tagmee.topn3.replace,0.2706,Social network Application programming interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010014,composer museum,0.0392,3,tagmee.topn3.replace,0.2239,Film Surrealist cinema,bertqe.topn10.qld,0.062,"{'composer museum': 1.5, 'archive renaissance museum composer': 1.0, 'edward elgar music museums': 0.6, 'exhibition armenian composer': 0.5, 'music museums biographical museums': 0.4, 'museum antonin dvorak museum anton': 0.4}",wiki.topn3.replace,0.0518,film art media media formats Film french impressionist cinema reversmotion collagfilm Surrealist cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010019,gallo roman architecture in paris,0.0034,9,tagmee.topn3.replace,0.366,Albert Einstein Theory of relativity,wiki.topn3.replace,0.2584,pacifists people with acquired austria hungary citizenship swiss agnostics Albert Einstein special relativity quantum gravity cosmological constant Theory of relativity,wiki.topn3,0.1697,gallo roman architecture paris amphitheatrof ththregauls praetorian prefecture of gaul roman gaul Gallo Roman culture outlinof classical architecture frigidarium peristyle Ancient Roman architecture world heritage sites in france  rd century bestablishments companions of the liberation Paris,bertqe.topn10.qld,0.0591,"{'gallo roman architecture in paris': 1.5, 'galloroman wall grenoble': 1.0, 'galloroman walls grenoblejpg': 0.9318181818181818, 'architecture church saintsulpice paris': 0.8409090909090909, 'basilica churches france roman': 0.5681818181818181, 'galloroman wall grenoble vestiges': 0.5340909090909092}",conceptnet.topn3.replace,0.0313,gallo roman gaulish roman column the Eiffel tower France a cafe,tagmee.topn3,0.0261,gallo roman architecture paris Gallo Roman culture Ancient Roman architecture Paris,conceptluster.topn5.3.qld,0.0261,gallo roman architecture paris paris ancient roman architecture gallo roman culture,conceptnet.topn3,0.0234,gallo roman architecture paris gallo roman gaulish column the Eiffel tower France a cafe,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.0048,"{'pari': 2, 'in': 2, 'roman': 2, 'gallo': 2, 'architectur': 2, 'catalog': 1.473, 'old': 1.401, 'art': 1.269, 'work': 1.179, 'beaulieu': 1.054, 'architectureunit': 1.043, 'domesticdesign': 1.022, 'architecturerom': 1.022, 'prevnextindexnew': 1.014, 'centuri': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010020,electricity source in France,0.0434,6,wordnet.topn3,0.22,electricity source france electrical energy germ reservoir seed French Republic Anatole France,relevancefeedback.topn10.qld,0.0742,electricity source in france electr theorem cost current nuclear energi sourc,wordnet.topn3.replace,0.0533,electrical energy germ reservoir seed French Republic Anatole France,tagmee.topn3.replace,0.052000000000000005,Summer Flower,termluster.topn5.3.qld,0.048,electricity source france sourc power gener power gener franc sourc power gener,docluster.topn10.3.qld,0.0461,electricity source in france electr cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010037,social network API,0.2355,4,tagmee.topn3,0.3077,social network api Social network Application programming interface,conceptluster.topn5.3.qld,0.3077,social network api application programming interface social network,relevancefeedback.topn10.qld,0.2612,social network api applic googl site wallop servic round,onfields.topn3.10.1.1.qld,0.2586,"{'api': 2, 'network': 2, 'social': 2, 'graph': 1.45, 'googl': 1.376, 'facebook': 1.248, 'applic': 1.221, 'opensoci': 1.221, 'myspac': 1.148, 'oauth': 1.067, 'myspaceid': 1.047}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010043,List of films from the surrealist category,0.2614,10,wiki.topn3.replace,0.3341,organic farming organic movement local food Organic food,termluster.topn5.3.qld,0.3065,list films surrealist category surrealist direct direct film,docluster.topn10.3.qld,0.2831,list of films from the surrealist category film,thesaurus.topn3,0.2793,list films surrealist category,anchor.topn3,0.2793,list films surrealist category,thesaurus.topn3.replace,0.2793,list films surrealist category,anchor.topn3.replace,0.2793,list films surrealist category,tagmee.topn3.replace,0.264,Organic food,tagmee.topn3,0.2619,list films surrealist category Film Surrealist cinema,conceptluster.topn5.3.qld,0.2619,list films surrealist category film surrealist cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010057,Einstein Relativity theory,0.3846,4,tagmee.topn3.replace,0.4836,Niagara Falls Abiogenesis Lake,wiki.topn3.replace,0.4302,geography of niagara falls  ontario niagara river waterfalls of ontario Niagara Falls evolutionarily significant biological phenomena carbon    evolutionary history of life Abiogenesis lakes bodies of water river Lake,tagmee.topn3,0.3942,einstein relativity theory Albert Einstein Theory of relativity,conceptluster.topn5.3.qld,0.3942,einstein relativity theory albert einstein theory relativity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010069,summer flowers,0.052000000000000005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010100,house concrete wood,0.1472,7,conceptnet.topn3,0.2471,house concrete wood home room tree material paper,conceptnet.topn3.replace,0.2277,home room concrete tree material paper,docluster.topn10.3.qld,0.2032,house concrete wood hous,relevancefeedback.topn10.qld,0.1581,house concrete wood hous carolina,stem.paicehusk,0.1525,hous concret wood,stem.porter,0.1525,hous concret wood,stem.porter2,0.1525,hous concret wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
