qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
2290758,Why do people ask questions they know,0.0622,14,thesaurus.topn3,0.4734,people ask questions know,anchor.topn3,0.4734,people ask questions know,wiki.topn3,0.4734,people ask questions know,tagmee.topn3,0.4734,people ask questions know,thesaurus.topn3.replace,0.4734,people ask questions know,anchor.topn3.replace,0.4734,people ask questions know,termluster.topn5.3.bm25,0.4734,people ask questions know,conceptluster.topn5.3.bm25,0.4734,people ask questions know,stem.porter2,0.1954,whi do peopl ask question they know,onfields.topn3.10.2.25.1.bm25,0.1575,"{'know': 2, 'they': 2, 'question': 2, 'do': 2, 'whi': 2, 'peopl': 2, 'ask': 2, 'content': 1.6, 'id': 1.6, 'that': 1.4, 'loz': 1.2, '76341512': 1.2, '26222356': 1.2, '77256314': 1.2, 'everywher': 1.2, 'asonli': 1.0}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.1575,"{'know': 2, 'they': 2, 'question': 2, 'do': 2, 'whi': 2, 'peopl': 2, 'ask': 2, 'content': 1.6, 'id': 1.6, 'that': 1.4, 'loz': 1.2, '76341512': 1.2, '26222356': 1.2, '77256314': 1.2, 'everywher': 1.2, 'asonli': 1.0}",word2vec.topn3,0.1026,people ask questions know poeple peole persons answers questions  know  knwo tell,sensedisambiguation,0.0911,Why do people ask questions question they know,docluster.topn10.3.bm25,0.0815,why do people ask questions they know  peopl,,,,,,,,,,,,
143833,What is the difference between coolant and anti freeze,0.6561,9,thesaurus.topn3,0.7851,difference coolant anti freeze,anchor.topn3,0.7851,difference coolant anti freeze,thesaurus.topn3.replace,0.7851,difference coolant anti freeze,anchor.topn3.replace,0.7851,difference coolant anti freeze,termluster.topn5.3.bm25,0.7851,difference coolant anti freeze,conceptnet.topn3,0.7768,difference coolant anti freeze distinction,wordnet.topn3.replace,0.7611,difference of opinion dispute coolant anti freeze,conceptnet.topn3.replace,0.7518,distinction coolant anti freeze,sensedisambiguation.replace,0.6748,What is the remainder between coolant and anti freeze,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910925,Why is yawning contagious,0.5795,15,wordnet.topn3,0.6422,yawning contagious oscitance oscitancy drowsy transmittable catching,onfields.topn3.10.2.25.1.bm25,0.639,"{'is': 2, 'whi': 2, 'contagi': 2, 'yawn': 2, 'caus': 1.438, 'someon': 1.25, 'dont': 1.25, 'content': 1.188, 'id': 1.188, 'lesser': 1.125, 'fest': 1.125, 'amus': 1.125, 'counterquest': 1.062}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.639,"{'is': 2, 'whi': 2, 'contagi': 2, 'yawn': 2, 'caus': 1.438, 'someon': 1.25, 'dont': 1.25, 'content': 1.188, 'id': 1.188, 'lesser': 1.125, 'fest': 1.125, 'amus': 1.125, 'counterquest': 1.062}",thesaurus.topn3,0.6339,yawning contagious,anchor.topn3,0.6339,yawning contagious,thesaurus.topn3.replace,0.6339,yawning contagious,anchor.topn3.replace,0.6339,yawning contagious,termluster.topn5.3.bm25,0.6339,yawning contagious,stem.porter2,0.6333,whi is yawn contagi,relevancefeedback.topn10.bm25,0.6209,why is yawning contagious  contagi yawn,glove.topn3,0.612,yawning contagious chasm gaps infectious illness,tagmee.topn3,0.5938,yawning contagious Yawn Infection,conceptluster.topn5.3.bm25,0.5938,yawning contagious yawn infection,sensedisambiguation,0.5920000000000001,Why is yawning yawn contagious,docluster.topn10.3.bm25,0.5920000000000001,why is yawning contagious  yawn,,,,,,,,,
2643507,why does milk cost more than gas per gallon,0.5116,2,stem.paicehusk,0.523,why doe milk cost mor than gas per gallon,stem.porter2,0.5215,whi doe milk cost more than gas per gallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502604,how do crooks  make  fake   passports,0.3548,5,thesaurus.topn3,0.5302,crooks make fake passports,anchor.topn3,0.5302,crooks make fake passports,thesaurus.topn3.replace,0.5302,crooks make fake passports,anchor.topn3.replace,0.5302,crooks make fake passports,termluster.topn5.3.bm25,0.5302,crooks make fake passports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4283542,i have had loose stools for a week   how do i make it stop,0.0556,12,thesaurus.topn3,0.5293,loose stools week     make stop,anchor.topn3,0.5293,loose stools week     make stop,thesaurus.topn3.replace,0.5293,loose stools week make stop,anchor.topn3.replace,0.5293,loose stools week     make stop,termluster.topn5.3.bm25,0.5293,loose stools week     make stop,sensedisambiguation,0.3917,i have had loose unaffixed stools toilet for a week workweek     how do i make stool it stop,glove.topn3,0.1118,loose stools week     make stop apart k      couches month last   certainly made,tagmee.topn3,0.1012,loose stools week     make stop Make It Stop  September s Children,conceptluster.topn5.3.bm25,0.1012,loose stools week     make stop make stop september  s children,relevancefeedback.topn10.bm25,0.0931,i have had loose stools for a week   how do i make it stop  u applesauc you area effect,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.0716,"{'stop': 2, 'it': 2, 'make': 2, 'do': 2, 'weekhow': 2, 'a': 2, 'for': 2, 'had': 2, 'have': 2, 'i': 2, 'stool': 2, 'id': 2.0, 'loos': 2, 'diet': 1.667, 'exercis': 1.667, 'content': 1.5, 'lax': 1.333, 'weightexercis': 1.167, '27692353': 1.167, '40031886': 1.167, 'monthssinc': 1.167}",word2vec.topn3,0.0691,loose stools week     make stop tight looser lose chairs month day weekend               create halt cease,,,,,,,,,,,,,,,,,,
3554263,why some people behave so rude without reason is it due to their own problem,0.1474,8,thesaurus.topn3,0.5231,people behave rude without reason due problem,anchor.topn3,0.5231,people behave rude without reason due problem,thesaurus.topn3.replace,0.5231,people behave rude without reason due problem,anchor.topn3.replace,0.5231,people behave rude without reason due problem,termluster.topn5.3.bm25,0.5231,people behave rude without reason due problem,tagmee.topn3,0.32,people behave rude without reason due problem People  magazine  Rude  song  The Reason  Hoobastank song,conceptluster.topn5.3.bm25,0.32,people behave rude without reason due problem reason hoobastank song rude song people magazine,stem.porter2,0.1761,whi some peopl behav so rude without reason is it due to their own problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313308,how can I enjoy my time alone,0.0546,12,tagmee.topn3,0.5021,enjoy time alone By Time Alone,conceptluster.topn5.3.bm25,0.5021,enjoy time alone time alone,wiki.topn3,0.4552,enjoy time alone oblivion  orphanagalbum  driven  orphanagalbum  bart smits By Time Alone,thesaurus.topn3,0.4174,enjoy time alone,anchor.topn3,0.4174,enjoy time alone,thesaurus.topn3.replace,0.4174,enjoy time alone,anchor.topn3.replace,0.4174,enjoy time alone,termluster.topn5.3.bm25,0.4174,enjoy time alone,word2vec.topn3,0.3701,enjoy time alone moment time  period alone  alone,word2vec.topn3.replace,0.3295,enjoy moment time  period alone  alone,glove.topn3,0.1873,enjoy time alone when   actually else,relevancefeedback.topn10.bm25,0.0593,how can i enjoy my time alone  you,,,,,,,,,,,,,,,,,,
4357460,how to make my car faster,0.1831,8,thesaurus.topn3,0.2829,make car faster,anchor.topn3,0.2829,make car faster,wiki.topn3,0.2829,make car faster,tagmee.topn3,0.2829,make car faster,thesaurus.topn3.replace,0.2829,make car faster,anchor.topn3.replace,0.2829,make car faster,termluster.topn5.3.bm25,0.2829,make car faster,conceptluster.topn5.3.bm25,0.2829,make car faster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582920,What is the difference in a dried plum and a dried prune,0.7404,17,onfields.topn3.10.2.25.1.bm25,0.8112,"{'and': 2, 'a': 2, 'in': 2, 'differ': 2, 'the': 2, 'is': 2, 'what': 2, 'plum': 2, 'dri': 2, 'prune': 2, 'content': 1.25, 'id': 1.25, 'that': 1.25, 'cultivar': 1.167, '258292023': 1.083, 'confus': 1.083, '258292025': 1.083, '258292021': 1.083}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.8112,"{'and': 2, 'a': 2, 'in': 2, 'differ': 2, 'the': 2, 'is': 2, 'what': 2, 'plum': 2, 'dri': 2, 'prune': 2, 'content': 1.25, 'id': 1.25, 'that': 1.25, 'cultivar': 1.167, '258292023': 1.083, 'confus': 1.083, '258292025': 1.083, '258292021': 1.083}",tagmee.topn3,0.7996,difference dried plum dried prune Prune Prune,conceptluster.topn5.3.bm25,0.7959999999999999,difference dried plum dried prune prune,sensedisambiguation.replace,0.7861,What is the remainder in a dried plum and a dry prune,stem.krovetz,0.7822,what is the difference in a dry plum and a dry prune,rm3.topn10.10.0.5.bm25,0.7804,quit redund differ dead apricot dri what raisin dust prune know plum,conceptnet.topn3,0.7792,difference dried plum dried prune distinction dehydrated big tree plum,conceptnet.topn3.replace,0.7786,distinction dehydrated big tree plum dried prune,relevancefeedback.topn10.bm25,0.7549,what is the difference in a dried plum and a dried prune  prune dri,docluster.topn10.3.bm25,0.7549,what is the difference in a dried plum and a dried prune  prune dri,thesaurus.topn3,0.7483,difference dried plum dried prune,anchor.topn3,0.7483,difference dried plum dried prune,thesaurus.topn3.replace,0.7483,difference dried plum dried prune,anchor.topn3.replace,0.7483,difference dried plum dried prune,termluster.topn5.3.bm25,0.7483,difference dried plum dried prune,stem.trunc5,0.7459,what is the diffe in a dried plum and a dried prune,,,
4462511,How do i know if my gold fish is pregnant,0.3738,5,thesaurus.topn3,0.7713,know gold fish pregnant,anchor.topn3,0.7713,know gold fish pregnant,thesaurus.topn3.replace,0.7713,know gold fish pregnant,anchor.topn3.replace,0.7713,know gold fish pregnant,termluster.topn5.3.bm25,0.7713,know gold fish pregnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795030,Why do people drink Cuervo when it tastes the same going down as coming up,0.2009,10,thesaurus.topn3,0.4152,people drink cuervo tastes going coming,anchor.topn3,0.4152,people drink cuervo tastes going coming,thesaurus.topn3.replace,0.4152,people drink cuervo tastes going coming,anchor.topn3.replace,0.4152,people drink cuervo tastes going coming,termluster.topn5.3.bm25,0.4152,people drink cuervo tastes going coming,wordnet.topn3,0.2326,people drink cuervo tastes going coming multitude hoi polloi drink in wassail appreciation mouthful taste perception run low die operate do amount approaching,stem.paicehusk,0.2257,why do peopl drink cuervo when it tast the sam going down as com up,sensedisambiguation,0.213,Why do people drink toast Cuervo when it tastes taste the same going travel down as coming do up,tagmee.topn3,0.2029,people drink cuervo tastes going coming Alcoholic beverage Taste  sociology  Oral sex,conceptluster.topn5.3.bm25,0.2029,people drink cuervo tastes going coming oral sex taste sociology alcoholic beverage,,,,,,,,,,,,,,,,,,,,,,,,
312215,how good is apple pie when it is cold,0.5555,8,docluster.topn10.3.bm25,0.6395,how good is apple pie when it is cold  cold appl,thesaurus.topn3,0.5894,good apple pie cold,anchor.topn3,0.5894,good apple pie cold,thesaurus.topn3.replace,0.5894,good apple pie cold,anchor.topn3.replace,0.5894,good apple pie cold,termluster.topn5.3.bm25,0.5894,good apple pie cold,tagmee.topn3,0.5768,good apple pie cold Good Worldwide Apple pie,conceptluster.topn5.3.bm25,0.5768,good apple pie cold good worldwide apple pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363149,Why do Arabs and Mexicans look alike,0.4655,9,thesaurus.topn3,0.6041,arabs mexicans look alike,anchor.topn3,0.6041,arabs mexicans look alike,thesaurus.topn3.replace,0.6041,arabs mexicans look alike,anchor.topn3.replace,0.6041,arabs mexicans look alike,termluster.topn5.3.bm25,0.6041,arabs mexicans look alike,stem.porter2,0.5892,whi do arab and mexican look alik,onfields.topn3.10.2.25.1.bm25,0.5578,"{'look': 2, 'and': 2, 'do': 2, 'whi': 2, 'mexican': 2, 'alik': 2, 'arab': 2, 'content': 1.75, 'id': 1.75, 'chines': 1.25, '39928929': 1.25, '33631494': 1.25, '33631490': 1.25, 'spanishfrench': 1.25, 'arabssimpli': 1.0}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.5578,"{'look': 2, 'and': 2, 'do': 2, 'whi': 2, 'mexican': 2, 'alik': 2, 'arab': 2, 'content': 1.75, 'id': 1.75, 'chines': 1.25, '39928929': 1.25, '33631494': 1.25, '33631490': 1.25, 'spanishfrench': 1.25, 'arabssimpli': 1.0}",relevancefeedback.topn10.bm25,0.4754,why do arabs and mexicans look alike  arab abraham mexican    so alik,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944018,Why can t teenagers vote,0.1621,2,stem.porter2,0.2293,whi can t teenag vote,stem.trunc4,0.1659,why can t teen vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788976,Why did the Bush Admin cover up,0.0377,2,rm3.topn10.10.0.5.bm25,0.0462,     did cover plan he bush democrat admin laden why up know bin,adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.0441,"{'up': 2, 'cover': 2, 'admin': 2, 'the': 2, 'did': 2, 'whi': 2, 'that': 2.0, 'id': 2.0, '911': 2, 'bush': 2, 'vote': 1.429, 'content': 1.429, '911m': 1.143, '729341': 1.143, '7889760': 1.143, 'bashingnobodi': 1.0, 'militari': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385316,How do I keep black birds out of my bar b que grill,0.3573,5,thesaurus.topn3,0.5242,keep black birds bar b que grill,anchor.topn3,0.5242,keep black birds bar b que grill,thesaurus.topn3.replace,0.5242,keep black birds bar b que grill,anchor.topn3.replace,0.5242,keep black birds bar b que grill,termluster.topn5.3.bm25,0.5242,keep black birds bar b que grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551239,how do i find out if someone left me a life insurance policy,0.5796,9,thesaurus.topn3,0.6885,find someone left life insurance policy,anchor.topn3,0.6885,find someone left life insurance policy,thesaurus.topn3.replace,0.6885,find someone left life insurance policy,anchor.topn3.replace,0.6885,find someone left life insurance policy,termluster.topn5.3.bm25,0.6885,find someone left life insurance policy,tagmee.topn3,0.6241,find someone left life insurance policy Medical examiner Life insurance Insurance policy,conceptluster.topn5.3.bm25,0.6241,find someone left life insurance policy life insurance insurance policy medical examiner,sensedisambiguation,0.6117,how do i find rule out if someone person left entrust me a life insurance policy policy,wordnet.topn3,0.5953,find someone left life insurance policy witness breakthrough regain individual somebody entrust result pass on life time living policy indemnity insurance insurance policy,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499881,Why is Gordon Ramsey so popular,0.244,13,thesaurus.topn3,0.4655,gordon ramsey popular,anchor.topn3,0.4655,gordon ramsey popular,thesaurus.topn3.replace,0.4655,gordon ramsey popular,anchor.topn3.replace,0.4655,gordon ramsey popular,termluster.topn5.3.bm25,0.4655,gordon ramsey popular,conceptluster.topn5.3.bm25,0.4655,gordon ramsey popular,tagmee.topn3,0.4634,gordon ramsey popular Gordon Ramsey,wordnet.topn3.replace,0.4338,gordon ramsey democratic pop,wiki.topn3,0.41600000000000004,gordon ramsey popular bob weiskopf paul alter bill persky Gordon Ramsey,stem.porter2,0.3355,whi is gordon ramsey so popular,stem.paicehusk,0.2745,why is gordon ramsey so popul,onfields.topn3.10.2.25.1.bm25,0.2458,"{'popular': 2, 'so': 2, 'is': 2, 'whi': 2, 'content': 2.0, 'id': 2.0, 'gordon': 2, 'ramsey': 2, 'minnesota': 1.333, 'wimp': 1.333, '6512661400': 1.333, '349988111': 1.333, '308995818': 1.333, '15558281': 1.333, 'workhous': 1.333}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.2458,"{'popular': 2, 'so': 2, 'is': 2, 'whi': 2, 'content': 2.0, 'id': 2.0, 'gordon': 2, 'ramsey': 2, 'minnesota': 1.333, 'wimp': 1.333, '6512661400': 1.333, '349988111': 1.333, '308995818': 1.333, '15558281': 1.333, 'workhous': 1.333}",,,,,,,,,,,,,,,
4311093,Why hot air rises up,0.6676,9,thesaurus.topn3,0.7492,hot air rises,anchor.topn3,0.7492,hot air rises,wiki.topn3,0.7492,hot air rises,tagmee.topn3,0.7492,hot air rises,thesaurus.topn3.replace,0.7492,hot air rises,anchor.topn3.replace,0.7492,hot air rises,termluster.topn5.3.bm25,0.7492,hot air rises,conceptluster.topn5.3.bm25,0.7492,hot air rises,stem.porter2,0.7077,whi hot air rise up,,,,,,,,,,,,,,,,,,,,,,,,,,,
4256593,How do I remove the SIMM card on a LG VX     Cell Phone,0.6332,9,thesaurus.topn3,0.7464,remove simm card lg vx     cell phone,anchor.topn3,0.7464,remove simm card lg vx     cell phone,thesaurus.topn3.replace,0.7464,remove simm card lg vx     cell phone,anchor.topn3.replace,0.7464,remove simm card lg vx     cell phone,termluster.topn5.3.bm25,0.7464,remove simm card lg vx     cell phone,tagmee.topn3,0.7136,remove simm card lg vx     cell phone SIMM Punched card LG VX,conceptluster.topn5.3.bm25,0.6796,remove simm card lg vx     cell phone punched card,onfields.topn3.10.2.25.1.bm25,0.6507,"{'cell': 2, 'vx8300': 2, 'a': 2, 'on': 2, 'card': 2, 'the': 2, 'remov': 2, 'i': 2, 'do': 2, 'how': 2, 'simm': 2, 'lg': 2, 'phone': 2, 'sim': 1.333, 'content': 1.333, 'id': 1.333, 'cdma': 1.222, 'mikec': 1.111, '42565931': 1.111, '42565930': 1.111, '6010230': 1.111}",docluster.topn10.3.bm25,0.6467,how do i remove the simm card on a lg vx     cell phone  phone you,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017690,what is the history of indian music,0.5583,8,thesaurus.topn3,0.619,history indian music,anchor.topn3,0.619,history indian music,wiki.topn3,0.619,history indian music,tagmee.topn3,0.619,history indian music,thesaurus.topn3.replace,0.619,history indian music,anchor.topn3.replace,0.619,history indian music,termluster.topn5.3.bm25,0.619,history indian music,conceptluster.topn5.3.bm25,0.619,history indian music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667488,how soon can you drive on a newly paved driveway,0.4852,9,thesaurus.topn3,0.6161,soon drive newly paved driveway,anchor.topn3,0.6161,soon drive newly paved driveway,thesaurus.topn3.replace,0.6161,soon drive newly paved driveway,anchor.topn3.replace,0.6161,soon drive newly paved driveway,termluster.topn5.3.bm25,0.6161,soon drive newly paved driveway,docluster.topn10.3.bm25,0.5844,how soon can you drive on a newly paved driveway  go do,bertqe.topn10.bm25,0.5508,"{'how soon can you drive on a newly paved driveway': 1.5, 'driveway eventually': 1.0, 'driveway get home ': 0.6310256309456515, 'driveway drive': 0.4209678242909049, 'driving driveway': 0.3306519865869402, 'driveway   ': 0.3167784798200868}",tagmee.topn3,0.5479999999999999,soon drive newly paved driveway Road surface Driveway,conceptluster.topn5.3.bm25,0.5479999999999999,soon drive newly paved driveway driveway road surface,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507491,Why is religious freedom more important today,0.4896,6,thesaurus.topn3,0.6003,religious freedom important today,anchor.topn3,0.6003,religious freedom important today,thesaurus.topn3.replace,0.6003,religious freedom important today,anchor.topn3.replace,0.6003,religious freedom important today,termluster.topn5.3.bm25,0.6003,religious freedom important today,stem.porter2,0.5923,whi is religi freedom more import today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634143,what is direct borrowing  phonological borrowing  linguistic borrowing  cultural borrowing intimate borrowing,0.172,1,sensedisambiguation.replace,0.1727,what is lineal borrowing   phonological borrowing   linguistic borrowing   cultural borrowing   suggest borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396066,Why do airplanes fly so high,0.3612,6,thesaurus.topn3,0.4446,airplanes fly high,anchor.topn3,0.4446,airplanes fly high,thesaurus.topn3.replace,0.4446,airplanes fly high,anchor.topn3.replace,0.4446,airplanes fly high,termluster.topn5.3.bm25,0.4446,airplanes fly high,sensedisambiguation,0.3699,Why do airplanes airplane fly so high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892478,what factors cause the Earth to heat unevenly,0.4241,5,thesaurus.topn3,0.5306,factors cause earth heat unevenly,anchor.topn3,0.5306,factors cause earth heat unevenly,thesaurus.topn3.replace,0.5306,factors cause earth heat unevenly,anchor.topn3.replace,0.5306,factors cause earth heat unevenly,termluster.topn5.3.bm25,0.5306,factors cause earth heat unevenly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155314,we have pork chops  veal chops  lamb chops  why is there not any beef chops,0.2875,7,glove.topn3,0.4095,pork chops veal chops lamb chops beef chops beef meat loin lamb chops loin mutton veal loin meat pork loin,stem.lovins,0.3012,we hav pork chop veal chop lamb chop why is ther not any beef chop,stem.paicehusk,0.3012,we hav pork chop veal chop lamb chop why is ther not any beef chop,onfields.topn3.10.2.25.1.bm25,0.2954,"{'beef': 2, 'ani': 2, 'not': 2, 'there': 2, 'is': 2, 'whi': 2, 'lamb': 2, 'veal': 2, 'have': 2, 'we': 2, '1': 2.0, 'pork': 2, 'chop': 2, 'pepper': 1.25, 'salt': 1.231, 'minut': 1.212, 'cup': 1.212, 'degre': 1.154, 'teaspoon': 1.135, 'skillet': 1.115, 'hock': 1.077}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.2954,"{'beef': 2, 'ani': 2, 'not': 2, 'there': 2, 'is': 2, 'whi': 2, 'lamb': 2, 'veal': 2, 'have': 2, 'we': 2, '1': 2.0, 'pork': 2, 'chop': 2, 'pepper': 1.25, 'salt': 1.231, 'minut': 1.212, 'cup': 1.212, 'degre': 1.154, 'teaspoon': 1.135, 'skillet': 1.115, 'hock': 1.077}",conceptnet.topn3,0.2922,pork chops veal chops lamb chops beef chops pig area talk jaw sheep wool cow a plate,stem.porter2,0.2876,we have pork chop veal chop lamb chop whi is there not ani beef chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785823,how is the library consider as a heart of university,0.3231,7,thesaurus.topn3,0.4603,library consider heart university,anchor.topn3,0.4603,library consider heart university,thesaurus.topn3.replace,0.4603,library consider heart university,anchor.topn3.replace,0.4603,library consider heart university,termluster.topn5.3.bm25,0.4603,library consider heart university,tagmee.topn3,0.33799999999999997,library consider heart university Library University,conceptluster.topn5.3.bm25,0.33799999999999997,library consider heart university library university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815090,how cloning will affects our community,0.1721,13,thesaurus.topn3,0.4517,cloning affects community,anchor.topn3,0.4517,cloning affects community,conceptnet.topn3,0.4517,cloning affects community,thesaurus.topn3.replace,0.4517,cloning affects community,anchor.topn3.replace,0.4517,cloning affects community,conceptnet.topn3.replace,0.4517,cloning affects community,termluster.topn5.3.bm25,0.4517,cloning affects community,word2vec.topn3,0.4397,cloning affects community communty,tagmee.topn3,0.3191,cloning affects community Cloning Free will Affect  philosophy,conceptluster.topn5.3.bm25,0.3191,cloning affects community affect philosophy free cloning,word2vec.topn3.replace,0.2864,cloning affects communty,glove.topn3,0.2798,cloning affects community well,relevancefeedback.topn10.bm25,0.2507,how cloning will affects our community  we dont them commun clone look answer you,,,,,,,,,,,,,,,
2713171,What does the sentence s mean,0.0833,7,stem.krovetz,0.16399999999999998,what do the sentence s mean,thesaurus.topn3,0.1635,sentence  s mean,anchor.topn3,0.1635,sentence  s mean,thesaurus.topn3.replace,0.1635,sentence  s mean,anchor.topn3.replace,0.1635,sentence  s mean,termluster.topn5.3.bm25,0.1635,sentence  s mean,glove.topn3,0.1417,sentence  s mean jail  s whose necessarily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821193,Why do people feed poison  sugar  to their kids on Easter  and why are there no chocolate Jesuses,0.1158,11,thesaurus.topn3,0.1774,people feed poison sugar kids easter chocolate jesuses,anchor.topn3,0.1774,people feed poison sugar kids easter chocolate jesuses,thesaurus.topn3.replace,0.1774,people feed poison sugar kids easter chocolate jesuses,anchor.topn3.replace,0.1774,people feed poison sugar kids easter chocolate jesuses,termluster.topn5.3.bm25,0.1774,people feed poison sugar kids easter chocolate jesuses,conceptluster.topn5.3.bm25,0.1621,people feed poison sugar kids easter chocolate jesuses fodder chocolate sugar goat poison,stem.porter2,0.1376,whi do peopl feed poison sugar to their kid on easter and whi are there no chocol jesus,tagmee.topn3,0.1282,people feed poison sugar kids easter chocolate jesuses Fodder Poison Sugar Goat Easter Chocolate,rm3.topn10.10.0.5.bm25,0.1217,easter eat feed peopl chocol kid do jesus jesu why sugar know poison dog think,stem.krovetz,0.1173,why do people feed poison sugar to their kid on easter and why are there no chocolate jesus,stem.porter,0.1166,why do peopl feed poison sugar to their kid on easter and why ar there no chocol jesus,,,,,,,,,,,,,,,,,,,,,
4185501,why does the sun shine,0.4263,9,stem.porter2,0.5275,whi doe the sun shine,thesaurus.topn3,0.5185,sun shine,anchor.topn3,0.5185,sun shine,thesaurus.topn3.replace,0.5185,sun shine,anchor.topn3.replace,0.5185,sun shine,termluster.topn5.3.bm25,0.5185,sun shine,conceptluster.topn5.3.bm25,0.4492,sun shine sun shine sun mass incandescent gas,tagmee.topn3,0.4476,sun shine Why Does the Sun Shine   The Sun Is a Mass of Incandescent Gas,wiki.topn3,0.4383,sun shine best of thearly years  they might bgiants album  danny weinkauf back to skull Why Does the Sun Shine   The Sun Is a Mass of Incandescent Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473331,How can I keep my rabit indoors,0.2401,11,thesaurus.topn3,0.4369,keep rabit indoors,anchor.topn3,0.4369,keep rabit indoors,thesaurus.topn3.replace,0.4369,keep rabit indoors,anchor.topn3.replace,0.4369,keep rabit indoors,termluster.topn5.3.bm25,0.4369,keep rabit indoors,conceptnet.topn3,0.3762,keep rabit indoors preserve,tagmee.topn3,0.3622,keep rabit indoors Rabbit,conceptluster.topn5.3.bm25,0.3622,keep rabit indoors rabbit,bertqe.topn10.bm25,0.3383,"{'How can I keep my rabit indoors': 1.5, 'keep indoors know': 1.0, 'indoors  always keep': 0.9991859432255283, 'indoors  s hard': 0.27228878467397266, 'indoors dont let': 0.2379331384362707, 'go outside  cat': 0.20877692245077953}",wordnet.topn3,0.2706,keep rabit indoors hold open go on living inside,conceptnet.topn3.replace,0.2407,preserve rabit indoors,,,,,,,,,,,,,,,,,,,,,
4190287,Why is switching schools so depressing,0.1956,8,thesaurus.topn3,0.2749,switching schools depressing,anchor.topn3,0.2749,switching schools depressing,thesaurus.topn3.replace,0.2749,switching schools depressing,anchor.topn3.replace,0.2749,switching schools depressing,termluster.topn5.3.bm25,0.2749,switching schools depressing,stem.porter2,0.2272,whi is switch school so depress,onfields.topn3.10.2.25.1.bm25,0.2078,"{'so': 2, 'is': 2, 'whi': 2, 'switch': 2, 'school': 2, 'depress': 2, 'that': 1.6, 'content': 1.6, 'id': 1.6, 'nurs': 1.2, '32718491': 1.2, 'friendsand': 1.2, '12563991': 1.2, '36378386': 1.2}",adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,0.2078,"{'so': 2, 'is': 2, 'whi': 2, 'switch': 2, 'school': 2, 'depress': 2, 'that': 1.6, 'content': 1.6, 'id': 1.6, 'nurs': 1.2, '32718491': 1.2, 'friendsand': 1.2, '12563991': 1.2, '36378386': 1.2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
