qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
254,barrett s esophagus ,0.0092,1,conceptnet.topn3,0.0095,barrett  s esophagus anglo norman gullet ,,,,,,,,,,,,,,,,,,,,,,,,
255,teddy bears ,0.0019,7,stem.trunc4,0.0067,tedd bear ,wordnet.topn3.replace,0.0053,slip shimmy teddy bear take over brook carry ,glove.topn3,0.0049,teddy bears pyoot http   www mediabynumbers com resemblance ,wordnet.topn3,0.0047,teddy bears slip shimmy shift yield tolerate deport ,thesaurus.topn3,0.003,teddy bears  camisole dishabille  carry deliver ,sensedisambiguation,0.003,teddy bears bear ,docluster.topn10.3.qld.rm3,0.003,teddy bears bear ,,,,,,
256,patron saint of mental illness ,0.0798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,holes by louis sachar ,0.0549,3,thesaurus.topn3,0.0556,holes louis sachar  break crack   ,tagmee.topn3,0.0555,holes louis sachar Holes  film  Louis Sachar ,conceptluster.topn5.3.qld.rm3,0.0555,holes louis sachar holes film louis sachar ,,,,,,,,,,,,,,,,,,
258,hip roof ,0.0013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,carpenter bee ,0.0652,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,the american revolutionary ,0.0596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,folk remedies sore throat ,0.016,3,sensedisambiguation,0.0476,folk tribe remedies remedy sore throat ,sensedisambiguation.replace,0.0476,tribe remedy sore throat ,termluster.topn5.3.qld.rm3,0.0238,folk remedies sore throat treatment treat throat cold home infect cold home infect ,,,,,,,,,,,,,,,,,,
262,balding cure ,0.0033,3,relevancefeedback.topn10.qld.rm3,0.0046,balding cure hair ,docluster.topn10.3.qld.rm3,0.0046,balding cure hair ,termluster.topn5.3.qld.rm3,0.0038,balding cure treatment product men bald hair loss ,,,,,,,,,,,,,,,,,,
263,evidence for evolution ,0.006999999999999999,2,docluster.topn10.3.qld.rm3,0.0092,evidence for evolution natur what fossil evolut ,stem.paicehusk,0.0072,evid for evolv ,,,,,,,,,,,,,,,,,,,,,
264,tribe formerly living in alabama ,0.0137,5,conceptnet.topn3,0.0263,tribe formerly living alabama chief group home room house a state ,wordnet.topn3,0.0212,tribe formerly living alabama kin federation of tribes at one time erst be populate experience Heart of Dixie Camellia State ,sensedisambiguation,0.0191,tribe formerly once living survive in alabama ,glove.topn3.replace,0.0191,tribal previously known living mississippi tennessee ,glove.topn3,0.0153,tribe formerly living alabama tribal previously known mississippi tennessee ,,,,,,,,,,,,
265,F  tornado ,0.0039,7,wiki.topn3,0.0173,f  tornado enhanced fujita scale tornadoes in japan list of derecho events Fujita scale fujita scale tornado tornadogenesis Tornado ,wiki.topn3.replace,0.009000000000000001,enhanced fujita scale tornadoes in japan list of derecho events Fujita scale fujita scale tornado tornadogenesis Tornado ,tagmee.topn3,0.008,f  tornado Fujita scale Tornado ,conceptluster.topn5.3.qld.rm3,0.008,f  tornado fujita scale tornado ,tagmee.topn3.replace,0.0058,Fujita scale Tornado ,wordnet.topn3,0.0049,f  tornado crack twister ,termluster.topn5.3.qld.rm3,0.0048,f  tornado damag known mai ,,,,,,
266,symptoms of heart attack ,0.0196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,feliz navidad lyrics ,0.0118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,benefits of running ,0.0043,2,tagmee.topn3,0.0092,benefits running Health Running ,conceptluster.topn5.3.qld.rm3,0.0092,benefits running health running ,,,,,,,,,,,,,,,,,,,,,
269,marshall county schools ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,sun tzu ,0.0133,1,sensedisambiguation,0.0156,sun sunlight tzu ,,,,,,,,,,,,,,,,,,,,,,,,
271,halloween activities for middle school ,0.0002,7,stem.lovins,0.0667,halloween act for middl school ,stem.paicehusk,0.0667,halloween act for middl school ,tagmee.topn3,0.0039,halloween activities middle school Halloween Middle school ,conceptluster.topn5.3.qld.rm3,0.0039,halloween activities middle school halloween middle school ,tagmee.topn3.replace,0.0018,Halloween Middle school ,sensedisambiguation.replace,0.0004,halloween natural process for middle school ,word2vec.topn3,0.0003,halloween activities middle school Haloween guising activites activies upper mid college ,,,,,,
272,dreams interpretation ,0.0107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,wilson s disease ,0.0133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,golf instruction ,0.0022,3,wiki.topn3,0.0053,golf instruction golf instructors list of men s major championships winning golfers scott simpson  golfer  Golf instruction ,sensedisambiguation,0.0033,golf instruction teaching ,word2vec.topn3.replace,0.0033,golfers instruction ,,,,,,,,,,,,,,,,,,
275,uss cole ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,how has african american music influence history ,0.0158,3,tagmee.topn3,0.0173,african american music influence history African Americans African American music Music Social influence History ,conceptluster.topn5.3.qld.rm3,0.0173,african american music influence history history music african americans social influence african american music ,tagmee.topn3.replace,0.0164,African Americans African American music Music Social influence History ,,,,,,,,,,,,,,,,,,
277,bewitched cast ,0.0002,2,docluster.topn10.3.qld.rm3,0.0006,bewitched cast movi her ,termluster.topn5.3.qld.rm3,0.0006,bewitched cast show seri new bewitch movi endora ,,,,,,,,,,,,,,,,,,,,,
278,mister rogers ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,game theory ,0.047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,view my internet history ,0.0015,3,tagmee.topn3,0.0103,view internet history Internet History of the Internet ,conceptluster.topn5.3.qld.rm3,0.0103,view internet history internet history internet ,tagmee.topn3.replace,0.0049,Internet History of the Internet ,,,,,,,,,,,,,,,,,,
281,ketogenic diet ,0.0392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,nasa interplanetary missions ,0.0435,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,hayrides in pa ,0.0561,2,sensedisambiguation,0.0676,hayrides in pa public address system ,wordnet.topn3.replace,0.0573,hayrides dada Pa ,,,,,,,,,,,,,,,,,,,,,
284,where to find morel mushrooms ,0.0663,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,magnesium rich foods ,0.0093,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,common schizophrenia drugs ,0.0153,1,termluster.topn5.3.qld.rm3,0.0196,common schizophrenia drugs becaus drug medic work well symptom ,,,,,,,,,,,,,,,,,,,,,,,,
287,carotid cavernous fistula treatment ,0.0043,7,tagmee.topn3,0.0213,carotid cavernous fistula treatment Carotid cavernous fistula ,tagmee.topn3.replace,0.0213,Carotid cavernous fistula ,stem.lovins,0.0213,carotid cavern fistl treatm ,conceptluster.topn5.3.qld.rm3,0.0213,carotid cavernous fistula treatment carotid cavernous fistula ,thesaurus.topn3.replace,0.0106,carotid cavernous fistula  analysis cure ,stem.paicehusk,0.0106,carotid cavern fistul tre ,sensedisambiguation,0.0053,carotid cavernous erectile fistula fistulous withers treatment ,,,,,,
288,fidel castro ,0.0194,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,benefits of yoga ,0.0005,2,thesaurus.topn3,0.0018,benefits yoga  aid asset  ,sensedisambiguation,0.0007,benefits benefit of yoga ,,,,,,,,,,,,,,,,,,,,,
290,norway spruce ,0.0056,2,tagmee.topn3,0.0083,norway spruce Picea abies ,conceptluster.topn5.3.qld.rm3,0.0083,norway spruce picea abies ,,,,,,,,,,,,,,,,,,,,,
291,sangre de cristo mountains ,0.0,2,wiki.topn3,0.0001,sangre de cristo mountains landforms of mora county  new mexico landforms of taos county  new mexico wheeler peak  new mexico  Sangre de Cristo Mountains ,anchor.topn3.replace,0.0001,martha bryan ruste annisteen marxism d vleuten d yann erik tefou mountains santa mountains tao mountains ,,,,,,,,,,,,,,,,,,,,,
292,history of the electronic medical record ,0.0098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,educational advantages of social networking sites ,0.0008,2,conceptluster.topn5.3.qld.rm3,0.0013,educational advantages social networking sites educational game social networking service ,sensedisambiguation.replace,0.001,educational advantage of social network web site ,,,,,,,,,,,,,,,,,,,,,
294,flowering plants ,0.0039,1,sensedisambiguation,0.0041,flowering unfolding plants plant ,,,,,,,,,,,,,,,,,,,,,,,,
295,how to tie a windsor knot ,0.035,5,conceptnet.topn3,0.0386,tie windsor knot ,conceptnet.topn3.replace,0.0386,tie windsor knot ,termluster.topn5.3.qld.rm3,0.0368,tie windsor knot end half knot end half knot end half narrow ,word2vec.topn3,0.0355,tie windsor knot middleton kensington lancaster gordian ,glove.topn3,0.0354,tie windsor knot http   www co mo md us vwahr ,,,,,,,,,,,,
296,recycling lead acid batteries ,0.0016,8,wiki.topn3,0.0234,recycling lead acid batteries waste management concepts environmental health recycling Recycling motor vehicle batteries thermoplastic seal  mechanical  Lead acid battery ,sensedisambiguation,0.0234,recycling recycle lead tip acid batteries battery ,sensedisambiguation.replace,0.0207,recycle tip acid battery ,wiki.topn3.replace,0.0171,waste management concepts environmental health recycling Recycling motor vehicle batteries thermoplastic seal  mechanical  Lead acid battery ,glove.topn3,0.0165,recycling lead acid batteries waste sulfuric rechargeable ,thesaurus.topn3,0.0153,recycling lead acid batteries  convert reclaim  advantage edge  acerbic biting  array batch ,word2vec.topn3,0.0076,recycling lead acid batteries recyling hydrochloric   volt ,glove.topn3.replace,0.006999999999999999,waste lead sulfuric rechargeable ,,,
297,altitude sickness ,0.0147,8,wiki.topn3,0.025,altitude sickness lung volumes acclimatization salar duyuni Altitude sickness ,wordnet.topn3,0.0242,altitude sickness ALT EL illness nausea ,sensedisambiguation,0.023,altitude elevation sickness ,glove.topn3,0.0224,altitude sickness elevation illness em   ,wiki.topn3.replace,0.0216,lung volumes acclimatization salar duyuni Altitude sickness ,thesaurus.topn3,0.0193,altitude sickness  distance elevation  ailment disease ,word2vec.topn3,0.0174,altitude sickness high altitude illness ,sensedisambiguation.replace,0.0148,elevation sickness ,,,
298,medical care and jehovah s witnesses ,0.0135,1,relevancefeedback.topn10.qld.rm3,0.0159,medical care and jehovah s witnesses wit blood medic view ,,,,,,,,,,,,,,,,,,,,,,,,
299,pink slime in ground beef ,0.0169,1,wiki.topn3,0.0228,pink slime ground beef food safety and inspection service beef products corn refiners association Pink slime sour cream cold cut club sandwich Ground beef ,,,,,,,,,,,,,,,,,,,,,,,,
300,how to find the mean ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
