qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12
233,hair dye ,0.0065,3,tagmee.topn3,0.0111,hair dye Hair coloring ,conceptluster.topn5.3.bm25,0.0111,hair dye hair coloring ,anchor.topn3,0.0087,hair dye afro lik frizzli stinging  dye victoria cy            dye  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,dark chocolate health benefits ,0.0766,1,docluster.topn10.3.bm25,0.0813,dark chocolate health benefits chocol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,ham radio ,0.0119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,symptoms of mad cow disease in humans ,0.1123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,lump in throat ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,george bush sr bio ,0.0109,6,tagmee.topn3,0.0733,george bush sr bio George H  W  Bush ,conceptluster.topn5.3.bm25,0.0733,george bush sr bio george h  w  bush ,relevancefeedback.topn10.bm25,0.0335,george bush sr bio against clinton googl law nelson topic      judg ,termluster.topn5.3.bm25,0.0251,george bush sr bio bush georg ,wordnet.topn3.replace,0.0198,George IV George I George II scrub George Walker Bush Sr atomic number    steradian bio ,tagmee.topn3.replace,0.0125,George H  W  Bush ,,,,,,,,,,,,,,,,,,
239,frank lloyd wright biography ,0.0564,3,relevancefeedback.topn10.bm25,0.0606,frank lloyd wright biography sullivan i fallingwat architectur ,conceptluster.topn5.3.bm25,0.0583,frank lloyd wright biography frank lloyd wright ,wiki.topn3,0.0566,frank lloyd wright biography template frank lloyd wright prairischool people from richland center  wisconsin Frank Lloyd Wright template frank lloyd wright prairischool people from richland center  wisconsin Frank Lloyd Wright ,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,presidential middle names ,0.0027,1,sensedisambiguation,0.0067,presidential middle names name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,what is a wiki ,0.0194,1,docluster.topn10.3.bm25,0.0481,what is a wiki page ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,cannellini beans ,0.0015,9,word2vec.topn3,0.0069,cannellini beans borlotti haricot garbanzo fava ,wordnet.topn3,0.0058,cannellini beans bean plant noggin bonce ,relevancefeedback.topn10.bm25,0.0048,cannellini beans bean      cuisin i ,termluster.topn5.3.bm25,0.0035,cannellini beans bean food recip recip food cannellini ,conceptluster.topn5.3.bm25,0.003,cannellini beans navy bean ,docluster.topn10.3.bm25,0.0026,cannellini beans i ,tagmee.topn3,0.0025,cannellini beans Navy bean Navy bean ,sensedisambiguation,0.0023,cannellini beans bean ,word2vec.topn3.replace,0.0023,borlotti haricot garbanzo fava ,,,,,,,,,
243,afghanistan flag ,0.0205,1,wordnet.topn3,0.0322,afghanistan flag Islamic State of Afghanistan droop signal flag masthead ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,old town scottsdale ,0.0612,1,sensedisambiguation,0.0859,old previous town township scottsdale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,roosevelt island ,0.004,1,termluster.topn5.3.bm25,0.0069,roosevelt island island new view roosevelt new view ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,civil war battles in South Carolina ,0.0084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,rain man ,0.0018,1,wiki.topn3,0.0038,rain man american beauty       film  as good as it gets thwar of throses  film  Rain Man ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,eggs shelf life ,0.0013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,occupational therapist ,0.0075,4,wiki.topn3,0.0193,occupational therapist activities of daily living systematic review human development  biology  Occupational therapist ,wiki.topn3.replace,0.0077,activities of daily living systematic review human development  biology  Occupational therapist ,relevancefeedback.topn10.bm25,0.0077,occupational therapist occup      ,docluster.topn10.3.bm25,0.0077,occupational therapist occup ,,,,,,,,,,,,,,,,,,,,,,,,
250,ford edge problems ,0.0026,6,stem.trunc4,0.05,ford edge prob ,stem.trunc5,0.05,ford edge probl ,tagmee.topn3,0.0125,ford edge problems Ford Edge ,relevancefeedback.topn10.bm25,0.0125,ford edge problems i edg post car ,conceptluster.topn5.3.bm25,0.0125,ford edge problems ford edge ,termluster.topn5.3.bm25,0.0029,ford edge problems car edg vehicl vehicl problem new vehicl new model ,,,,,,,,,,,,,,,,,,
251,identifying spider bites ,0.003,6,relevancefeedback.topn10.bm25,0.0082,identifying spider bites amp i brown bite ,word2vec.topn3,0.006,identifying spider bites locating determining assessing arachnid tarantula bitten ,tagmee.topn3,0.006,identifying spider bites Spider Spider bite ,conceptluster.topn5.3.bm25,0.006,identifying spider bites spider bite spider ,docluster.topn10.3.bm25,0.005,identifying spider bites brown ,termluster.topn5.3.bm25,0.0038,identifying spider bites spider mai brown bite identifi mai spider mai identifi ,,,,,,,,,,,,,,,,,,
252,history of orcas island ,0.0478,2,tagmee.topn3,0.0507,history orcas island Orcas Island ,conceptluster.topn5.3.bm25,0.0507,history orcas island orcas island ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,tooth abscess ,0.0263,3,tagmee.topn3,0.0332,tooth abscess Dental abscess ,conceptluster.topn5.3.bm25,0.0332,tooth abscess dental abscess ,termluster.topn5.3.bm25,0.0289,tooth abscess abscess dental tooth dental ,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,barrett s esophagus ,0.0027,2,docluster.topn10.3.bm25,0.0046,barrett s esophagus esophagu ,termluster.topn5.3.bm25,0.0028,barrett  s esophagus cancer diseas esophag stomach reflux mai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,teddy bears ,0.0051,2,sensedisambiguation,0.0065,teddy bears bear ,docluster.topn10.3.bm25,0.0065,teddy bears bear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,patron saint of mental illness ,0.0712,1,termluster.topn5.3.bm25,0.0716,patron saint mental illness cathol inform list book holi ill book holi ill saint mother mental ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,holes by louis sachar ,0.0541,4,tagmee.topn3,0.0587,holes louis sachar Holes  film  Louis Sachar ,conceptluster.topn5.3.bm25,0.0587,holes louis sachar holes film louis sachar ,relevancefeedback.topn10.bm25,0.0562,holes by louis sachar hole book titl mitchel davi i ,tagmee.topn3.replace,0.056,Holes  film  Louis Sachar ,,,,,,,,,,,,,,,,,,,,,,,,
258,hip roof ,0.0186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,carpenter bee ,0.0644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,the american revolutionary ,0.0225,4,tagmee.topn3,0.0426,american revolutionary Americans American Revolution ,conceptluster.topn5.3.bm25,0.0426,american revolutionary american revolution americans ,wiki.topn3,0.0417,american revolutionary american people immigration to the united states ethnigroups in the united states Americans     s conflicts     s conflicts american revolution American Revolution ,docluster.topn10.3.bm25,0.0273,the american revolutionary war ,,,,,,,,,,,,,,,,,,,,,,,,
261,folk remedies sore throat ,0.0497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,balding cure ,0.0047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,evidence for evolution ,0.0206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,tribe formerly living in alabama ,0.0317,4,conceptnet.topn3,0.044,tribe formerly living alabama chief group home room house a state ,tagmee.topn3,0.0428,tribe formerly living alabama Tribe  Native American  Alabama ,conceptluster.topn5.3.bm25,0.0428,tribe formerly living alabama alabama tribe native american ,glove.topn3,0.0425,tribe formerly living alabama tribal previously known mississippi tennessee ,,,,,,,,,,,,,,,,,,,,,,,,
265,F  tornado ,0.0027,6,wiki.topn3,0.0201,f  tornado enhanced fujita scale tornadoes in japan list of derecho events Fujita scale fujita scale tornado tornadogenesis Tornado ,wiki.topn3.replace,0.0193,enhanced fujita scale tornadoes in japan list of derecho events Fujita scale fujita scale tornado tornadogenesis Tornado ,termluster.topn5.3.bm25,0.0091,f  tornado mai ,tagmee.topn3,0.0068,f  tornado Fujita scale Tornado ,conceptluster.topn5.3.bm25,0.0068,f  tornado fujita scale tornado ,tagmee.topn3.replace,0.005,Fujita scale Tornado ,,,,,,,,,,,,,,,,,,
266,symptoms of heart attack ,0.0116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,feliz navidad lyrics ,0.002,7,wiki.topn3,0.0118,feliz navidad lyrics sangrlatina el amor dmi vida  song  llegar a ti Feliz Navidad  song  ,wiki.topn3.replace,0.0118,sangrlatina el amor dmi vida  song  llegar a ti Feliz Navidad  song  ,sensedisambiguation,0.0059,feliz navidad lyrics lyric ,conceptnet.topn3,0.0059,feliz navidad lyrics song music ,relevancefeedback.topn10.bm25,0.0039,feliz navidad lyrics christma      lyric hispan i   ,wordnet.topn3,0.0024,feliz navidad lyrics lyric poem language ,stem.paicehusk,0.0024,fel navidad lyric ,,,,,,,,,,,,,,,
268,benefits of running ,0.0117,2,tagmee.topn3,0.0172,benefits running Health Running ,conceptluster.topn5.3.bm25,0.0172,benefits running health running ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,marshall county schools ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,sun tzu ,0.0158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,halloween activities for middle school ,0.0022,7,tagmee.topn3.replace,0.0667,Halloween Middle school ,stem.lovins,0.0667,halloween act for middl school ,stem.paicehusk,0.0667,halloween act for middl school ,wiki.topn3,0.0167,halloween activities middle school halloween halloween practices halloween events Halloween elementary and primary schools high school secondary school Middle school ,tagmee.topn3,0.0167,halloween activities middle school Halloween Middle school ,conceptluster.topn5.3.bm25,0.0167,halloween activities middle school halloween middle school ,wiki.topn3.replace,0.0095,halloween halloween practices halloween events Halloween elementary and primary schools high school secondary school Middle school ,,,,,,,,,,,,,,,
272,dreams interpretation ,0.0142,5,tagmee.topn3,0.0143,dreams interpretation Dream Dream interpretation ,tagmee.topn3.replace,0.0143,Dream Dream interpretation ,relevancefeedback.topn10.bm25,0.0143,dreams interpretation dream ,docluster.topn10.3.bm25,0.0143,dreams interpretation dream ,conceptluster.topn5.3.bm25,0.0143,dreams interpretation dream dream interpretation ,,,,,,,,,,,,,,,,,,,,,
273,wilson s disease ,0.0261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,golf instruction ,0.0073,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,uss cole ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,how has african american music influence history ,0.0061,6,tagmee.topn3.replace,0.0244,African Americans African American music Music Social influence History ,tagmee.topn3,0.023,african american music influence history African Americans African American music Music Social influence History ,conceptluster.topn5.3.bm25,0.023,african american music influence history history music african americans social influence african american music ,wiki.topn3,0.0114,african american music influence history African Americans naacp imagaward   hall of famaward lift every voicand sing thraelettes African American music music entertainment dance Music conformity attitud psychology  trust  social sciences  Social influence history academidisciplines literature History ,wiki.topn3.replace,0.0102,African Americans naacp imagaward   hall of famaward lift every voicand sing thraelettes African American music music entertainment dance Music conformity attitud psychology  trust  social sciences  Social influence history academidisciplines literature History ,termluster.topn5.3.bm25,0.0068,african american music influence history new black commun histori centuri influenc also cultur develop world tradit peopl world tradit peopl ,,,,,,,,,,,,,,,,,,
277,bewitched cast ,0.0001,4,relevancefeedback.topn10.bm25,0.0004,bewitched cast tv movi bewitch film her       juli bill ,tagmee.topn3,0.0002,bewitched cast Bewitched       film  Robots       film  ,docluster.topn10.3.bm25,0.0002,bewitched cast movi her ,conceptluster.topn5.3.bm25,0.0002,bewitched cast bewitched      film robots      film ,,,,,,,,,,,,,,,,,,,,,,,,
278,mister rogers ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,game theory ,0.0384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,view my internet history ,0.0104,1,tagmee.topn3.replace,0.0117,Internet History of the Internet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,ketogenic diet ,0.0319,1,anchor.topn3,0.0361,ketogenic diet low carbohydrate  lantdag finland åbo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,nasa interplanetary missions ,0.0386,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,hayrides in pa ,0.0606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,where to find morel mushrooms ,0.0596,1,termluster.topn5.3.bm25,0.0627,find morel mushrooms hunt look make find hunt look year season morel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,magnesium rich foods ,0.0228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,common schizophrenia drugs ,0.0174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,carotid cavernous fistula treatment ,0.0213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,fidel castro ,0.0216,2,termluster.topn5.3.bm25,0.024,fidel castro castro cuban cuba cuban fidel cuba ,glove.topn3,0.0231,fidel castro castro cuban fidel cuban ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,benefits of yoga ,0.0005,1,relevancefeedback.topn10.bm25,0.0037,benefits of yoga medit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,norway spruce ,0.0167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,sangre de cristo mountains ,0.0227,3,thesaurus.topn3,0.0455,sangre de cristo mountains     bluff cliff ,thesaurus.topn3.replace,0.0455,sangre de cristo  bluff cliff ,relevancefeedback.topn10.bm25,0.0455,sangre de cristo mountains colorado peak size co mexico coupon counti ,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,history of the electronic medical record ,0.0224,2,tagmee.topn3,0.0261,history electronic medical record Electronic health record ,conceptluster.topn5.3.bm25,0.0261,history electronic medical record electronic health record ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,educational advantages of social networking sites ,0.0089,3,tagmee.topn3,0.0101,educational advantages social networking sites Educational game Social networking service Social networking service ,sensedisambiguation.replace,0.009000000000000001,educational advantage of social network web site ,conceptluster.topn5.3.bm25,0.009000000000000001,educational advantages social networking sites educational game social networking service ,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,flowering plants ,0.0034,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,how to tie a windsor knot ,0.0653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,recycling lead acid batteries ,0.0298,1,relevancefeedback.topn10.bm25,0.0307,recycling lead acid batteries batteri recycl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,altitude sickness ,0.0175,4,wiki.topn3,0.0242,altitude sickness lung volumes acclimatization salar duyuni Altitude sickness ,wiki.topn3.replace,0.0233,lung volumes acclimatization salar duyuni Altitude sickness ,sensedisambiguation,0.0228,altitude elevation sickness ,termluster.topn5.3.bm25,0.02,altitude sickness symptom sick mountain symptom mountain medicin ,,,,,,,,,,,,,,,,,,,,,,,,
298,medical care and jehovah s witnesses ,0.0173,2,docluster.topn10.3.bm25,0.0206,medical care and jehovah s witnesses wit blood ,relevancefeedback.topn10.bm25,0.0177,medical care and jehovah s witnesses wit blood medic post view ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,pink slime in ground beef ,0.0175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,how to find the mean ,0.0,4,wiki.topn3,0.0002,find mean ,tagmee.topn3,0.0002,find mean ,conceptluster.topn5.3.bm25,0.0002,find mean ,termluster.topn5.3.bm25,0.0001,find mean mean new find new ,,,,,,,,,,,,,,,,,,,,,,,,
