qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
220,nba records ,0.0004,2,thesaurus.topn3,0.0047,nba records   document evidence ,sensedisambiguation,0.0005,nba records record ,,,,,,,,,,,,,,,,,,,,,,,,
221,electoral college      results ,0.0781,2,relevancefeedback.topn10.bm25.rm3,0.0782,electoral college      results elect ,docluster.topn10.3.bm25.rm3,0.0782,electoral college      results elect ,,,,,,,,,,,,,,,,,,,,,,,,
222,male menopause ,0.1186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,usda food pyramid ,0.129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,making chicken soup from scratch ,0.0169,2,conceptnet.topn3,0.0178,making chicken soup scratch ,conceptnet.topn3.replace,0.0178,making chicken soup scratch ,,,,,,,,,,,,,,,,,,,,,,,,
225,black and gold ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,traverse city ,0.0019,8,tagmee.topn3,0.033,traverse city Traverse City  Michigan ,conceptluster.topn5.3.bm25.rm3,0.033,traverse city traverse city michigan ,tagmee.topn3.replace,0.025,Traverse City  Michigan ,glove.topn3,0.018000000000000002,traverse city town ,docluster.topn10.3.bm25.rm3,0.0112,traverse city travers ,glove.topn3.replace,0.0064,traverse town ,thesaurus.topn3,0.0057,traverse city  bisect crisscross  burghal citified ,relevancefeedback.topn10.bm25.rm3,0.0036,traverse city travers citi     mi more ,,,,,,
227,i will survive lyrics ,0.061,8,termluster.topn5.3.bm25.rm3,0.0839,survive lyrics lyric know surviv know ,conceptluster.topn5.3.bm25.rm3,0.0762,survive lyrics lyrics survive survive ,sensedisambiguation,0.0756,i will survive lyrics lyric ,anchor.topn3,0.0748,survive lyrics ,conceptnet.topn3,0.0748,survive lyrics ,anchor.topn3.replace,0.0748,survive lyrics ,conceptnet.topn3.replace,0.0748,survive lyrics ,tagmee.topn3,0.0614,survive lyrics I Will Survive A Will to Survive Lyrics ,,,,,,
228,hawaiian volcano observatories ,0.0862,3,wiki.topn3,0.0989,hawaiian volcano observatories Hawaiian narrative volcanoes magma volcanirocks Volcano observatories astronomical observatories telescope Observatory ,relevancefeedback.topn10.bm25.rm3,0.0959,hawaiian volcano observatories hvo from o lava ,tagmee.topn3.replace,0.0894,Hawaiian narrative Volcano Observatory ,,,,,,,,,,,,,,,,,,,,,
229,beef stroganoff recipe ,0.1032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,world s biggest dog ,0.0378,2,docluster.topn10.3.bm25.rm3,0.0785,world s biggest dog world ,termluster.topn5.3.bm25.rm3,0.0709,world  s biggest dog biggest dog new dog new world biggest new world ,,,,,,,,,,,,,,,,,,,,,,,,
231,what are the seven deadly sins ,0.0511,4,wordnet.topn3,0.0806,seven deadly sins heptad septenary baneful mortal lethal boob blunder ,relevancefeedback.topn10.bm25.rm3,0.0747,what are the seven deadly sins comment post    sin ,docluster.topn10.3.bm25.rm3,0.0747,what are the seven deadly sins comment    post sin ,glove.topn3,0.0648,seven deadly sins eight five fatal attacks transgressions misdeeds ,,,,,,,,,,,,,,,,,,
232,hurricane Irene flooding in manville nj ,0.1182,2,stem.lovins,0.136,hurrican ir flood in manvil nj ,stem.paicehusk,0.1341,hur ir flood in manvil nj ,,,,,,,,,,,,,,,,,,,,,,,,
233,hair dye ,0.0039,2,anchor.topn3,0.0089,hair dye afro lik frizzli stinging  dye victoria cy            dye  ,word2vec.topn3,0.0049,hair dye hairstyle dyed ,,,,,,,,,,,,,,,,,,,,,,,,
234,dark chocolate health benefits ,0.0803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,ham radio ,0.0357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,symptoms of mad cow disease in humans ,0.122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,lump in throat ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,george bush sr bio ,0.0365,2,tagmee.topn3,0.0701,george bush sr bio George H  W  Bush ,conceptluster.topn5.3.bm25.rm3,0.0701,george bush sr bio george h  w  bush ,,,,,,,,,,,,,,,,,,,,,,,,
239,frank lloyd wright biography ,0.0882,1,termluster.topn5.3.bm25.rm3,0.0919,frank lloyd wright biography architect book build architect book build architect book build ,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,presidential middle names ,0.0,4,word2vec.topn3,0.0008,presidential middle names presidental vice presidential upper mid nicknames ,wordnet.topn3.replace,0.0004,presidential in between midsection cite appoint mention ,word2vec.topn3.replace,0.0004,presidental vice presidential upper mid nicknames ,sensedisambiguation,0.0001,presidential middle names name ,,,,,,,,,,,,,,,,,,
241,what is a wiki ,0.0003,9,thesaurus.topn3,0.0019,wiki  ,wordnet.topn3,0.0019,wiki ,tagmee.topn3,0.0019,wiki Wiki ,conceptnet.topn3,0.0019,wiki ,thesaurus.topn3.replace,0.0019,wiki ,wordnet.topn3.replace,0.0019,wiki ,tagmee.topn3.replace,0.0019,Wiki ,conceptnet.topn3.replace,0.0019,wiki ,conceptluster.topn5.3.bm25.rm3,0.0019,wiki wiki ,,,
242,cannellini beans ,0.0023,10,word2vec.topn3,0.0074,cannellini beans borlotti haricot garbanzo fava ,wordnet.topn3,0.0042,cannellini beans bean plant noggin bonce ,word2vec.topn3.replace,0.0041,borlotti haricot garbanzo fava ,conceptluster.topn5.3.bm25.rm3,0.0036,cannellini beans navy bean ,thesaurus.topn3,0.0035,cannellini beans   berry grain ,relevancefeedback.topn10.bm25.rm3,0.0035,cannellini beans i bean cuisin ,docluster.topn10.3.bm25.rm3,0.0034,cannellini beans i ,tagmee.topn3,0.0032,cannellini beans Navy bean Navy bean ,sensedisambiguation,0.0032,cannellini beans bean ,termluster.topn5.3.bm25.rm3,0.0025,cannellini beans abl absolut achiev yummi yum you r 
243,afghanistan flag ,0.0167,1,wordnet.topn3,0.0206,afghanistan flag Islamic State of Afghanistan droop signal flag masthead ,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,old town scottsdale ,0.0233,3,sensedisambiguation,0.0466,old previous town township scottsdale ,tagmee.topn3,0.0407,old town scottsdale Alexandria  Virginia Scottsdale  Arizona ,conceptluster.topn5.3.bm25.rm3,0.0407,old town scottsdale alexandria virginia scottsdale arizona ,,,,,,,,,,,,,,,,,,,,,
245,roosevelt island ,0.0032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,civil war battles in South Carolina ,0.0023,2,wiki.topn3,0.0048,civil war battles south carolina guerrilla warfare dictator rebellion Civil war battles siege raid  military  Battle list of colonial governors of south carolina william rhett robert johnson  governor  Province of South Carolina ,tagmee.topn3.replace,0.003,Civil war Battle Province of South Carolina ,,,,,,,,,,,,,,,,,,,,,,,,
247,rain man ,0.0002,1,wiki.topn3,0.0004,rain man american beauty       film  as good as it gets thwar of throses  film  Rain Man ,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,eggs shelf life ,0.0019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,occupational therapist ,0.0022,2,wiki.topn3,0.0125,occupational therapist activities of daily living systematic review human development  biology  Occupational therapist ,wiki.topn3.replace,0.0049,activities of daily living systematic review human development  biology  Occupational therapist ,,,,,,,,,,,,,,,,,,,,,,,,
250,ford edge problems ,0.0028,3,stem.trunc4,0.05,ford edge prob ,stem.trunc5,0.05,ford edge probl ,docluster.topn10.3.bm25.rm3,0.0042,ford edge problems car ,,,,,,,,,,,,,,,,,,,,,
251,identifying spider bites ,0.0119,3,tagmee.topn3,0.013,identifying spider bites Spider Spider bite ,conceptluster.topn5.3.bm25.rm3,0.013,identifying spider bites spider bite spider ,termluster.topn5.3.bm25.rm3,0.0126,identifying spider bites bite black brown widow type treatment ,,,,,,,,,,,,,,,,,,,,,
252,history of orcas island ,0.0514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,tooth abscess ,0.0277,2,tagmee.topn3,0.0279,tooth abscess Dental abscess ,conceptluster.topn5.3.bm25.rm3,0.0279,tooth abscess dental abscess ,,,,,,,,,,,,,,,,,,,,,,,,
254,barrett s esophagus ,0.0045,3,termluster.topn5.3.bm25.rm3,0.0183,barrett  s esophagus cancer diseas esophag upper treat tissu ,conceptnet.topn3,0.0065,barrett  s esophagus anglo norman gullet ,docluster.topn10.3.bm25.rm3,0.0055,barrett s esophagus esophagu ,,,,,,,,,,,,,,,,,,,,,
255,teddy bears ,0.0003,4,glove.topn3,0.001,teddy bears pyoot http   www mediabynumbers com resemblance ,wordnet.topn3,0.0008,teddy bears slip shimmy shift yield tolerate deport ,word2vec.topn3,0.0004,teddy bears teddybear gummi bore ,termluster.topn5.3.bm25.rm3,0.0004,teddy bears vermont stuf love vermont teddi stuf ,,,,,,,,,,,,,,,,,,
256,patron saint of mental illness ,0.0735,2,tagmee.topn3,0.0742,patron saint mental illness Patron saint Mental disorder ,conceptluster.topn5.3.bm25.rm3,0.0742,patron saint mental illness patron saint mental disorder ,,,,,,,,,,,,,,,,,,,,,,,,
257,holes by louis sachar ,0.0592,1,thesaurus.topn3,0.0639,holes louis sachar  break crack   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,hip roof ,0.0094,1,anchor.topn3,0.0144,hip roof motown hip hop koichiyuko hipped  gable end    krüppelwalmdach    ,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,carpenter bee ,0.0573,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,the american revolutionary ,0.0182,8,relevancefeedback.topn10.bm25.rm3,0.0446,the american revolutionary war revolutionari histori chapter british ,tagmee.topn3.replace,0.0439,Americans American Revolution ,stem.krovetz,0.0428,the america revolutionary ,termluster.topn5.3.bm25.rm3,0.0327,american revolutionary armi battl revolutionari war dure battl ,tagmee.topn3,0.0246,american revolutionary Americans American Revolution ,conceptluster.topn5.3.bm25.rm3,0.0246,american revolutionary american revolution americans ,word2vec.topn3,0.0216,american revolutionary british america revolution radical ,wiki.topn3,0.0208,american revolutionary american people immigration to the united states ethnigroups in the united states Americans     s conflicts     s conflicts american revolution American Revolution ,,,,,,
261,folk remedies sore throat ,0.0036,2,sensedisambiguation.replace,0.0238,tribe remedy sore throat ,sensedisambiguation,0.016,folk tribe remedies remedy sore throat ,,,,,,,,,,,,,,,,,,,,,,,,
262,balding cure ,0.0042,3,relevancefeedback.topn10.bm25.rm3,0.0047,balding cure hair ,docluster.topn10.3.bm25.rm3,0.0047,balding cure hair ,termluster.topn5.3.bm25.rm3,0.0043,balding cure treatment stop rogain bald cheap discount ,,,,,,,,,,,,,,,,,,,,,
263,evidence for evolution ,0.0048,2,termluster.topn5.3.bm25.rm3,0.016,evidence evolution year would well word transit theori ,stem.paicehusk,0.0064,evid for evolv ,,,,,,,,,,,,,,,,,,,,,,,,
264,tribe formerly living in alabama ,0.0283,5,conceptnet.topn3,0.0405,tribe formerly living alabama chief group home room house a state ,tagmee.topn3,0.036000000000000004,tribe formerly living alabama Tribe  Native American  Alabama ,conceptluster.topn5.3.bm25.rm3,0.036000000000000004,tribe formerly living alabama alabama tribe native american ,wordnet.topn3,0.034,tribe formerly living alabama kin federation of tribes at one time erst be populate experience Heart of Dixie Camellia State ,sensedisambiguation,0.0305,tribe formerly once living survive in alabama ,,,,,,,,,,,,,,,
265,F  tornado ,0.0033,5,wiki.topn3.replace,0.0081,enhanced fujita scale tornadoes in japan list of derecho events Fujita scale fujita scale tornado tornadogenesis Tornado ,wiki.topn3,0.0065,f  tornado enhanced fujita scale tornadoes in japan list of derecho events Fujita scale fujita scale tornado tornadogenesis Tornado ,tagmee.topn3,0.0048,f  tornado Fujita scale Tornado ,conceptluster.topn5.3.bm25.rm3,0.0048,f  tornado fujita scale tornado ,tagmee.topn3.replace,0.0046,Fujita scale Tornado ,,,,,,,,,,,,,,,
266,symptoms of heart attack ,0.0108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,feliz navidad lyrics ,0.0029,8,wiki.topn3,0.0118,feliz navidad lyrics sangrlatina el amor dmi vida  song  llegar a ti Feliz Navidad  song  ,sensedisambiguation,0.0118,feliz navidad lyrics lyric ,thesaurus.topn3,0.0059,feliz navidad lyrics    book libretto ,wordnet.topn3,0.0059,feliz navidad lyrics lyric poem language ,relevancefeedback.topn10.bm25.rm3,0.0059,feliz navidad lyrics christma lyric hispan        i ,anchor.topn3,0.0039,feliz navidad lyrics oeuvray smit aprov ganhando advertencia bayoneta corportiva ,wiki.topn3.replace,0.0039,sangrlatina el amor dmi vida  song  llegar a ti Feliz Navidad  song  ,stem.paicehusk,0.0039,fel navidad lyric ,,,,,,
268,benefits of running ,0.0091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,marshall county schools ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,sun tzu ,0.0052,3,sensedisambiguation,0.0133,sun sunlight tzu ,thesaurus.topn3,0.0118,sun tzu  star sunlight  ,relevancefeedback.topn10.bm25.rm3,0.0099,sun tzu wu rule situat ,,,,,,,,,,,,,,,,,,,,,
271,halloween activities for middle school ,0.0008,6,stem.lovins,0.0667,halloween act for middl school ,stem.paicehusk,0.0667,halloween act for middl school ,tagmee.topn3.replace,0.0333,Halloween Middle school ,wiki.topn3.replace,0.0044,halloween halloween practices halloween events Halloween elementary and primary schools high school secondary school Middle school ,tagmee.topn3,0.0009,halloween activities middle school Halloween Middle school ,conceptluster.topn5.3.bm25.rm3,0.0009,halloween activities middle school halloween middle school ,,,,,,,,,,,,
272,dreams interpretation ,0.0156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,wilson s disease ,0.0184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,golf instruction ,0.0035,2,word2vec.topn3.replace,0.0118,golfers instruction ,word2vec.topn3,0.0079,golf instruction golfers ,,,,,,,,,,,,,,,,,,,,,,,,
275,uss cole ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,how has african american music influence history ,0.0067,7,tagmee.topn3.replace,0.0172,African Americans African American music Music Social influence History ,tagmee.topn3,0.0171,african american music influence history African Americans African American music Music Social influence History ,conceptluster.topn5.3.bm25.rm3,0.0171,african american music influence history history music african americans social influence african american music ,wiki.topn3.replace,0.0103,African Americans naacp imagaward   hall of famaward lift every voicand sing thraelettes African American music music entertainment dance Music conformity attitud psychology  trust  social sciences  Social influence history academidisciplines literature History ,wiki.topn3,0.0099,african american music influence history African Americans naacp imagaward   hall of famaward lift every voicand sing thraelettes African American music music entertainment dance Music conformity attitud psychology  trust  social sciences  Social influence history academidisciplines literature History ,glove.topn3,0.0086,african american music influence history africa u s  songs historical ever ,termluster.topn5.3.bm25.rm3,0.0068,african american music influence history also american cultur african also cultur african also american world unit state work wai tradit ,,,,,,,,,
277,bewitched cast ,0.0003,5,docluster.topn10.3.bm25.rm3,0.0008,bewitched cast movi her ,termluster.topn5.3.bm25.rm3,0.0007,bewitched cast show samantha movi bewitch endora movi ,relevancefeedback.topn10.bm25.rm3,0.0006,bewitched cast movi film her s tv â bill bewitch ,tagmee.topn3,0.0005,bewitched cast Bewitched       film  Robots       film  ,conceptluster.topn5.3.bm25.rm3,0.0005,bewitched cast bewitched      film robots      film ,,,,,,,,,,,,,,,
278,mister rogers ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,game theory ,0.0322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,view my internet history ,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,ketogenic diet ,0.0287,2,termluster.topn5.3.bm25.rm3,0.0356,ketogenic diet peopl low loss comment weight cite ,wiki.topn3,0.0345,ketogenic diet hypertriglyceridemia low fat diet hyperinsulinism Ketogenic diet ,,,,,,,,,,,,,,,,,,,,,,,,
282,nasa interplanetary missions ,0.0337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,hayrides in pa ,0.0606,1,glove.topn3,0.0613,hayrides pa mangxamba   aou   hnkj pa  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,where to find morel mushrooms ,0.0641,1,termluster.topn5.3.bm25.rm3,0.0662,find morel mushrooms hunt look make find hunt look tast state spring ,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,magnesium rich foods ,0.0142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,common schizophrenia drugs ,0.0211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,carotid cavernous fistula treatment ,0.0213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,fidel castro ,0.0129,3,termluster.topn5.3.bm25.rm3,0.0201,fidel castro castro cuba cuban cuba cuban fidel ,word2vec.topn3,0.0135,fidel castro ezra mussolini castro fidel ,glove.topn3.replace,0.0134,castro cuban fidel cuban ,,,,,,,,,,,,,,,,,,,,,
289,benefits of yoga ,0.0004,5,thesaurus.topn3.replace,0.0009, aid asset yoga ,tagmee.topn3.replace,0.0008,Yoga Yoga ,word2vec.topn3,0.0006,benefits yoga advantages detriments meditation ashtanga ,sensedisambiguation,0.0005,benefits benefit of yoga ,termluster.topn5.3.bm25.rm3,0.0005,benefits yoga yoga vitamin vinyasa ashtanga benefit bikram ,,,,,,,,,,,,,,,
290,norway spruce ,0.0083,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,sangre de cristo mountains ,0.0455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,history of the electronic medical record ,0.0155,2,tagmee.topn3,0.0159,history electronic medical record Electronic health record ,conceptluster.topn5.3.bm25.rm3,0.0159,history electronic medical record electronic health record ,,,,,,,,,,,,,,,,,,,,,,,,
293,educational advantages of social networking sites ,0.0025,4,termluster.topn5.3.bm25.rm3,0.0091,educational advantages social networking sites twitter share onlin twitter share onlin commun network new web topic tool ,wiki.topn3.replace,0.005,hotseat  multiplayer mode  level editor simulation video game Educational game user generated content onlincommunity list of social networking websites Social networking service user generated content onlincommunity list of social networking websites Social networking service ,tagmee.topn3,0.0029,educational advantages social networking sites Educational game Social networking service Social networking service ,sensedisambiguation,0.0029,educational advantages advantage of social networking network sites web site ,,,,,,,,,,,,,,,,,,
294,flowering plants ,0.0017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,how to tie a windsor knot ,0.0469,1,docluster.topn10.3.bm25.rm3,0.0502,how to tie a windsor knot end ,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,recycling lead acid batteries ,0.0237,2,thesaurus.topn3,0.0246,recycling lead acid batteries  convert reclaim  advantage edge  acerbic biting  array batch ,termluster.topn5.3.bm25.rm3,0.0244,recycling lead acid batteries new lead center acid batteri center batteri center lead recycl new lead ,,,,,,,,,,,,,,,,,,,,,,,,
297,altitude sickness ,0.0223,6,docluster.topn10.3.bm25.rm3,0.0286,altitude sickness altitud ,sensedisambiguation,0.0244,altitude elevation sickness ,word2vec.topn3,0.0238,altitude sickness high altitude illness ,termluster.topn5.3.bm25.rm3,0.0237,altitude sickness symptom sick mountain symptom mountain medicin ,sensedisambiguation.replace,0.023,elevation sickness ,wiki.topn3,0.0229,altitude sickness lung volumes acclimatization salar duyuni Altitude sickness ,,,,,,,,,,,,
298,medical care and jehovah s witnesses ,0.0187,3,glove.topn3,0.0226,medical care jehovah  s witnesses doctors hospital health healthcare adherents em    s whose eyewitnesses ,tagmee.topn3,0.0224,medical care jehovah  s witnesses Health care Jehovah s Witnesses ,conceptluster.topn5.3.bm25.rm3,0.0224,medical care jehovah  s witnesses health care jehovah  s witnesses ,,,,,,,,,,,,,,,,,,,,,
299,pink slime in ground beef ,0.0152,1,wiki.topn3,0.0193,pink slime ground beef food safety and inspection service beef products corn refiners association Pink slime sour cream cold cut club sandwich Ground beef ,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,how to find the mean ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
