qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21,method.22,metric.22,query.22,method.23,metric.23,query.23,method.24,metric.24,query.24,method.25,metric.25,query.25,method.26,metric.26,query.26,method.27,metric.27,query.27,method.28,metric.28,query.28,method.29,metric.29,query.29,method.30,metric.30,query.30,method.31,metric.31,query.31,method.32,metric.32,query.32,method.33,metric.33,query.33
211,what is madagascar known for ,,27,stem.krovetz,0.0994,what is madagascar known for ,stem.lovins,0.0994,what is madagascar known for ,stem.porter,0.0994,what is madagascar known for ,stem.porter2,0.0994,what is madagascar known for ,stem.sstemmer,0.0994,what is madagascar known for ,relevancefeedback.topn10.qld,0.0994,what is madagascar known for ,docluster.topn10.3.qld,0.0994,what is madagascar known for ,bertqe.topn10.qld,0.0853,"{'what is madagascar known for': 1.5, 'madagascar kingdom': 1.0, '   01272010  madagascar renowned': 0.99814083197769, 'known verdant tropical': 0.99628166395538, 'one madagascar s famous': 0.9927957239135488, 'madagascar islandnation': 0.9918661399023937} ",tagmee.topn3,0.0758,madagascar known Madagascar ,conceptluster.topn5.3.qld,0.0758,madagascar known madagascar ,termluster.topn5.3.qld,0.0668,madagascar known island speci ,wiki.topn3,0.0587,madagascar known islands of madagascar madagascar southern africa Madagascar ,conceptnet.topn3,0.0571,madagascar known famous ,thesaurus.topn3,0.0312,madagascar known   accepted acknowledged ,wiki.topn3.replace,0.029,islands of madagascar madagascar southern africa Madagascar ,conceptnet.topn3.replace,0.0261,madagascar famous ,wordnet.topn3,0.0229,madagascar known Republic of Madagascar Malagasy Republic recognise sleep together get laid ,sensedisambiguation,0.018000000000000002,what is madagascar known sleep together for ,rm3.topn10.10.0.5.qld,0.0174,bank known frog kraus orchid what angraecum island conserv madagascar provinc speci ,tagmee.topn3.replace,0.0162,Madagascar ,glove.topn3,0.0064,madagascar known mauritius seychelles referred as ,anchor.topn3,0.0062,madagascar known gabon malagasi seychel r tist   merli d amsterdam  ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0061,"{'for': 2, 'known': 2, 'is': 2, 'what': 2, 'madagascar': 2, 'donor': 1.483, 'deposit': 1.392, 'usaid': 1.292, 'ep2': 1.25, 'neap': 1.208, 'apprais': 1.1, 'rapetosauru': 1.092, 'dappui': 1.092, 'madagascarmet': 1.067, 'participatori': 1.0} ",wordnet.topn3.replace,0.0031,Malagasy Republic Republic of Madagascar have it off get it on do it ,sensedisambiguation.replace,0.0026,what is madagascar sleep together for ,thesaurus.topn3.replace,0.0019,madagascar  accepted acknowledged ,anchor.topn3.replace,0.0001,gabon malagasi seychel r tist   merli d amsterdam  ,,,,,,,,,,,,,,,,,,
212,home theater systems ,,19,conceptnet.topn3,0.0013,home theater systems nest house place stage systems analysis ,rm3.topn10.10.0.5.qld,0.0005,wireless hometheat control acoust home system theater speaker surround remot sound dvd ,wiki.topn3,0.0004,home theater systems ,tagmee.topn3,0.0004,home theater systems ,stem.krovetz,0.0004,home theater system ,stem.porter,0.0004,home theater system ,stem.porter2,0.0004,home theater system ,stem.sstemmer,0.0004,home theater system ,relevancefeedback.topn10.qld,0.0004,home theater systems ,docluster.topn10.3.qld,0.0004,home theater systems ,conceptluster.topn5.3.qld,0.0004,home theater systems ,wordnet.topn3,0.0003,home theater systems home base interior household house dramaturgy field of operations scheme arrangement organisation ,sensedisambiguation,0.0003,home home plate theater systems system ,termluster.topn5.3.qld,0.0003,home theater systems audio sound speaker audio home sound wireless theater surround ,word2vec.topn3,0.0002,home theater systems house theatre sytems mechanisms ,sensedisambiguation.replace,0.0002,home plate theater system ,thesaurus.topn3,0.0001,home theater systems  central familiar  amphitheater arena  arrangement organization ,anchor.topn3,0.0001,home theater systems fiber to the hom windvr ninth inning  theatr  belka    asiayon ,stem.lovins,0.0001,hom theater system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,carpal tunnel syndrome ,,30,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0649,"{'syndrom': 2, 'tunnel': 2, 'carpal': 2, 'wrist': 1.321, 'nerv': 1.274, 'symptom': 1.226, 'disord': 1.21, 'caus': 1.167, 'median': 1.155, 'ligament': 1.095, 'releas': 1.071} ",rm3.topn10.10.0.5.qld,0.0399,syndrom wrist tunnel pain solut treatment carpal symptom hand therapi ,termluster.topn5.3.qld,0.0391,carpal tunnel syndrome caus finger hand carpal caus finger tunnel treatment therapi ,stem.lovins,0.0389,carp tunnel syndrom ,stem.paicehusk,0.0389,carp tunnel syndrom ,tagmee.topn3,0.0373,carpal tunnel syndrome Carpal tunnel syndrome ,sensedisambiguation,0.0373,carpal tunnel syndrome ,conceptnet.topn3,0.0373,carpal tunnel syndrome ,tagmee.topn3.replace,0.0373,Carpal tunnel syndrome ,sensedisambiguation.replace,0.0373,carpal tunnel syndrome ,conceptnet.topn3.replace,0.0373,carpal tunnel syndrome ,stem.krovetz,0.0373,carpal tunnel syndrome ,stem.porter,0.0373,carpal tunnel syndrome ,stem.porter2,0.0373,carpal tunnel syndrom ,stem.sstemmer,0.0373,carpal tunnel syndrome ,relevancefeedback.topn10.qld,0.0373,carpal tunnel syndrome ,docluster.topn10.3.qld,0.0373,carpal tunnel syndrome ,conceptluster.topn5.3.qld,0.0373,carpal tunnel syndrome carpal tunnel syndrome ,bertqe.topn10.qld,0.0366,"{'carpal tunnel syndrome': 1.0, 'information carpal tunnel syndrome': 0.982893450635386, 'tunnel syndrome carpal tunnel': 0.8054740957966764, 'carpal tunnel syndrome strikes ': 0.7478005865102639, 'syndrome  carpal tunnel syndrome': 0.39051808406647104} ",thesaurus.topn3,0.0232,carpal tunnel syndrome   channel hole  ailment disorder ,wordnet.topn3,0.0221,carpal tunnel syndrome wrist bone carpal bone burrow ,wordnet.topn3.replace,0.0107,carpal bone wrist bone burrow syndrome ,anchor.topn3,0.0096,carpal tunnel syndrome microstomia carpometacarp intercarp bhupathipur jægerkorp      ,wiki.topn3,0.0052,carpal tunnel syndrome mononeuropathies of upper limb sleep apnea avascular necrosis Carpal tunnel syndrome ,word2vec.topn3,0.0042,carpal tunnel syndrome cubital tarsal ,thesaurus.topn3.replace,0.0027,carpal  channel hole  ailment disorder ,wiki.topn3.replace,0.0008,mononeuropathies of upper limb sleep apnea avascular necrosis Carpal tunnel syndrome ,word2vec.topn3.replace,0.0001,cubital tarsal tunnel syndrome ,glove.topn3,0.0001,carpal tunnel syndrome js   sciatica bridge respiratory acute ,anchor.topn3.replace,0.0001,microstomia carpometacarp intercarp bhupathipur jægerkorp      syndrome ,,,,,,,,,
214,capital gains tax rate ,,29,conceptnet.topn3,0.1336,capital gains tax rate ,conceptnet.topn3.replace,0.1336,capital gains tax rate ,stem.krovetz,0.1336,capital gain tax rate ,stem.porter,0.1336,capit gain tax rate ,stem.porter2,0.1336,capit gain tax rate ,stem.sstemmer,0.1336,capital gain tax rate ,stem.trunc5,0.1336,capit gains tax rate ,relevancefeedback.topn10.qld,0.1336,capital gains tax rate ,docluster.topn10.3.qld,0.1336,capital gains tax rate ,tagmee.topn3,0.1275,capital gains tax rate Capital gains tax ,conceptluster.topn5.3.qld,0.1275,capital gains tax rate capital gains tax ,termluster.topn5.3.qld,0.1065,capital gains tax rate year tax rate year tax rate capit gain incom capit gain incom ,tagmee.topn3.replace,0.1043,Capital gains tax ,stem.paicehusk,0.0972,capit gain tax rat ,sensedisambiguation,0.0835,capital das kapital gains addition tax rate ,stem.trunc4,0.0833,capi gain tax rate ,anchor.topn3,0.0722,capital gains tax rate guy arnoux monetal imphy    puissanc      e            technic actions  theenduva investment grad ,bertqe.topn10.qld,0.051,"{'capital gains tax rate': 1.5, 'capital gains tax  150': 1.0, 'capital gains rate  5 ': 0.9970501474926253, '0  capital gains rate applies  p ': 0.9959439528023598, '20  top capital gains rate': 0.9944690265486725, 'gains rate 15   making': 0.9926253687315634} ",glove.topn3,0.0438,capital gains tax rate outskirts outside boosted income increases ,word2vec.topn3,0.0332,capital gains tax rate captial capitol losses taxation rate  ,stem.lovins,0.0203,capit gain tac rat ,thesaurus.topn3,0.0156,capital gains tax rate  central basic  achievement advance  contribution cost  amount estimate ,wordnet.topn3,0.013,capital gains tax rate working capital majuscule cap arrive at earn gather revenue enhancement taxation range value order ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0125,"{'rate': 2, 'tax': 2, 'capit': 2, 'gain': 2, 'percent': 1.419, 'incom': 1.283, 'increas': 1.196, 'revenu': 1.187, 'taxpay': 1.13, 'revenuemaxim': 1.04, 'upperincom': 1.03} ",rm3.topn10.10.0.5.qld,0.011,allow incom tax low invest amount corpor gain rate capit taxpay ,wiki.topn3,0.0057,capital gains tax rate taxation in poland taxation in kenya taxation in lithuania Capital gains tax ,wiki.topn3.replace,0.0007,taxation in poland taxation in kenya taxation in lithuania Capital gains tax ,word2vec.topn3.replace,0.0001,captial capitol losses taxation rate  ,sensedisambiguation.replace,0.0001,das kapital addition tax rate ,,,,,,,,,,,,
215,maryland department of natural resources ,,26,wordnet.topn3,0.0503,maryland department natural resources MD Old Line State section rude raw cancel imagination ,tagmee.topn3,0.0395,maryland department natural resources Maryland Department of Natural Resources ,tagmee.topn3.replace,0.0395,Maryland Department of Natural Resources ,sensedisambiguation.replace,0.0395,maryland department of natural resource ,stem.krovetz,0.0395,maryland department of natural resources ,stem.porter,0.0395,maryland depart of natur resourc ,stem.porter2,0.0395,maryland depart of natur resourc ,stem.sstemmer,0.0395,maryland department of natural resource ,relevancefeedback.topn10.qld,0.0395,maryland department of natural resources ,conceptluster.topn5.3.qld,0.0395,maryland department natural resources maryland department natural resources ,sensedisambiguation,0.027000000000000003,maryland department of natural resources resource ,docluster.topn10.3.qld,0.0178,maryland department of natural resources depart ,anchor.topn3,0.0176,maryland department natural resources maryland histori maryland educ arksansa mayotte presid nano fifth gener orientata baragg rivadavia   ,conceptnet.topn3,0.0114,maryland department natural resources MD a state Free State store section division ,stem.paicehusk,0.0074,maryland depart of nat resourc ,termluster.topn5.3.qld,0.0067,maryland department natural resources state resourc new state resourc new state new natur ,bertqe.topn10.qld,0.0059,"{'maryland department of natural resources': 1.5, 'maryland department natural resources ': 1.0, ' title  maryland department natural resources': 1.0, ' a   em  maryland department natural resources ': 1.0, 'natural resources  br   em  maryland': 0.8333333333333334, 'resources  em   br  maryland department': 0.8333333333333334} ",thesaurus.topn3,0.0051,maryland department natural resources   administration agency  common essential  assets backing ,wiki.topn3,0.0051,maryland department natural resources parks in harford county  maryland parks in caroline county  maryland gunpowder falls statpark Maryland Department of Natural Resources ,stem.lovins,0.0041,maryland departm of natur resourc ,glove.topn3,0.0035,maryland department natural resources virginia md  administration example expertise ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0031,"{'resourc': 2, 'natur': 2, 'of': 2, 'state': 2.0, 'depart': 2, 'maryland': 2, 'mdhr': 1.804, 'msa': 1.706, 'deed': 1.566, 'no': 1.294, 'easement': 1.135, 'ssu': 1.102, '191078': 1.044, '191074': 1.036} ",anchor.topn3.replace,0.003,maryland histori maryland educ arksansa mayotte presid nano fifth gener orientata baragg rivadavia   resources ,rm3.topn10.10.0.5.qld,0.0024,park depart natur fish polic maryland commiss licens wildlif conserv environment resourc ,wiki.topn3.replace,0.0012,parks in harford county  maryland parks in caroline county  maryland gunpowder falls statpark Maryland Department of Natural Resources ,conceptnet.topn3.replace,0.0001,MD a state Free State store section division natural resources ,,,,,,,,,,,,,,,,,,,,,
216,nicolas cage movies ,,30,bertqe.topn10.qld,0.0832,"{'nicolas cage movies': 1.5, 'first movie  nicolas cage': 1.0, 'cage new movies  nicolas cage': 1.0, 'nicolas cage films  steve martin': 0.5, 'movies nicolas cage  films': 0.5, 'movie  drive  h2   p   p  nicolas cage new movies': 0.5} ",conceptnet.topn3,0.0821,nicolas cage movies ,sensedisambiguation.replace,0.0821,nicolas cage movie ,conceptnet.topn3.replace,0.0821,nicolas cage movies ,stem.krovetz,0.0821,nicola cage movies ,stem.porter,0.0821,nicola cage movi ,stem.porter2,0.0821,nicola cage movi ,stem.sstemmer,0.0821,nicola cage movy ,relevancefeedback.topn10.qld,0.0821,nicolas cage movies ,termluster.topn5.3.qld,0.0768,nicolas cage movies new movi cage movi new nicola nicola new cage ,tagmee.topn3,0.0716,nicolas cage movies Nicolas Cage Pokémon  anime  ,conceptluster.topn5.3.qld,0.0716,nicolas cage movies nicolas cage pokémon anime ,sensedisambiguation,0.0681,nicolas cage movies movie ,docluster.topn10.3.qld,0.0681,nicolas cage movies movi ,wordnet.topn3,0.0489,nicolas cage movies John Cage coop moving picture moving picture show ,anchor.topn3,0.044,nicolas cage movies suppression   voter nueve     ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0412,"{'movi': 2, 'cage': 2, 'nicola': 2, 'var': 2.0, 'null': 1.765, 'cagl': 1.647, 'caggiano': 1.412, 'documentsearchwidgitsearchtyp': 1.353, 'documentwriteopt': 1.353, 'savedsearch': 1.294, 'savedscop': 1.294, 'documentsearchwidgitsortdropdownoptionslength': 1.294, 'newurl': 1.235, 'savedtag': 1.235} ",glove.topn3,0.0374,nicolas cage movies sarkozy prohertrib http   www mediabynumbers com films ,tagmee.topn3.replace,0.0313,Nicolas Cage Pokémon  anime  ,word2vec.topn3,0.0305,nicolas cage movies duarte josephine beatrice birdcage films ,thesaurus.topn3,0.0244,nicolas cage movies   crate enclosure  cinema feature ,stem.paicehusk,0.0238,nicola cag movy ,wordnet.topn3.replace,0.0173,nicolas John Cage picture moving picture show pic ,stem.trunc5,0.0131,nicol cage movie ,wiki.topn3,0.0075,nicolas cage movies brucwillis sandra bullock martin scorsese Nicolas Cage list of pokémon  black   whitepisodes yu gi oh  zexal beyblade Pokémon  anime  ,rm3.topn10.10.0.5.qld,0.0064,perlman nicola cage movi actor baldwin alec got poster film ,stem.trunc4,0.0027,nico cage movi ,anchor.topn3.replace,0.0012,nicolas suppression   voter nueve     movies ,thesaurus.topn3.replace,0.0001,nicolas  crate enclosure  cinema feature ,wiki.topn3.replace,0.0001,brucwillis sandra bullock martin scorsese Nicolas Cage list of pokémon  black   whitepisodes yu gi oh  zexal beyblade Pokémon  anime  ,,,,,,,,,
217,kids earth day activities ,,26,conceptnet.topn3,0.0856,kids earth day activities ,conceptnet.topn3.replace,0.0856,kids earth day activities ,stem.krovetz,0.0856,kid earth day activity ,stem.porter,0.0856,kid earth dai activ ,stem.porter2,0.0856,kid earth day activ ,stem.sstemmer,0.0856,kid earth day activity ,stem.trunc5,0.0856,kids earth day activ ,relevancefeedback.topn10.qld,0.0856,kids earth day activities ,bertqe.topn10.qld,0.0811,"{'kids earth day activities': 1.5, 'activities  earth day activities kids  earth': 1.0, 'earth day activities kids  title ': 1.0, 'day activities kids  earth day': 1.0, 'earth day activities preschool': 1.0, 'kids  earth day activities  earth day': 1.0} ",docluster.topn10.3.qld,0.0782,kids earth day activities dai ,termluster.topn5.3.qld,0.0676,kids earth day activities earth dai craft activ dai color kid earth dai ,anchor.topn3,0.0519,kids earth day activities village   th spy fi earth sequel day ep  śmigu optimfrog ,tagmee.topn3,0.0456,kids earth day activities Youth organizations in the United States Earth Day ,conceptluster.topn5.3.qld,0.0456,kids earth day activities earth day youth organizations united states ,stem.lovins,0.0305,kid earth day act ,sensedisambiguation,0.0195,kids kyd earth worldly concern day sidereal day activities natural process ,wiki.topn3,0.0165,kids earth day activities Youth organizations in the United States heroes of thenvironment earth island institute environmentalist Earth Day ,glove.topn3,0.0112,kids earth day activities youngsters children planet mars week involved ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.002,"{'activ': 2, 'kid': 2, 'day': 2, 'earth': 2, '2003': 1.329, 'april': 1.226, 'saturday': 1.145, 'celebr': 1.111, '26th': 1.073, 'envirolink': 1.03, 'environmentrel': 1.009, 'counti': 1.0} ",anchor.topn3.replace,0.0018,kids village   th spy fi earth sequel day ep  śmigu optimfrog activities ,word2vec.topn3,0.0017,kids earth day activities children youngsters planet heaven week night month activites activies ,rm3.topn10.10.0.5.qld,0.0007,fun math dai activ craft kid puzzl color worksheet earth printabl idea ,thesaurus.topn3,0.0006,kids earth day activities  baby boy  dust globe  daylight daytime  action enterprise ,tagmee.topn3.replace,0.0004,Youth organizations in the United States Earth Day ,stem.paicehusk,0.0003,kid ear day act ,wiki.topn3.replace,0.0002,Youth organizations in the United States heroes of thenvironment earth island institute environmentalist Earth Day ,,,,,,,,,,,,,,,,,,,,,
218,solar water fountains ,,25,termluster.topn5.3.qld,0.0303,solar water fountains fountain garden power fountain garden power water solar pump ,tagmee.topn3,0.0302,solar water fountains Solar power Fountain ,conceptluster.topn5.3.qld,0.0302,solar water fountains fountain solar power ,conceptnet.topn3,0.0292,solar water fountains ,conceptnet.topn3.replace,0.0292,solar water fountains ,stem.krovetz,0.0292,solar water fountain ,stem.porter,0.0292,solar water fountain ,stem.porter2,0.0292,solar water fountain ,stem.sstemmer,0.0292,solar water fountain ,relevancefeedback.topn10.qld,0.0292,solar water fountains ,docluster.topn10.3.qld,0.0243,solar water fountains fountain ,tagmee.topn3.replace,0.0216,Solar power Fountain ,anchor.topn3,0.0201,solar water fountains ztj moeba  atj  parascombrop dialys softer  ,rm3.topn10.10.0.5.qld,0.0142,water garden outdoor indoor floor pond fountain pump solar wall ,sensedisambiguation,0.0104,solar water water system fountains spring ,wiki.topn3,0.0089,solar water fountains solar energy solar power alternative energy Solar power fountains landscape gardens column Fountain ,thesaurus.topn3,0.0033,solar water fountains  cosmic empyreal  drink rain  geyser reservoir ,wiki.topn3.replace,0.0026,solar energy solar power alternative energy Solar power fountains landscape gardens column Fountain ,word2vec.topn3,0.0025,solar water fountains photovoltaic non solar water The liquid waterfalls gardens ,wordnet.topn3,0.0024,solar water fountains piss water supply H O fount natural spring spring ,stem.lovins,0.0022,sol water fountain ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0019,"{'water': 2, 'solar': 2, 'fountain': 2, 'wind': 1.179, 'flower': 1.175, 'cone': 1.14, 'smoke': 1.066, 'crackl': 1.066, 'whistl': 1.062, 'dleg': 1.031, 'michigangov': 1.031, 'energi': 1.0} ",word2vec.topn3.replace,0.0002,photovoltaic non solar water The liquid waterfalls gardens ,bertqe.topn10.qld,0.0002,"{'solar water fountains': 1.5, 'solar water fountain one': 1.0, 'solar water fountain': 0.5, 'solar water fountain  solar fountains': 0.5, 'water fountain  solar fountains': 0.5, 'solar powered water fountains': 0.5} ",stem.trunc5,0.0001,solar water fount ,,,,,,,,,,,,,,,,,,,,,,,,
219,what was the name of elvis presley s home ,,30,bertqe.topn10.qld,0.0089,"{'what was the name of elvis presleys home': 1.5, 'tennessee home elvis presley ': 1.0, 'elvis presley  guadalajara  a   br': 0.8353909465020577, 'world leaders elviss home': 0.8106995884773663, 'impression     i10  a5   s5   title   s32   celebrity homes celebrity houses   s4   link   s84   http  elvispresleyiwantmoinfoarchive060707celebrityhomescelebrityhouses   s4   guid   s93   http  elvispresleyiwantmoinfoarchive060707celebrityhomescelebrityhouses  zone922   s11   description   s144   read': 0.7407407407407407, 'presley  el toro  a   br': 0.6337448559670782} ",conceptnet.topn3,0.0058,name elvis presley  s home nest house place ,conceptnet.topn3.replace,0.0045,name elvis presley  s nest house place ,sensedisambiguation,0.0042,what was the name of elvis acid presley  s home home plate ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0035,"{'home': 2, ""presley'"": 2, 'of': 2, 'name': 2, 'the': 2, 'wa': 2, 'what': 2, 'elvi': 2, 'presley': 1.812, '1935': 1.521, 'defend': 1.49, 'nabp': 1.271, 'documentsearchwidgitsearchtyp': 1.125, 'documentwriteopt': 1.125, 'savedsearch': 1.104, 'savedscop': 1.104, 'documentsearchwidgitsortdropdownoptionslength': 1.104, 'savedtag': 1.083} ",thesaurus.topn3,0.0026,name elvis presley  s home  brand flag     central familiar ,wordnet.topn3.replace,0.0022,cite appoint mention dose acid battery acid Elvis Aron Presley Elvis Presley  s domicile home plate ,wordnet.topn3,0.0021,name elvis presley  s home constitute bring up loony toons back breaker dose Elvis Presley Elvis Aron Presley home base interior household ,relevancefeedback.topn10.qld,0.0019,what was the name of elvis presley's home ,docluster.topn10.3.qld,0.0018,what was the name of elvis presley s home elvi ,stem.krovetz,0.0017,what was the name of elvis presley s home ,stem.porter2,0.0017,what was the name of elvi presley   s home ,stem.sstemmer,0.0017,what was the name of elvi presley   s home ,tagmee.topn3,0.0016,name elvis presley  s home Elvis Presley Home  Michael Bublé song  ,stem.porter,0.0016,what wa the name of elvi preslei   s home ,conceptluster.topn5.3.qld,0.0016,name elvis presley  s home home michael bublé song elvis presley ,glove.topn3,0.001,name elvis presley  s home known presley impersonators elvis sinatra  s whose where come ,anchor.topn3,0.001,name elvis presley  s home  γραικοί   ῥωμαῖοι  point  typography  tradit ox  eshcaz sqirrel   presley   presley br mast caruk b v v        s fiber to the hom windvr ninth inning  ,thesaurus.topn3.replace,0.001, brand flag elvis presley  s  central familiar ,termluster.topn5.3.qld,0.001,name elvis presley  s home preslei love littl almost ani boi ,rm3.topn10.10.0.5.qld,0.0009,home elvi blue vremea girl what fool jocuri tone hand name true preslei ,wiki.topn3,0.0008,name elvis presley  s home cardiovascular disease deaths in tennessee sun records artists las vegas musicians Elvis Presley songs written by alan chang lost  michael bublé song  don t you wanna stay Home  Michael Bublé song  ,stem.trunc4,0.0007,what was the name of elvi pres   s home ,word2vec.topn3,0.0005,name elvis presley  s home name  moniker presley elton elvis brando mccartney s of  s s house ,tagmee.topn3.replace,0.0005,Elvis Presley Home  Michael Bublé song  ,sensedisambiguation.replace,0.0004,what was the name of acid presley  s home plate ,glove.topn3.replace,0.0002,known presley impersonators elvis sinatra  s whose where come ,wiki.topn3.replace,0.0002,cardiovascular disease deaths in tennessee sun records artists las vegas musicians Elvis Presley songs written by alan chang lost  michael bublé song  don t you wanna stay Home  Michael Bublé song  ,stem.trunc5,0.0002,what was the name of elvis presl   s home ,anchor.topn3.replace,0.0001, γραικοί   ῥωμαῖοι  point  typography  tradit ox  eshcaz sqirrel   presley   presley br mast caruk b v v        s fiber to the hom windvr ninth inning  ,,,,,,,,,
220,nba records ,,19,docluster.topn10.3.qld,0.0012,nba records game ,wiki.topn3,0.0007,nba records ,tagmee.topn3,0.0007,nba records ,conceptnet.topn3,0.0007,nba records ,sensedisambiguation.replace,0.0007,nba record ,conceptnet.topn3.replace,0.0007,nba records ,stem.krovetz,0.0007,nba record ,stem.paicehusk,0.0007,nba record ,stem.porter,0.0007,nba record ,stem.porter2,0.0007,nba record ,stem.sstemmer,0.0007,nba record ,relevancefeedback.topn10.qld,0.0007,nba records ,conceptluster.topn5.3.qld,0.0007,nba records ,termluster.topn5.3.qld,0.0006,nba records season best home win playoff plai ,word2vec.topn3,0.0004,nba records nfl espn shaq records  ,thesaurus.topn3,0.0002,nba records   document evidence ,bertqe.topn10.qld,0.0002,"{'nba records': 1.5, 'record  2003 nba': 1.0, '719  1996 nba finals  ': 0.8857142857142857, 'record memphis grizzlies': 0.8428571428571427, '3 record  memphis grizzlies': 0.8285714285714285, 'records  san antonio 6022  dallas': 0.7428571428571429} ",sensedisambiguation,0.0001,nba records record ,thesaurus.topn3.replace,0.0001,nba  document evidence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,electoral college 2008 results ,,28,relevancefeedback.topn10.qld,0.0739,electoral college 2008 results ,tagmee.topn3,0.0687,electoral college      results Electoral College  United States  ,conceptluster.topn5.3.qld,0.0687,electoral college      results electoral college united states ,adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,0.0683,"{'result': 2, '2008': 2, 'colleg': 2, 'elect': 2.0, 'elector': 2, 'vote': 1.45, 'state': 1.446, 'presid': 1.356, 'candid': 1.184, 'presidenti': 1.13, 'vice': 1.121, 'repres': 1.054, 'hous': 1.052, 'electorcandid': 1.023} ",stem.krovetz,0.0626,electoral college      result ,stem.lovins,0.0626,elector colleg      result ,stem.porter,0.0626,elector colleg      result ,stem.porter2,0.0626,elector colleg      result ,stem.sstemmer,0.0626,electoral college      result ,termluster.topn5.3.qld,0.0526,electoral college      results vote trivia time vote trivia time ,glove.topn3,0.0505,electoral college      results election elections graduate school           outcome ,rm3.topn10.10.0.5.qld,0.0498,colleg poll app elector vs      presidenti simul obama trivia elect result ,sensedisambiguation,0.0458,electoral college      results solution ,wordnet.topn3,0.0426,electoral college      results termination outcome issue ,sensedisambiguation.replace,0.0375,electoral college      solution ,docluster.topn10.3.qld,0.0355,electoral college      results elector elect ,tagmee.topn3.replace,0.032,Electoral College  United States  ,wiki.topn3,0.0254,electoral college      results list of elections in thunited states list of united states presidential election results by state libertarian party  united states  Electoral College  United States  ,wordnet.topn3.replace,0.0223,electoral college      resultant role outcome event ,conceptnet.topn3,0.0206,electoral college      results degree ,word2vec.topn3,0.0189,electoral college      results electorial political university                findings outcome ,anchor.topn3,0.0182,electoral college      results reorganización fabricación tapirape aquiri                ,wiki.topn3.replace,0.0084,list of elections in thunited states list of united states presidential election results by state libertarian party  united states  Electoral College  United States  ,stem.paicehusk,0.0074,elect colleg      result ,thesaurus.topn3,0.0043,electoral college      results  elective appointive  association institute  conclusion consequence ,word2vec.topn3.replace,0.0021,electorial political university                findings outcome ,conceptnet.topn3.replace,0.0009,electoral degree      results ,bertqe.topn10.qld,0.0007,"{'electoral college 2008 results': 1.5, ' li   href  simulationvisualizerphp   2008 election simulation results  a   li ': 1.0, 'href  simulationvisualizerphp   2008 election simulation results  a   li   ul ': 0.9162279697871365, ' ul   li   href     2012 electoral college  a   li ': 0.057450217441062094, ' href  http  wwwwashtimescomnews2008sep23anelectoralcollegedoomsday  rel  nofollow   http  wwwwashtimescomnews2008sep23anelectoralcollegedoomsday  a   p   p   b  270towin   b ': 0.023346303501945595, ' li class  catitem catitem5    href  http  www270towincomblogcategory2008polls  title  view': 0.01510643167772962} ",,,,,,,,,,,,,,,
